# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 261K of event 'cycles'
# Event count (approx.): 5041985941317
#
# Children      Self  Command          Shared Object                       Symbol                                           
# ........  ........  ...............  ..................................  .................................................
#
    66.63%     0.00%  swapper          [kernel.kallsyms]                   [k] secondary_startup_64_no_verify
    66.62%     0.01%  swapper          [kernel.kallsyms]                   [k] cpu_startup_entry
    66.47%     0.20%  swapper          [kernel.kallsyms]                   [k] do_idle
    65.00%     0.00%  swapper          [kernel.kallsyms]                   [k] start_secondary
    62.86%     0.01%  swapper          [kernel.kallsyms]                   [k] cpuidle_enter
    62.78%     0.19%  swapper          [kernel.kallsyms]                   [k] cpuidle_enter_state
    58.53%    58.46%  swapper          [kernel.kallsyms]                   [k] mwait_idle_with_hints.constprop.0
     6.75%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] asm_exc_page_fault
     6.73%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] exc_page_fault
     6.67%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] do_user_addr_fault
     6.53%     0.03%  Native-Transpor  [kernel.kallsyms]                   [k] handle_mm_fault
     6.40%     0.12%  Native-Transpor  [kernel.kallsyms]                   [k] __handle_mm_fault
     5.53%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] __do_fault
     5.51%     0.02%  Native-Transpor  [kernel.kallsyms]                   [k] filemap_fault
     5.28%     0.06%  Native-Transpor  [kernel.kallsyms]                   [k] page_cache_ra_unbounded
     4.52%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] do_page_cache_ra
     3.39%     0.07%  Native-Transpor  [kernel.kallsyms]                   [k] add_to_page_cache_lru
     3.14%     0.00%  kswapd1          [kernel.kallsyms]                   [k] kswapd
     3.14%     0.00%  kswapd1          [kernel.kallsyms]                   [k] kthread
     3.14%     0.00%  kswapd1          [kernel.kallsyms]                   [k] ret_from_fork
     3.14%     0.00%  kswapd1          [kernel.kallsyms]                   [k] balance_pgdat
     3.14%     0.00%  kswapd1          [kernel.kallsyms]                   [k] shrink_node
     3.11%     0.00%  kswapd1          [kernel.kallsyms]                   [k] shrink_lruvec
     3.03%     0.04%  Native-Transpor  [kernel.kallsyms]                   [k] entry_SYSCALL_64_after_hwframe
     2.98%     0.03%  Native-Transpor  [kernel.kallsyms]                   [k] do_syscall_64
     2.75%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] do_syscall_64
     2.75%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] entry_SYSCALL_64_after_hwframe
     2.44%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] __x64_sys_fadvise64
     2.44%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] ksys_fadvise64_64
     2.44%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] generic_fadvise
     2.39%     0.15%  kswapd1          [kernel.kallsyms]                   [k] shrink_page_list
     2.29%     2.19%  swapper          [kernel.kallsyms]                   [k] poll_idle
     2.17%     0.10%  Native-Transpor  [kernel.kallsyms]                   [k] workingset_refault
     2.16%     0.06%  Native-Transpor  [kernel.kallsyms]                   [k] __x64_sys_futex
     2.15%     0.04%  NonPeriodicTask  [kernel.kallsyms]                   [k] __invalidate_mapping_pages
     2.08%     0.00%  kswapd0          [kernel.kallsyms]                   [k] balance_pgdat
     2.08%     0.00%  kswapd0          [kernel.kallsyms]                   [k] kswapd
     2.08%     0.00%  kswapd0          [kernel.kallsyms]                   [k] kthread
     2.08%     0.00%  kswapd0          [kernel.kallsyms]                   [k] ret_from_fork
     2.08%     0.00%  kswapd0          [kernel.kallsyms]                   [k] shrink_node
     2.05%     0.00%  kswapd0          [kernel.kallsyms]                   [k] shrink_lruvec
     2.05%     0.05%  Native-Transpor  [kernel.kallsyms]                   [k] do_futex
     1.98%     0.01%  cluster1-nio-wo  [kernel.kallsyms]                   [k] entry_SYSCALL_64_after_hwframe
     1.97%     0.01%  cluster1-nio-wo  [kernel.kallsyms]                   [k] do_syscall_64
     1.94%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] mem_cgroup_flush_stats
     1.91%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] cgroup_rstat_flush_irqsafe
     1.79%     0.09%  Native-Transpor  [kernel.kallsyms]                   [k] futex_wait
     1.68%     0.03%  swapper          [kernel.kallsyms]                   [k] schedule_idle
     1.64%     0.11%  kswapd0          [kernel.kallsyms]                   [k] shrink_page_list
     1.64%     0.00%  swapper          [kernel.kallsyms]                   [k] arch_call_rest_init
     1.64%     0.00%  swapper          [kernel.kallsyms]                   [k] rest_init
