# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 6K of event 'cycles'
# Event count (approx.): 7391755122828
#
# Children      Self  Command          Shared Object      Symbol                                        
# ........  ........  ...............  .................  ..............................................
#
    63.49%     0.00%  swapper          [kernel.kallsyms]  [k] cpu_startup_entry
    63.49%     0.00%  swapper          [kernel.kallsyms]  [k] secondary_startup_64_no_verify
    63.34%     0.11%  swapper          [kernel.kallsyms]  [k] do_idle
    61.90%     0.00%  swapper          [kernel.kallsyms]  [k] start_secondary
    60.48%     0.01%  swapper          [kernel.kallsyms]  [k] cpuidle_enter
    60.30%     0.15%  swapper          [kernel.kallsyms]  [k] cpuidle_enter_state
    55.66%    53.57%  swapper          [kernel.kallsyms]  [k] mwait_idle_with_hints.constprop.0
     5.42%     0.00%  Native-Transpor  [kernel.kallsyms]  [k] asm_exc_page_fault
     5.42%     0.00%  Native-Transpor  [kernel.kallsyms]  [k] exc_page_fault
     5.40%     0.00%  Native-Transpor  [kernel.kallsyms]  [k] do_user_addr_fault
     5.29%     0.00%  Native-Transpor  [kernel.kallsyms]  [k] handle_mm_fault
     5.20%     0.08%  Native-Transpor  [kernel.kallsyms]  [k] __handle_mm_fault
     5.17%     0.00%  NonPeriodicTask  [kernel.kallsyms]  [k] do_syscall_64
     5.17%     0.00%  NonPeriodicTask  [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     4.51%     0.00%  Native-Transpor  [kernel.kallsyms]  [k] __do_fault
     4.50%     0.01%  Native-Transpor  [kernel.kallsyms]  [k] filemap_fault
     4.29%     0.04%  Native-Transpor  [kernel.kallsyms]  [k] page_cache_ra_unbounded
     3.82%     0.00%  Native-Transpor  [kernel.kallsyms]  [k] do_page_cache_ra
     3.68%     0.00%  kswapd0          [kernel.kallsyms]  [k] balance_pgdat
     3.68%     0.00%  kswapd0          [kernel.kallsyms]  [k] kswapd
     3.68%     0.00%  kswapd0          [kernel.kallsyms]  [k] kthread
     3.68%     0.00%  kswapd0          [kernel.kallsyms]  [k] ret_from_fork
     3.68%     0.00%  kswapd0          [kernel.kallsyms]  [k] shrink_lruvec
     3.68%     0.00%  kswapd0          [kernel.kallsyms]  [k] shrink_node
     3.64%     0.00%  NonPeriodicTask  [kernel.kallsyms]  [k] __x64_sys_fadvise64
     3.64%     0.00%  NonPeriodicTask  [kernel.kallsyms]  [k] generic_fadvise
     3.64%     0.00%  NonPeriodicTask  [kernel.kallsyms]  [k] ksys_fadvise64_64
     3.54%     0.00%  kswapd1          [kernel.kallsyms]  [k] balance_pgdat
     3.54%     0.00%  kswapd1          [kernel.kallsyms]  [k] kswapd
     3.54%     0.00%  kswapd1          [kernel.kallsyms]  [k] kthread
     3.54%     0.00%  kswapd1          [kernel.kallsyms]  [k] ret_from_fork
     3.54%     0.00%  kswapd1          [kernel.kallsyms]  [k] shrink_lruvec
     3.54%     0.00%  kswapd1          [kernel.kallsyms]  [k] shrink_node
     3.23%     0.00%  NonPeriodicTask  [kernel.kallsyms]  [k] __invalidate_mapping_pages
     3.17%     2.81%  swapper          [kernel.kallsyms]  [k] poll_idle
     2.95%     0.02%  Native-Transpor  [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     2.95%     0.14%  kswapd0          [kernel.kallsyms]  [k] shrink_page_list
     2.88%     0.00%  Native-Transpor  [kernel.kallsyms]  [k] do_syscall_64
     2.86%     0.05%  Native-Transpor  [kernel.kallsyms]  [k] add_to_page_cache_lru
     2.66%     0.14%  kswapd1          [kernel.kallsyms]  [k] shrink_page_list
     2.51%     2.51%  swapper          [unknown]          [.] 0000000000000000
     2.14%     0.01%  Native-Transpor  [kernel.kallsyms]  [k] __x64_sys_futex
     2.14%     0.04%  Native-Transpor  [kernel.kallsyms]  [k] do_futex
     2.00%     0.07%  Native-Transpor  [kernel.kallsyms]  [k] workingset_refault
     1.92%     0.10%  Native-Transpor  [kernel.kallsyms]  [k] futex_wait
     1.84%     0.00%  NonPeriodicTask  [kernel.kallsyms]  [k] invalidate_mapping_pagevec
     1.83%     1.72%  NonPeriodicTask  [kernel.kallsyms]  [k] find_lock_entries
     1.78%     0.00%  Native-Transpor  [kernel.kallsyms]  [k] mem_cgroup_flush_stats
     1.75%     0.00%  NonPeriodicTask  [kernel.kallsyms]  [k] invalidate_mapping_pages
     1.72%     0.00%  Native-Transpor  [kernel.kallsyms]  [k] cgroup_rstat_flush_irqsafe
     1.58%     0.00%  swapper          [kernel.kallsyms]  [k] arch_call_rest_init
     1.58%     0.00%  swapper          [kernel.kallsyms]  [k] rest_init
     1.58%     0.00%  swapper          [kernel.kallsyms]  [k] start_kernel
     1.58%     0.00%  swapper          [kernel.kallsyms]  [k] x86_64_start_kernel
     1.58%     0.00%  swapper          [kernel.kallsyms]  [k] x86_64_start_reservations
     1.55%     0.06%  Native-Transpor  [kernel.kallsyms]  [k] futex_wait_queue_me
     1.52%     0.00%  NonPeriodicTask  [kernel.kallsyms]  [k] __do_munmap
     1.52%     0.00%  NonPeriodicTask  [kernel.kallsyms]  [k] __vm_munmap
     1.52%     0.00%  NonPeriodicTask  [kernel.kallsyms]  [k] __x64_sys_munmap
     1.52%     0.00%  NonPeriodicTask  [kernel.kallsyms]  [k] unmap_region
     1.50%     0.03%  Native-Transpor  [kernel.kallsyms]  [k] schedule
     1.48%     0.46%  Native-Transpor  [kernel.kallsyms]  [k] __schedule
     1.45%     0.00%  NonPeriodicTask  [kernel.kallsyms]  [k] unmap_single_vma
     1.45%     0.00%  NonPeriodicTask  [kernel.kallsyms]  [k] unmap_vmas
     1.43%     0.40%  NonPeriodicTask  [kernel.kallsyms]  [k] unmap_page_range
     1.33%     0.09%  Native-Transpor  [kernel.kallsyms]  [k] cgroup_rstat_flush_locked
     1.32%     0.01%  cluster1-nio-wo  [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     1.31%     0.00%  cluster1-nio-wo  [kernel.kallsyms]  [k] do_syscall_64
     1.30%     0.04%  swapper          [kernel.kallsyms]  [k] schedule_idle
     1.27%     0.31%  NonPeriodicTask  [kernel.kallsyms]  [k] pagevec_lru_move_fn
     1.25%     0.10%  swapper          [kernel.kallsyms]  [k] __schedule
     1.24%     0.23%  NonPeriodicTask  [kernel.kallsyms]  [k] deactivate_file_page
     1.19%     0.00%  kswapd1          [kernel.kallsyms]  [k] rmap_walk
     1.14%     1.12%  Native-Transpor  [kernel.kallsyms]  [k] mem_cgroup_css_rstat_flush
     1.10%     0.18%  kswapd0          [kernel.kallsyms]  [k] native_flush_tlb_multi
     1.10%     0.00%  kswapd0          [kernel.kallsyms]  [k] arch_tlbbatch_flush
     1.10%     0.00%  kswapd0          [kernel.kallsyms]  [k] try_to_unmap_flush
     1.08%     0.00%  kswapd1          [kernel.kallsyms]  [k] rmap_walk_file
     0.95%     0.00%  kswapd0          [kernel.kallsyms]  [k] rmap_walk
     0.95%     0.00%  kswapd0          [kernel.kallsyms]  [k] rmap_walk_file
     0.95%     0.02%  cluster1-nio-wo  [kernel.kallsyms]  [k] do_futex
     0.95%     0.00%  cluster1-nio-wo  [kernel.kallsyms]  [k] __x64_sys_futex
     0.91%     0.02%  cluster1-nio-wo  [kernel.kallsyms]  [k] futex_wake
     0.89%     0.00%  swapper          [kernel.kallsyms]  [k] cpuidle_select
