# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 191K of event 'cycles'
# Event count (approx.): 17297680199363
#
# Children      Self  Command          Shared Object                       Symbol                                           
# ........  ........  ...............  ..................................  .................................................
#
    67.58%     0.00%  swapper          [kernel.kallsyms]                   [k] secondary_startup_64_no_verify
    67.57%     0.01%  swapper          [kernel.kallsyms]                   [k] cpu_startup_entry
    67.46%     0.13%  swapper          [kernel.kallsyms]                   [k] do_idle
    65.89%     0.00%  swapper          [kernel.kallsyms]                   [k] start_secondary
    65.16%     0.01%  swapper          [kernel.kallsyms]                   [k] cpuidle_enter
    65.08%     0.13%  swapper          [kernel.kallsyms]                   [k] cpuidle_enter_state
    62.67%    62.47%  swapper          [kernel.kallsyms]                   [k] mwait_idle_with_hints.constprop.0
     3.93%     0.00%  kswapd1          [kernel.kallsyms]                   [k] balance_pgdat
     3.93%     0.00%  kswapd1          [kernel.kallsyms]                   [k] kswapd
     3.93%     0.00%  kswapd1          [kernel.kallsyms]                   [k] kthread
     3.93%     0.00%  kswapd1          [kernel.kallsyms]                   [k] ret_from_fork
     3.93%     0.00%  kswapd1          [kernel.kallsyms]                   [k] shrink_node
     3.92%     0.01%  kswapd1          [kernel.kallsyms]                   [k] shrink_lruvec
     3.02%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] do_syscall_64
     3.02%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] entry_SYSCALL_64_after_hwframe
     2.96%     0.18%  kswapd1          [kernel.kallsyms]                   [k] shrink_page_list
     2.36%     0.00%  kswapd0          [kernel.kallsyms]                   [k] kswapd
     2.36%     0.00%  kswapd0          [kernel.kallsyms]                   [k] kthread
     2.36%     0.00%  kswapd0          [kernel.kallsyms]                   [k] ret_from_fork
     2.36%     0.00%  kswapd0          [kernel.kallsyms]                   [k] shrink_node
     2.36%     0.00%  kswapd0          [kernel.kallsyms]                   [k] balance_pgdat
     2.33%     0.00%  kswapd0          [kernel.kallsyms]                   [k] shrink_lruvec
     2.29%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] __x64_sys_fadvise64
     2.29%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] generic_fadvise
     2.29%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] ksys_fadvise64_64
     2.14%     0.03%  cluster1-nio-wo  [kernel.kallsyms]                   [k] entry_SYSCALL_64_after_hwframe
     2.10%     0.02%  cluster1-nio-wo  [kernel.kallsyms]                   [k] do_syscall_64
     2.09%     0.01%  NonPeriodicTask  [kernel.kallsyms]                   [k] __invalidate_mapping_pages
     1.79%     0.01%  epollEventLoopG  [kernel.kallsyms]                   [k] entry_SYSCALL_64_after_hwframe
     1.78%     0.01%  epollEventLoopG  [kernel.kallsyms]                   [k] do_syscall_64
