# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 265K of event 'cycles'
# Event count (approx.): 5068918367203
#
# Children      Self  Command          Shared Object                       Symbol                                        
# ........  ........  ...............  ..................................  ..............................................
#
    67.92%     0.00%  swapper          [kernel.kallsyms]                   [k] secondary_startup_64_no_verify
    67.91%     0.01%  swapper          [kernel.kallsyms]                   [k] cpu_startup_entry
    67.76%     0.21%  swapper          [kernel.kallsyms]                   [k] do_idle
    66.37%     0.00%  swapper          [kernel.kallsyms]                   [k] start_secondary
    64.16%     0.01%  swapper          [kernel.kallsyms]                   [k] cpuidle_enter
    64.09%     0.19%  swapper          [kernel.kallsyms]                   [k] cpuidle_enter_state
    60.12%    60.06%  swapper          [kernel.kallsyms]                   [k] mwait_idle_with_hints.constprop.0
     5.61%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] asm_exc_page_fault
     5.59%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] exc_page_fault
     5.55%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] do_user_addr_fault
     5.44%     0.02%  Native-Transpor  [kernel.kallsyms]                   [k] handle_mm_fault
     5.35%     0.08%  Native-Transpor  [kernel.kallsyms]                   [k] __handle_mm_fault
     4.69%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] __do_fault
     4.68%     0.02%  Native-Transpor  [kernel.kallsyms]                   [k] filemap_fault
     4.48%     0.05%  Native-Transpor  [kernel.kallsyms]                   [k] page_cache_ra_unbounded
     3.76%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] do_page_cache_ra
     3.20%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] do_syscall_64
     3.20%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] entry_SYSCALL_64_after_hwframe
     3.19%     0.04%  Native-Transpor  [kernel.kallsyms]                   [k] entry_SYSCALL_64_after_hwframe
     3.13%     0.03%  Native-Transpor  [kernel.kallsyms]                   [k] do_syscall_64
     3.02%     0.05%  Native-Transpor  [kernel.kallsyms]                   [k] add_to_page_cache_lru
     2.98%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] __x64_sys_fadvise64
     2.98%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] generic_fadvise
     2.98%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] ksys_fadvise64_64
     2.58%     0.00%  kswapd1          [kernel.kallsyms]                   [k] kswapd
     2.58%     0.00%  kswapd1          [kernel.kallsyms]                   [k] kthread
     2.58%     0.00%  kswapd1          [kernel.kallsyms]                   [k] ret_from_fork
     2.57%     0.00%  kswapd1          [kernel.kallsyms]                   [k] balance_pgdat
     2.57%     0.04%  NonPeriodicTask  [kernel.kallsyms]                   [k] __invalidate_mapping_pages
     2.57%     0.00%  kswapd1          [kernel.kallsyms]                   [k] shrink_node
     2.53%     0.00%  kswapd1          [kernel.kallsyms]                   [k] shrink_lruvec
