# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 31K of event 'cycles'
# Event count (approx.): 9051642699758
#
# Children      Self  Command          Shared Object                      Symbol                                        
# ........  ........  ...............  .................................  ..............................................
#
    64.82%     0.00%  swapper          [kernel.kallsyms]                  [k] secondary_startup_64_no_verify
    64.82%     0.00%  swapper          [kernel.kallsyms]                  [k] cpu_startup_entry
    64.74%     0.11%  swapper          [kernel.kallsyms]                  [k] do_idle
    63.35%     0.00%  swapper          [kernel.kallsyms]                  [k] start_secondary
    60.74%     0.00%  swapper          [kernel.kallsyms]                  [k] cpuidle_enter
    60.70%     0.07%  swapper          [kernel.kallsyms]                  [k] cpuidle_enter_state
    55.43%    55.15%  swapper          [kernel.kallsyms]                  [k] mwait_idle_with_hints.constprop.0
     3.91%     0.00%  NonPeriodicTask  [kernel.kallsyms]                  [k] do_syscall_64
     3.91%     0.00%  NonPeriodicTask  [kernel.kallsyms]                  [k] entry_SYSCALL_64_after_hwframe
     3.89%     0.02%  Native-Transpor  [kernel.kallsyms]                  [k] entry_SYSCALL_64_after_hwframe
     3.86%     0.01%  Native-Transpor  [kernel.kallsyms]                  [k] do_syscall_64
     3.58%     0.00%  NonPeriodicTask  [kernel.kallsyms]                  [k] __x64_sys_fadvise64
     3.58%     0.00%  NonPeriodicTask  [kernel.kallsyms]                  [k] generic_fadvise
     3.58%     0.00%  NonPeriodicTask  [kernel.kallsyms]                  [k] ksys_fadvise64_64
     3.55%     0.00%  Native-Transpor  [kernel.kallsyms]                  [k] asm_exc_page_fault
     3.54%     0.00%  Native-Transpor  [kernel.kallsyms]                  [k] exc_page_fault
     3.53%     0.00%  Native-Transpor  [kernel.kallsyms]                  [k] do_user_addr_fault
     3.47%     0.01%  Native-Transpor  [kernel.kallsyms]                  [k] handle_mm_fault
     3.44%     0.04%  Native-Transpor  [kernel.kallsyms]                  [k] __x64_sys_futex
     3.42%     0.06%  Native-Transpor  [kernel.kallsyms]                  [k] __handle_mm_fault
     3.42%     0.01%  NonPeriodicTask  [kernel.kallsyms]                  [k] __invalidate_mapping_pages
     3.37%     0.02%  Native-Transpor  [kernel.kallsyms]                  [k] do_futex
     3.32%     3.24%  swapper          [kernel.kallsyms]                  [k] poll_idle
     3.10%     0.00%  Native-Transpor  [kernel.kallsyms]                  [k] __do_fault
     3.10%     0.01%  Native-Transpor  [kernel.kallsyms]                  [k] filemap_fault
     3.03%     0.00%  kswapd1          [kernel.kallsyms]                  [k] shrink_node
     3.03%     0.00%  kswapd1          [kernel.kallsyms]                  [k] balance_pgdat
     3.03%     0.00%  kswapd1          [kernel.kallsyms]                  [k] kswapd
     3.03%     0.00%  kswapd1          [kernel.kallsyms]                  [k] kthread
     3.03%     0.00%  kswapd1          [kernel.kallsyms]                  [k] ret_from_fork
     3.01%     0.00%  kswapd1          [kernel.kallsyms]                  [k] shrink_lruvec
     2.98%     0.04%  Native-Transpor  [kernel.kallsyms]                  [k] page_cache_ra_unbounded
     2.62%     0.00%  Native-Transpor  [kernel.kallsyms]                  [k] do_page_cache_ra
     2.60%     0.01%  swapper          [kernel.kallsyms]                  [k] cpuidle_select
     2.60%     0.00%  NonPeriodicTask  [kernel.kallsyms]                  [k] invalidate_mapping_pages
     2.58%     0.27%  swapper          [kernel.kallsyms]                  [k] menu_select
     2.52%     0.07%  kswapd1          [kernel.kallsyms]                  [k] shrink_page_list
     2.39%     0.05%  Native-Transpor  [kernel.kallsyms]                  [k] futex_wait
     2.38%     0.00%  kswapd0          [kernel.kallsyms]                  [k] balance_pgdat
     2.38%     0.00%  kswapd0          [kernel.kallsyms]                  [k] kswapd
     2.38%     0.00%  kswapd0          [kernel.kallsyms]                  [k] kthread
     2.38%     0.00%  kswapd0          [kernel.kallsyms]                  [k] ret_from_fork
     2.38%     0.00%  kswapd0          [kernel.kallsyms]                  [k] shrink_node
     2.37%     0.01%  kswapd0          [kernel.kallsyms]                  [k] shrink_lruvec
