# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 133K of event 'cycles'
# Event count (approx.): 5321267836559
#
# Children      Self  Command          Shared Object                       Symbol                                        
# ........  ........  ...............  ..................................  ..............................................
#
    66.24%     0.00%  swapper          [kernel.kallsyms]                   [k] secondary_startup_64_no_verify
    66.22%     0.01%  swapper          [kernel.kallsyms]                   [k] cpu_startup_entry
    66.07%     0.19%  swapper          [kernel.kallsyms]                   [k] do_idle
    64.54%     0.00%  swapper          [kernel.kallsyms]                   [k] start_secondary
    62.55%     0.01%  swapper          [kernel.kallsyms]                   [k] cpuidle_enter
    62.46%     0.19%  swapper          [kernel.kallsyms]                   [k] cpuidle_enter_state
    58.03%    57.95%  swapper          [kernel.kallsyms]                   [k] mwait_idle_with_hints.constprop.0
     6.61%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] asm_exc_page_fault
     6.59%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] exc_page_fault
     6.55%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] do_user_addr_fault
     6.42%     0.02%  Native-Transpor  [kernel.kallsyms]                   [k] handle_mm_fault
     6.33%     0.11%  Native-Transpor  [kernel.kallsyms]                   [k] __handle_mm_fault
     5.46%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] __do_fault
     5.44%     0.03%  Native-Transpor  [kernel.kallsyms]                   [k] filemap_fault
     5.16%     0.06%  Native-Transpor  [kernel.kallsyms]                   [k] page_cache_ra_unbounded
     4.40%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] do_page_cache_ra
     3.72%     0.00%  kswapd1          [kernel.kallsyms]                   [k] balance_pgdat
     3.72%     0.00%  kswapd1          [kernel.kallsyms]                   [k] kswapd
     3.72%     0.00%  kswapd1          [kernel.kallsyms]                   [k] kthread
     3.72%     0.00%  kswapd1          [kernel.kallsyms]                   [k] ret_from_fork
     3.72%     0.00%  kswapd1          [kernel.kallsyms]                   [k] shrink_node
     3.69%     0.01%  kswapd1          [kernel.kallsyms]                   [k] shrink_lruvec
     3.33%     0.08%  Native-Transpor  [kernel.kallsyms]                   [k] add_to_page_cache_lru
