# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 6K of event 'cycles'
# Event count (approx.): 7439296183892
#
# Children      Self  Command          Shared Object      Symbol                                        
# ........  ........  ...............  .................  ..............................................
#
    65.80%     0.00%  swapper          [kernel.kallsyms]  [k] secondary_startup_64_no_verify
    65.77%     0.05%  swapper          [kernel.kallsyms]  [k] cpu_startup_entry
    65.69%     0.18%  swapper          [kernel.kallsyms]  [k] do_idle
    64.46%     0.00%  swapper          [kernel.kallsyms]  [k] start_secondary
    62.44%     0.00%  swapper          [kernel.kallsyms]  [k] cpuidle_enter
    62.41%     0.20%  swapper          [kernel.kallsyms]  [k] cpuidle_enter_state
    57.66%    55.33%  swapper          [kernel.kallsyms]  [k] mwait_idle_with_hints.constprop.0
     4.79%     0.00%  kswapd1          [kernel.kallsyms]  [k] balance_pgdat
     4.79%     0.00%  kswapd1          [kernel.kallsyms]  [k] kswapd
     4.79%     0.00%  kswapd1          [kernel.kallsyms]  [k] kthread
     4.79%     0.00%  kswapd1          [kernel.kallsyms]  [k] ret_from_fork
     4.79%     0.00%  kswapd1          [kernel.kallsyms]  [k] shrink_node
     4.75%     0.00%  kswapd1          [kernel.kallsyms]  [k] shrink_lruvec
     4.71%     0.00%  NonPeriodicTask  [kernel.kallsyms]  [k] do_syscall_64
     4.71%     0.00%  NonPeriodicTask  [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     4.49%     0.01%  Native-Transpor  [kernel.kallsyms]  [k] exc_page_fault
     4.49%     0.00%  Native-Transpor  [kernel.kallsyms]  [k] asm_exc_page_fault
     4.42%     0.00%  Native-Transpor  [kernel.kallsyms]  [k] do_user_addr_fault
     4.36%     0.00%  Native-Transpor  [kernel.kallsyms]  [k] handle_mm_fault
     4.35%     0.06%  Native-Transpor  [kernel.kallsyms]  [k] __handle_mm_fault
     3.59%     0.00%  Native-Transpor  [kernel.kallsyms]  [k] __do_fault
     3.55%     0.01%  Native-Transpor  [kernel.kallsyms]  [k] filemap_fault
     3.51%     0.15%  kswapd1          [kernel.kallsyms]  [k] shrink_page_list
     3.44%     0.05%  Native-Transpor  [kernel.kallsyms]  [k] page_cache_ra_unbounded
     3.19%     0.00%  kswapd0          [kernel.kallsyms]  [k] balance_pgdat
     3.19%     0.00%  kswapd0          [kernel.kallsyms]  [k] kswapd
     3.19%     0.00%  kswapd0          [kernel.kallsyms]  [k] kthread
     3.19%     0.00%  kswapd0          [kernel.kallsyms]  [k] ret_from_fork
     3.19%     0.00%  kswapd0          [kernel.kallsyms]  [k] shrink_lruvec
     3.19%     0.00%  kswapd0          [kernel.kallsyms]  [k] shrink_node
     3.15%     2.86%  swapper          [kernel.kallsyms]  [k] poll_idle
     3.15%     0.00%  NonPeriodicTask  [kernel.kallsyms]  [k] __x64_sys_fadvise64
     3.15%     0.00%  NonPeriodicTask  [kernel.kallsyms]  [k] generic_fadvise
     3.15%     0.00%  NonPeriodicTask  [kernel.kallsyms]  [k] ksys_fadvise64_64
     3.05%     0.00%  NonPeriodicTask  [kernel.kallsyms]  [k] __invalidate_mapping_pages
     2.93%     0.00%  Native-Transpor  [kernel.kallsyms]  [k] do_page_cache_ra
     2.88%     2.88%  swapper          [unknown]          [.] 0000000000000000
     2.22%     0.01%  Native-Transpor  [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     2.19%     0.03%  Native-Transpor  [kernel.kallsyms]  [k] add_to_page_cache_lru
     2.18%     0.00%  Native-Transpor  [kernel.kallsyms]  [k] do_syscall_64
     2.06%     1.95%  NonPeriodicTask  [kernel.kallsyms]  [k] find_lock_entries
     2.02%     0.13%  kswapd0          [kernel.kallsyms]  [k] shrink_page_list
     1.69%     0.00%  NonPeriodicTask  [kernel.kallsyms]  [k] invalidate_mapping_pages
     1.57%     0.07%  Native-Transpor  [kernel.kallsyms]  [k] __x64_sys_futex
     1.56%     0.00%  NonPeriodicTask  [kernel.kallsyms]  [k] __do_munmap
     1.56%     0.00%  NonPeriodicTask  [kernel.kallsyms]  [k] __vm_munmap
     1.56%     0.00%  NonPeriodicTask  [kernel.kallsyms]  [k] __x64_sys_munmap
     1.56%     0.00%  NonPeriodicTask  [kernel.kallsyms]  [k] unmap_region
     1.50%     0.01%  cluster1-nio-wo  [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     1.50%     0.00%  kswapd1          [kernel.kallsyms]  [k] rmap_walk
     1.50%     0.00%  cluster1-nio-wo  [kernel.kallsyms]  [k] do_syscall_64
     1.49%     0.03%  Native-Transpor  [kernel.kallsyms]  [k] do_futex
     1.49%     0.07%  Native-Transpor  [kernel.kallsyms]  [k] workingset_refault
     1.45%     0.00%  NonPeriodicTask  [kernel.kallsyms]  [k] invalidate_mapping_pagevec
     1.38%     0.60%  NonPeriodicTask  [kernel.kallsyms]  [k] unmap_page_range
     1.38%     0.00%  NonPeriodicTask  [kernel.kallsyms]  [k] unmap_single_vma
     1.38%     0.00%  NonPeriodicTask  [kernel.kallsyms]  [k] unmap_vmas
     1.37%     0.00%  kswapd1          [kernel.kallsyms]  [k] rmap_walk_file
     1.34%     0.02%  swapper          [kernel.kallsyms]  [k] schedule_idle
     1.34%     0.00%  swapper          [kernel.kallsyms]  [k] arch_call_rest_init
     1.34%     0.00%  swapper          [kernel.kallsyms]  [k] rest_init
     1.34%     0.00%  swapper          [kernel.kallsyms]  [k] start_kernel
     1.34%     0.00%  swapper          [kernel.kallsyms]  [k] x86_64_start_kernel
     1.34%     0.00%  swapper          [kernel.kallsyms]  [k] x86_64_start_reservations
     1.29%     0.16%  swapper          [kernel.kallsyms]  [k] __schedule
     1.26%     0.05%  Native-Transpor  [kernel.kallsyms]  [k] futex_wait
     1.24%     0.00%  Native-Transpor  [kernel.kallsyms]  [k] mem_cgroup_flush_stats
     1.20%     0.00%  Native-Transpor  [kernel.kallsyms]  [k] cgroup_rstat_flush_irqsafe
     1.11%     0.00%  epollEventLoopG  [kernel.kallsyms]  [k] do_syscall_64
     1.11%     0.00%  epollEventLoopG  [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     1.02%     0.02%  swapper          [kernel.kallsyms]  [k] cpuidle_select
     1.02%     0.04%  Native-Transpor  [kernel.kallsyms]  [k] futex_wait_queue_me
     1.01%     0.46%  swapper          [kernel.kallsyms]  [k] menu_select
     0.99%     0.20%  NonPeriodicTask  [kernel.kallsyms]  [k] pagevec_lru_move_fn
     0.99%     0.00%  epollEventLoopG  [kernel.kallsyms]  [k] __x64_sys_writev
     0.99%     0.00%  epollEventLoopG  [kernel.kallsyms]  [k] do_writev
     0.97%     0.08%  Native-Transpor  [kernel.kallsyms]  [k] schedule
     0.96%     0.05%  cluster1-nio-wo  [kernel.kallsyms]  [k] futex_wake
     0.96%     0.00%  cluster1-nio-wo  [kernel.kallsyms]  [k] __x64_sys_futex
     0.96%     0.00%  cluster1-nio-wo  [kernel.kallsyms]  [k] do_futex
     0.96%     0.04%  kswapd1          [kernel.kallsyms]  [k] page_referenced
     0.95%     0.00%  epollEventLoopG  [kernel.kallsyms]  [k] vfs_writev
     0.94%     0.00%  kswapd0          [kernel.kallsyms]  [k] rmap_walk
     0.94%     0.00%  kswapd0          [kernel.kallsyms]  [k] rmap_walk_file
     0.93%     0.00%  swapper          [kernel.kallsyms]  [k] asm_sysvec_apic_timer_interrupt
     0.91%     0.09%  NonPeriodicTask  [kernel.kallsyms]  [k] deactivate_file_page
     0.90%     0.05%  Native-Transpor  [kernel.kallsyms]  [k] cgroup_rstat_flush_locked
     0.89%     0.01%  epollEventLoopG  [kernel.kallsyms]  [k] do_iter_write
     0.88%     0.00%  kswapd1          [kernel.kallsyms]  [k] arch_tlbbatch_flush
     0.88%     0.00%  kswapd1          [kernel.kallsyms]  [k] try_to_unmap_flush
     0.86%     0.06%  kswapd1          [kernel.kallsyms]  [k] page_referenced_one
     0.85%     0.01%  swapper          [kernel.kallsyms]  [k] sysvec_apic_timer_interrupt
     0.85%     0.09%  Native-Transpor  [kernel.kallsyms]  [k] __schedule
     0.85%     0.08%  kswapd1          [kernel.kallsyms]  [k] native_flush_tlb_multi
     0.84%     0.01%  epollEventLoopG  [kernel.kallsyms]  [k] tcp_sendmsg
     0.84%     0.00%  epollEventLoopG  [kernel.kallsyms]  [k] do_iter_readv_writev
     0.84%     0.00%  epollEventLoopG  [kernel.kallsyms]  [k] inet_sendmsg
     0.84%     0.00%  epollEventLoopG  [kernel.kallsyms]  [k] sock_sendmsg
     0.84%     0.00%  epollEventLoopG  [kernel.kallsyms]  [k] sock_write_iter
     0.81%     0.01%  epollEventLoopG  [kernel.kallsyms]  [k] tcp_sendmsg_locked
     0.79%     0.78%  Native-Transpor  [kernel.kallsyms]  [k] mem_cgroup_css_rstat_flush
     0.77%     0.01%  cluster1-nio-wo  [kernel.kallsyms]  [k] wake_up_q
     0.77%     0.02%  kswapd1          [kernel.kallsyms]  [k] __remove_mapping
     0.77%     0.00%  kswapd1          [kernel.kallsyms]  [k] on_each_cpu_cond_mask
     0.75%     0.05%  cluster1-nio-wo  [kernel.kallsyms]  [k] try_to_wake_up
     0.70%     0.03%  Native-Transpor  [kernel.kallsyms]  [k] alloc_pages
     0.69%     0.69%  kswapd1          [kernel.kallsyms]  [k] page_vma_mapped_walk
     0.66%     0.54%  kswapd1          [kernel.kallsyms]  [k] smp_call_function_many_cond
     0.65%     0.00%  Native-Transpor  [kernel.kallsyms]  [k] __page_cache_alloc
     0.64%     0.11%  kswapd0          [kernel.kallsyms]  [k] native_flush_tlb_multi
     0.64%     0.00%  kswapd0          [kernel.kallsyms]  [k] arch_tlbbatch_flush
     0.64%     0.00%  kswapd0          [kernel.kallsyms]  [k] try_to_unmap_flush
     0.63%     0.00%  kswapd1          [kernel.kallsyms]  [k] shrink_active_list
     0.63%     0.00%  swapper          [kernel.kallsyms]  [k] __sysvec_apic_timer_interrupt
     0.63%     0.00%  swapper          [kernel.kallsyms]  [k] hrtimer_interrupt
     0.62%     0.00%  kswapd0          [kernel.kallsyms]  [k] shrink_active_list
     0.61%     0.11%  Native-Transpor  [kernel.kallsyms]  [k] get_page_from_freelist
     0.60%     0.04%  kswapd1          [kernel.kallsyms]  [k] __delete_from_page_cache
     0.60%     0.00%  Native-Transpor  [kernel.kallsyms]  [k] __alloc_pages
     0.59%     0.00%  cluster1-nio-wo  [kernel.kallsyms]  [k] enqueue_task
     0.59%     0.00%  cluster1-nio-wo  [kernel.kallsyms]  [k] ttwu_do_activate
     0.59%     0.59%  kswapd1          [kernel.kallsyms]  [k] isolate_lru_pages
     0.55%     0.29%  Native-Transpor  [kernel.kallsyms]  [k] __add_to_page_cache_locked
     0.55%     0.11%  Native-Transpor  [kernel.kallsyms]  [k] filemap_map_pages
