# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 66K of event 'cycles'
# Event count (approx.): 2806436901836
#
# Children      Self  Command          Shared Object                       Symbol                                           
# ........  ........  ...............  ..................................  .................................................
#
    65.53%     0.00%  swapper          [kernel.kallsyms]                   [k] secondary_startup_64_no_verify
    65.53%     0.01%  swapper          [kernel.kallsyms]                   [k] cpu_startup_entry
    65.40%     0.18%  swapper          [kernel.kallsyms]                   [k] do_idle
    64.16%     0.00%  swapper          [kernel.kallsyms]                   [k] start_secondary
    61.98%     0.02%  swapper          [kernel.kallsyms]                   [k] cpuidle_enter
    61.88%     0.20%  swapper          [kernel.kallsyms]                   [k] cpuidle_enter_state
    57.19%    57.13%  swapper          [kernel.kallsyms]                   [k] mwait_idle_with_hints.constprop.0
     6.80%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] asm_exc_page_fault
     6.77%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] exc_page_fault
     6.71%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] do_user_addr_fault
     6.54%     0.07%  Native-Transpor  [kernel.kallsyms]                   [k] handle_mm_fault
     6.35%     0.13%  Native-Transpor  [kernel.kallsyms]                   [k] __handle_mm_fault
     5.37%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] __do_fault
     5.36%     0.09%  Native-Transpor  [kernel.kallsyms]                   [k] filemap_fault
     5.06%     0.04%  Native-Transpor  [kernel.kallsyms]                   [k] page_cache_ra_unbounded
     4.28%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] do_page_cache_ra
     3.44%     0.14%  Native-Transpor  [kernel.kallsyms]                   [k] add_to_page_cache_lru
     3.02%     0.03%  Native-Transpor  [kernel.kallsyms]                   [k] entry_SYSCALL_64_after_hwframe
     2.97%     0.02%  Native-Transpor  [kernel.kallsyms]                   [k] do_syscall_64
     2.78%     2.57%  swapper          [kernel.kallsyms]                   [k] poll_idle
     2.76%     0.00%  kswapd0          [kernel.kallsyms]                   [k] shrink_node
     2.76%     0.00%  kswapd0          [kernel.kallsyms]                   [k] balance_pgdat
     2.76%     0.00%  kswapd0          [kernel.kallsyms]                   [k] kswapd
     2.76%     0.00%  kswapd0          [kernel.kallsyms]                   [k] kthread
     2.76%     0.00%  kswapd0          [kernel.kallsyms]                   [k] ret_from_fork
     2.76%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] do_syscall_64
     2.76%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] entry_SYSCALL_64_after_hwframe
     2.75%     0.00%  kswapd1          [kernel.kallsyms]                   [k] balance_pgdat
     2.75%     0.00%  kswapd1          [kernel.kallsyms]                   [k] kswapd
     2.75%     0.00%  kswapd1          [kernel.kallsyms]                   [k] kthread
     2.75%     0.00%  kswapd1          [kernel.kallsyms]                   [k] ret_from_fork
     2.75%     0.00%  kswapd1          [kernel.kallsyms]                   [k] shrink_node
     2.73%     0.01%  kswapd0          [kernel.kallsyms]                   [k] shrink_lruvec
     2.72%     0.00%  kswapd1          [kernel.kallsyms]                   [k] shrink_lruvec
     2.41%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] __x64_sys_fadvise64
     2.41%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] generic_fadvise
     2.41%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] ksys_fadvise64_64
     2.26%     0.13%  Native-Transpor  [kernel.kallsyms]                   [k] workingset_refault
     2.15%     0.08%  Native-Transpor  [kernel.kallsyms]                   [k] __x64_sys_futex
     2.12%     0.09%  kswapd0          [kernel.kallsyms]                   [k] shrink_page_list
     2.11%     0.02%  NonPeriodicTask  [kernel.kallsyms]                   [k] __invalidate_mapping_pages
     2.06%     0.13%  kswapd1          [kernel.kallsyms]                   [k] shrink_page_list
     2.04%     0.07%  Native-Transpor  [kernel.kallsyms]                   [k] do_futex
     1.97%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] mem_cgroup_flush_stats
     1.93%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] cgroup_rstat_flush_irqsafe
     1.85%     0.01%  cluster1-nio-wo  [kernel.kallsyms]                   [k] entry_SYSCALL_64_after_hwframe
     1.84%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] do_syscall_64
     1.75%     0.08%  Native-Transpor  [kernel.kallsyms]                   [k] futex_wait
     1.69%     0.02%  swapper          [kernel.kallsyms]                   [k] schedule_idle
     1.63%     0.20%  swapper          [kernel.kallsyms]                   [k] __schedule
     1.48%     0.29%  Native-Transpor  [kernel.kallsyms]                   [k] cgroup_rstat_flush_locked
     1.43%     0.03%  Native-Transpor  [kernel.kallsyms]                   [k] futex_wait_queue_me
     1.37%     0.00%  swapper          [kernel.kallsyms]                   [k] arch_call_rest_init
     1.37%     0.00%  swapper          [kernel.kallsyms]                   [k] rest_init
     1.37%     0.00%  swapper          [kernel.kallsyms]                   [k] start_kernel
     1.37%     0.00%  swapper          [kernel.kallsyms]                   [k] x86_64_start_kernel
     1.37%     0.00%  swapper          [kernel.kallsyms]                   [k] x86_64_start_reservations
     1.34%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] invalidate_mapping_pages
     1.34%     0.06%  Native-Transpor  [kernel.kallsyms]                   [k] schedule
     1.25%     0.25%  Native-Transpor  [kernel.kallsyms]                   [k] __schedule
     1.21%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] __x64_sys_futex
     1.20%     0.01%  cluster1-nio-wo  [kernel.kallsyms]                   [k] do_futex
     1.20%     0.09%  cluster1-nio-wo  [kernel.kallsyms]                   [k] futex_wake
     1.19%     1.07%  NonPeriodicTask  [kernel.kallsyms]                   [k] find_lock_entries
     1.18%     0.01%  swapper          [kernel.kallsyms]                   [k] asm_sysvec_apic_timer_interrupt
     1.08%     0.01%  swapper          [kernel.kallsyms]                   [k] sysvec_apic_timer_interrupt
     1.08%     1.07%  Native-Transpor  [kernel.kallsyms]                   [k] mem_cgroup_css_rstat_flush
     1.04%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] invalidate_mapping_pagevec
     1.01%     0.03%  cluster1-nio-wo  [kernel.kallsyms]                   [k] wake_up_q
     0.96%     0.07%  cluster1-nio-wo  [kernel.kallsyms]                   [k] try_to_wake_up
     0.93%     0.00%  kswapd0          [kernel.kallsyms]                   [k] rmap_walk
     0.89%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] entry_SYSCALL_64_after_hwframe
     0.89%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] do_syscall_64
     0.88%     0.04%  kswapd0          [kernel.kallsyms]                   [k] rmap_walk_file
     0.88%     0.02%  Native-Transpor  [kernel.kallsyms]                   [k] alloc_pages
     0.87%     0.01%  kswapd1          [kernel.kallsyms]                   [k] rmap_walk
     0.84%     0.03%  Native-Transpor  [kernel.kallsyms]                   [k] __alloc_pages
     0.83%     0.01%  swapper          [kernel.kallsyms]                   [k] __sysvec_apic_timer_interrupt
     0.82%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] page_cache_async_ra
     0.82%     0.18%  NonPeriodicTask  [kernel.kallsyms]                   [k] deactivate_file_page
     0.82%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] ondemand_readahead
     0.81%     0.01%  swapper          [kernel.kallsyms]                   [k] hrtimer_interrupt
     0.81%     0.03%  kswapd1          [kernel.kallsyms]                   [k] rmap_walk_file
     0.80%     0.01%  swapper          [kernel.kallsyms]                   [k] cpuidle_select
     0.80%     0.20%  Native-Transpor  [kernel.kallsyms]                   [k] get_page_from_freelist
     0.78%     0.44%  swapper          [kernel.kallsyms]                   [k] menu_select
     0.76%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] __page_cache_alloc
     0.76%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] asm_sysvec_call_function
     0.75%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] __x64_sys_writev
     0.75%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] do_writev
     0.75%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] asm_sysvec_apic_timer_interrupt
     0.74%     0.36%  Native-Transpor  [kernel.kallsyms]                   [k] __add_to_page_cache_locked
     0.74%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] vfs_writev
     0.73%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] sysvec_apic_timer_interrupt
     0.72%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] read_pages
     0.72%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] do_iter_write
     0.72%     0.30%  NonPeriodicTask  [kernel.kallsyms]                   [k] pagevec_lru_move_fn
     0.71%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] do_iter_readv_writev
     0.71%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] sock_write_iter
     0.71%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] sock_sendmsg
     0.70%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] inet_sendmsg
     0.70%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] tcp_sendmsg
     0.69%     0.02%  Native-Transpor  [kernel.kallsyms]                   [k] try_to_wake_up
     0.68%     0.03%  swapper          [kernel.kallsyms]                   [k] __hrtimer_run_queues
     0.68%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] __sysvec_apic_timer_interrupt
     0.67%     0.04%  swapper          [kernel.kallsyms]                   [k] try_to_wake_up
     0.67%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] hrtimer_interrupt
     0.66%     0.01%  epollEventLoopG  [kernel.kallsyms]                   [k] tcp_sendmsg_locked
     0.62%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] sysvec_call_function
     0.62%     0.01%  swapper          [kernel.kallsyms]                   [k] ttwu_do_activate
     0.61%     0.09%  Native-Transpor  [kernel.kallsyms]                   [k] filemap_map_pages
     0.60%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] __hrtimer_run_queues
     0.59%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] ttwu_do_activate
     0.59%     0.02%  kswapd0          [kernel.kallsyms]                   [k] page_referenced
     0.57%     0.02%  Native-Transpor  [kernel.kallsyms]                   [k] dequeue_task
     0.56%     0.00%  kswapd0          [kernel.kallsyms]                   [k] arch_tlbbatch_flush
     0.56%     0.00%  kswapd0          [kernel.kallsyms]                   [k] try_to_unmap_flush
     0.56%     0.05%  Native-Transpor  [kernel.kallsyms]                   [k] dequeue_task_fair
     0.55%     0.07%  kswapd0          [kernel.kallsyms]                   [k] native_flush_tlb_multi
     0.55%     0.01%  cluster1-nio-wo  [kernel.kallsyms]                   [k] enqueue_task
     0.54%     0.01%  swapper          [kernel.kallsyms]                   [k] common_interrupt
     0.53%     0.00%  swapper          [kernel.kallsyms]                   [k] asm_common_interrupt
     0.53%     0.51%  Native-Transpor  [kernel.kallsyms]                   [k] _raw_spin_lock
     0.53%     0.01%  swapper          [kernel.kallsyms]                   [k] hrtimer_wakeup
     0.53%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] __sysvec_call_function
     0.53%     0.01%  kswapd1          [kernel.kallsyms]                   [k] page_referenced
     0.53%     0.05%  kswapd1          [kernel.kallsyms]                   [k] native_flush_tlb_multi
     0.53%     0.00%  kswapd1          [kernel.kallsyms]                   [k] arch_tlbbatch_flush
     0.53%     0.00%  kswapd1          [kernel.kallsyms]                   [k] try_to_unmap_flush
     0.52%     0.01%  swapper          [kernel.kallsyms]                   [k] wake_up_process
     0.51%     0.01%  swapper          [kernel.kallsyms]                   [k] __common_interrupt
     0.51%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] generic_smp_call_function_single_interrupt
     0.50%     0.00%  swapper          [kernel.kallsyms]                   [k] handle_edge_irq
     0.50%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] hrtimer_wakeup
     0.49%     0.03%  swapper          [kernel.kallsyms]                   [k] enqueue_task
     0.49%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] wake_up_process
     0.49%     0.47%  Native-Transpor  [kernel.kallsyms]                   [k] clear_page_erms
     0.48%     0.00%  kswapd0          [kernel.kallsyms]                   [k] on_each_cpu_cond_mask
     0.48%     0.00%  swapper          [kernel.kallsyms]                   [k] handle_irq_event
     0.48%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] ext4_readahead
     0.47%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] __x64_sys_prctl
     0.47%     0.00%  swapper          [kernel.kallsyms]                   [k] __handle_irq_event_percpu
     0.47%     0.00%  kswapd1          [kernel.kallsyms]                   [k] on_each_cpu_cond_mask
     0.47%     0.00%  swapper          [kernel.kallsyms]                   [k] nvme_irq
     0.47%     0.07%  Native-Transpor  [kernel.kallsyms]                   [k] ext4_mpage_readpages
     0.46%     0.02%  swapper          [kernel.kallsyms]                   [k] nvme_process_cq
     0.46%     0.05%  Native-Transpor  [kernel.kallsyms]                   [k] dequeue_entity
     0.45%     0.02%  Native-Transpor  [kernel.kallsyms]                   [k] __do_sys_prctl
     0.43%     0.08%  kswapd0          [kernel.kallsyms]                   [k] page_referenced_one
     0.43%     0.06%  swapper          [kernel.kallsyms]                   [k] pick_next_task_fair
     0.43%     0.01%  swapper          [kernel.kallsyms]                   [k] nvme_pci_complete_rq
     0.42%     0.04%  swapper          [kernel.kallsyms]                   [k] psi_task_switch
     0.41%     0.37%  kswapd1          [kernel.kallsyms]                   [k] smp_call_function_many_cond
     0.41%     0.27%  swapper          [kernel.kallsyms]                   [k] switch_mm_irqs_off
     0.40%     0.08%  swapper          [kernel.kallsyms]                   [k] enqueue_task_fair
     0.39%     0.06%  kswapd1          [kernel.kallsyms]                   [k] page_referenced_one
     0.39%     0.02%  kswapd1          [kernel.kallsyms]                   [k] __remove_mapping
     0.38%     0.18%  Native-Transpor  [kernel.kallsyms]                   [k] flush_smp_call_function_queue
     0.38%     0.37%  kswapd0          [kernel.kallsyms]                   [k] page_vma_mapped_walk
     0.38%     0.34%  kswapd0          [kernel.kallsyms]                   [k] smp_call_function_many_cond
     0.37%     0.02%  kswapd0          [kernel.kallsyms]                   [k] __remove_mapping
     0.36%     0.01%  swapper          [kernel.kallsyms]                   [k] nvme_complete_rq
     0.36%     0.00%  kcompactd1       [kernel.kallsyms]                   [k] compact_zone
     0.36%     0.00%  kcompactd1       [kernel.kallsyms]                   [k] kcompactd
     0.36%     0.00%  kcompactd1       [kernel.kallsyms]                   [k] kthread
     0.36%     0.00%  kcompactd1       [kernel.kallsyms]                   [k] proactive_compact_node
     0.36%     0.00%  kcompactd1       [kernel.kallsyms]                   [k] ret_from_fork
     0.35%     0.00%  kswapd0          [kernel.kallsyms]                   [k] try_to_unmap
     0.35%     0.00%  kswapd1          [kernel.kallsyms]                   [k] try_to_unmap
     0.35%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] __x64_sys_read
     0.35%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] ksys_read
     0.35%     0.00%  kcompactd1       [kernel.kallsyms]                   [k] migrate_pages
     0.35%     0.35%  swapper          [kernel.kallsyms]                   [k] psi_group_change
     0.35%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] vfs_read
     0.35%     0.00%  swapper          [kernel.kallsyms]                   [k] blk_mq_end_request
     0.35%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] __do_munmap
     0.35%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] __vm_munmap
     0.35%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] __x64_sys_munmap
     0.35%     0.11%  Native-Transpor  [kernel.kallsyms]                   [k] update_load_avg
     0.35%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] __set_task_comm
     0.35%     0.32%  kswapd1          [kernel.kallsyms]                   [k] page_vma_mapped_walk
     0.34%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] new_sync_read
     0.34%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] unmap_region
     0.34%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] sock_read_iter
     0.34%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] sock_recvmsg
     0.33%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] inet6_recvmsg
     0.33%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] tcp_recvmsg
     0.33%     0.14%  kswapd1          [kernel.kallsyms]                   [k] try_to_unmap_one
     0.32%     0.01%  cluster1-nio-wo  [kernel.kallsyms]                   [k] tcp_recvmsg_locked
     0.32%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] perf_event_comm
     0.32%     0.21%  Native-Transpor  [kernel.kallsyms]                   [k] _raw_spin_lock_irqsave
     0.32%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] ttwu_do_activate
     0.32%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] lru_cache_add
     0.31%     0.05%  Native-Transpor  [kernel.kallsyms]                   [k] perf_iterate_sb
     0.31%     0.01%  kswapd0          [kernel.kallsyms]                   [k] shrink_active_list
     0.31%     0.00%  CompactionExecu  [kernel.kallsyms]                   [k] entry_SYSCALL_64_after_hwframe
     0.31%     0.00%  CompactionExecu  [kernel.kallsyms]                   [k] do_syscall_64
     0.31%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] unmap_single_vma
     0.31%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] unmap_vmas
     0.31%     0.28%  kswapd1          [kernel.kallsyms]                   [k] isolate_lru_pages
     0.30%     0.02%  swapper          [kernel.kallsyms]                   [k] tick_nohz_get_sleep_length
     0.30%     0.02%  swapper          [kernel.kallsyms]                   [k] blk_update_request
     0.30%     0.10%  NonPeriodicTask  [kernel.kallsyms]                   [k] unmap_page_range
     0.30%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] enqueue_task
     0.29%     0.15%  swapper          [kernel.kallsyms]                   [k] set_next_entity
     0.29%     0.20%  Native-Transpor  [kernel.kallsyms]                   [k] __pagevec_lru_add
     0.29%     0.04%  cluster1-nio-wo  [kernel.kallsyms]                   [k] enqueue_task_fair
     0.28%     0.00%  kswapd0          [kernel.kallsyms]                   [k] __delete_from_page_cache
     0.28%     0.00%  swapper          [kernel.kallsyms]                   [k] bio_endio
     0.28%     0.09%  kswapd0          [kernel.kallsyms]                   [k] try_to_unmap_one
     0.28%     0.01%  kswapd1          [kernel.kallsyms]                   [k] shrink_active_list
     0.28%     0.01%  epollEventLoopG  [kernel.kallsyms]                   [k] tcp_write_xmit
     0.27%     0.00%  swapper          [kernel.kallsyms]                   [k] mpage_end_io
     0.27%     0.04%  swapper          [kernel.kallsyms]                   [k] flush_smp_call_function_queue
     0.27%     0.25%  Native-Transpor  [kernel.kallsyms]                   [k] next_uptodate_page
     0.27%     0.04%  swapper          [kernel.kallsyms]                   [k] __read_end_io
     0.27%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] tcp_push
     0.27%     0.06%  swapper          [kernel.kallsyms]                   [k] enqueue_entity
     0.26%     0.03%  Native-Transpor  [kernel.kallsyms]                   [k] exit_to_user_mode_prepare
     0.26%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] __tcp_push_pending_frames
     0.26%     0.23%  NonPeriodicTask  [kernel.kallsyms]                   [k] release_pages
     0.26%     0.00%  kswapd1          [kernel.kallsyms]                   [k] __delete_from_page_cache
     0.26%     0.00%  CompactionExecu  [kernel.kallsyms]                   [k] __x64_sys_write
     0.26%     0.00%  CompactionExecu  [kernel.kallsyms]                   [k] ksys_write
     0.26%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] perf_event_comm_output
     0.25%     0.00%  CompactionExecu  [kernel.kallsyms]                   [k] vfs_write
     0.25%     0.02%  cluster1-nio-wo  [kernel.kallsyms]                   [k] psi_task_change
     0.25%     0.03%  swapper          [kernel.kallsyms]                   [k] flush_smp_call_function_from_idle
     0.25%     0.16%  swapper          [kernel.kallsyms]                   [k] update_load_avg
     0.25%     0.09%  cluster1-nio-wo  [kernel.kallsyms]                   [k] enqueue_entity
     0.25%     0.00%  CompactionExecu  [kernel.kallsyms]                   [k] new_sync_write
     0.25%     0.03%  Native-Transpor  [kernel.kallsyms]                   [k] enqueue_task_fair
     0.25%     0.00%  CompactionExecu  [kernel.kallsyms]                   [k] ext4_file_write_iter
     0.24%     0.00%  CompactionExecu  [kernel.kallsyms]                   [k] ext4_buffered_write_iter
     0.24%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] blk_finish_plug
     0.24%     0.00%  java             [kernel.kallsyms]                   [k] asm_sysvec_call_function
     0.24%     0.22%  Native-Transpor  [kernel.kallsyms]                   [k] xas_load
     0.24%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] blk_mq_flush_plug_list
     0.23%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] blk_flush_plug_list
     0.23%     0.00%  CompactionExecu  [kernel.kallsyms]                   [k] generic_perform_write
     0.23%     0.01%  epollEventLoopG  [kernel.kallsyms]                   [k] __tcp_transmit_skb
     0.23%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] asm_common_interrupt
     0.23%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] blk_mq_sched_insert_requests
     0.22%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] __mod_lruvec_state
     0.22%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] common_interrupt
     0.22%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] syscall_exit_to_user_mode
     0.22%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] blk_mq_try_issue_list_directly
     0.22%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] __common_interrupt
     0.22%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] __blk_mq_try_issue_directly
     0.22%     0.19%  kswapd0          [kernel.kallsyms]                   [k] isolate_lru_pages
     0.22%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] do_writev
     0.22%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] __x64_sys_writev
     0.22%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] handle_edge_irq
     0.22%     0.01%  kswapd0          [kernel.kallsyms]                   [k] page_cache_delete
     0.22%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] hrtimer_sleeper_start_expires
     0.21%     0.21%  cluster1-nio-wo  [kernel.kallsyms]                   [k] psi_group_change
     0.21%     0.03%  Native-Transpor  [kernel.kallsyms]                   [k] nvme_queue_rq
     0.21%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] vfs_writev
     0.21%     0.01%  swapper          [kernel.kallsyms]                   [k] unlock_page
     0.21%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] __ip_queue_xmit
     0.21%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] ip_queue_xmit
     0.21%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] handle_irq_event
     0.21%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] do_iter_write
     0.20%     0.12%  Native-Transpor  [kernel.kallsyms]                   [k] flush_tlb_func
     0.20%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] __handle_irq_event_percpu
     0.20%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] do_iter_readv_writev
     0.20%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] sock_sendmsg
     0.20%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] sock_write_iter
     0.20%     0.01%  kswapd1          [kernel.kallsyms]                   [k] page_cache_delete
     0.20%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] inet6_sendmsg
     0.20%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] skb_copy_datagram_iter
     0.20%     0.01%  swapper          [kernel.kallsyms]                   [k] wake_up_page_bit
     0.20%     0.02%  Native-Transpor  [kernel.kallsyms]                   [k] hrtimer_start_range_ns
     0.20%     0.01%  cluster1-nio-wo  [kernel.kallsyms]                   [k] __skb_datagram_iter
     0.20%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] ip_local_out
     0.20%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] nvme_irq
     0.20%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] tcp_sendmsg
     0.20%     0.04%  Native-Transpor  [kernel.kallsyms]                   [k] switch_fpu_return
     0.20%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] ip_output
