# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 95K of event 'cycles'
# Event count (approx.): 21271870935809
#
# Children      Self  Command          Shared Object                       Symbol                                           
# ........  ........  ...............  ..................................  .................................................
#
    67.79%     0.00%  swapper          [kernel.kallsyms]                   [k] secondary_startup_64_no_verify
    67.79%     0.00%  swapper          [kernel.kallsyms]                   [k] cpu_startup_entry
    67.71%     0.10%  swapper          [kernel.kallsyms]                   [k] do_idle
    66.22%     0.00%  swapper          [kernel.kallsyms]                   [k] start_secondary
    64.70%     0.01%  swapper          [kernel.kallsyms]                   [k] cpuidle_enter
    64.65%     0.11%  swapper          [kernel.kallsyms]                   [k] cpuidle_enter_state
    61.74%    61.37%  swapper          [kernel.kallsyms]                   [k] mwait_idle_with_hints.constprop.0
     3.86%     0.00%  kswapd1          [kernel.kallsyms]                   [k] balance_pgdat
     3.86%     0.00%  kswapd1          [kernel.kallsyms]                   [k] kswapd
     3.86%     0.00%  kswapd1          [kernel.kallsyms]                   [k] kthread
     3.86%     0.00%  kswapd1          [kernel.kallsyms]                   [k] ret_from_fork
     3.86%     0.00%  kswapd1          [kernel.kallsyms]                   [k] shrink_node
     3.85%     0.01%  kswapd1          [kernel.kallsyms]                   [k] shrink_lruvec
     2.97%     0.14%  kswapd1          [kernel.kallsyms]                   [k] shrink_page_list
     2.79%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] do_syscall_64
     2.79%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] entry_SYSCALL_64_after_hwframe
     2.69%     0.00%  kswapd0          [kernel.kallsyms]                   [k] shrink_node
     2.69%     0.00%  kswapd0          [kernel.kallsyms]                   [k] balance_pgdat
     2.69%     0.00%  kswapd0          [kernel.kallsyms]                   [k] kswapd
     2.69%     0.00%  kswapd0          [kernel.kallsyms]                   [k] kthread
     2.69%     0.00%  kswapd0          [kernel.kallsyms]                   [k] ret_from_fork
     2.68%     0.01%  kswapd0          [kernel.kallsyms]                   [k] shrink_lruvec
     2.23%     0.07%  kswapd0          [kernel.kallsyms]                   [k] shrink_page_list
     2.13%     0.01%  cluster1-nio-wo  [kernel.kallsyms]                   [k] entry_SYSCALL_64_after_hwframe
     2.11%     0.01%  cluster1-nio-wo  [kernel.kallsyms]                   [k] do_syscall_64
     1.89%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] __x64_sys_fadvise64
     1.89%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] generic_fadvise
     1.89%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] ksys_fadvise64_64
     1.74%     0.01%  NonPeriodicTask  [kernel.kallsyms]                   [k] __invalidate_mapping_pages
     1.69%     1.65%  swapper          [kernel.kallsyms]                   [k] poll_idle
     1.57%     0.00%  swapper          [kernel.kallsyms]                   [k] arch_call_rest_init
     1.57%     0.00%  swapper          [kernel.kallsyms]                   [k] rest_init
     1.57%     0.00%  swapper          [kernel.kallsyms]                   [k] start_kernel
