# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 5K of event 'cycles'
# Event count (approx.): 9450095231524
#
# Children      Self  Command          Shared Object      Symbol                                        
# ........  ........  ...............  .................  ..............................................
#
    70.19%     0.03%  swapper          [kernel.kallsyms]  [k] cpu_startup_entry
    70.19%     0.00%  swapper          [kernel.kallsyms]  [k] secondary_startup_64_no_verify
    70.09%     0.09%  swapper          [kernel.kallsyms]  [k] do_idle
    69.13%     0.00%  swapper          [kernel.kallsyms]  [k] start_secondary
    68.19%     0.03%  swapper          [kernel.kallsyms]  [k] cpuidle_enter
    68.12%     0.10%  swapper          [kernel.kallsyms]  [k] cpuidle_enter_state
    65.34%    62.09%  swapper          [kernel.kallsyms]  [k] mwait_idle_with_hints.constprop.0
     4.85%     0.00%  kswapd1          [kernel.kallsyms]  [k] balance_pgdat
     4.85%     0.00%  kswapd1          [kernel.kallsyms]  [k] kswapd
     4.85%     0.00%  kswapd1          [kernel.kallsyms]  [k] kthread
     4.85%     0.00%  kswapd1          [kernel.kallsyms]  [k] ret_from_fork
     4.85%     0.00%  kswapd1          [kernel.kallsyms]  [k] shrink_node
     4.82%     0.00%  kswapd1          [kernel.kallsyms]  [k] shrink_lruvec
     4.22%     0.00%  kswapd0          [kernel.kallsyms]  [k] balance_pgdat
     4.22%     0.00%  kswapd0          [kernel.kallsyms]  [k] kswapd
     4.22%     0.00%  kswapd0          [kernel.kallsyms]  [k] kthread
     4.22%     0.00%  kswapd0          [kernel.kallsyms]  [k] ret_from_fork
     4.22%     0.00%  kswapd0          [kernel.kallsyms]  [k] shrink_lruvec
     4.22%     0.00%  kswapd0          [kernel.kallsyms]  [k] shrink_node
     3.38%     0.06%  kswapd1          [kernel.kallsyms]  [k] shrink_page_list
     3.35%     3.35%  swapper          [unknown]          [.] 0000000000000000
     3.15%     0.00%  NonPeriodicTask  [kernel.kallsyms]  [k] do_syscall_64
     3.15%     0.00%  NonPeriodicTask  [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     3.08%     0.00%  Native-Transpor  [kernel.kallsyms]  [k] asm_exc_page_fault
     3.07%     0.00%  Native-Transpor  [kernel.kallsyms]  [k] exc_page_fault
