# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 266K of event 'cycles'
# Event count (approx.): 5333163077093
#
# Children      Self  Command          Shared Object                       Symbol                                          
# ........  ........  ...............  ..................................  ................................................
#
    67.27%     0.00%  swapper          [kernel.kallsyms]                   [k] secondary_startup_64_no_verify
    67.26%     0.01%  swapper          [kernel.kallsyms]                   [k] cpu_startup_entry
    67.13%     0.21%  swapper          [kernel.kallsyms]                   [k] do_idle
    65.79%     0.00%  swapper          [kernel.kallsyms]                   [k] start_secondary
    63.54%     0.01%  swapper          [kernel.kallsyms]                   [k] cpuidle_enter
    63.46%     0.18%  swapper          [kernel.kallsyms]                   [k] cpuidle_enter_state
    59.10%    59.02%  swapper          [kernel.kallsyms]                   [k] mwait_idle_with_hints.constprop.0
     5.28%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] asm_exc_page_fault
     5.26%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] exc_page_fault
     5.22%     0.02%  Native-Transpor  [kernel.kallsyms]                   [k] do_user_addr_fault
     5.08%     0.02%  Native-Transpor  [kernel.kallsyms]                   [k] handle_mm_fault
     4.97%     0.09%  Native-Transpor  [kernel.kallsyms]                   [k] __handle_mm_fault
     4.36%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] __do_fault
     4.35%     0.02%  Native-Transpor  [kernel.kallsyms]                   [k] filemap_fault
     4.14%     0.05%  Native-Transpor  [kernel.kallsyms]                   [k] page_cache_ra_unbounded
     3.46%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] do_page_cache_ra
     3.24%     0.05%  Native-Transpor  [kernel.kallsyms]                   [k] entry_SYSCALL_64_after_hwframe
     3.17%     0.03%  Native-Transpor  [kernel.kallsyms]                   [k] do_syscall_64
     3.06%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] do_syscall_64
     3.06%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] entry_SYSCALL_64_after_hwframe
     2.85%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] __x64_sys_fadvise64
     2.85%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] ksys_fadvise64_64
