# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 16K of event 'cycles'
# Event count (approx.): 6600941935438
#
# Children      Self  Command          Shared Object                       Symbol                                           
# ........  ........  ...............  ..................................  .................................................
#
    72.84%     0.00%  swapper          [kernel.kallsyms]                   [k] secondary_startup_64_no_verify
    72.84%     0.01%  swapper          [kernel.kallsyms]                   [k] cpu_startup_entry
    72.77%     0.08%  swapper          [kernel.kallsyms]                   [k] do_idle
    71.82%     0.00%  swapper          [kernel.kallsyms]                   [k] start_secondary
    68.80%     0.01%  swapper          [kernel.kallsyms]                   [k] cpuidle_enter
    68.77%     0.05%  swapper          [kernel.kallsyms]                   [k] cpuidle_enter_state
    63.73%    63.59%  swapper          [kernel.kallsyms]                   [k] mwait_idle_with_hints.constprop.0
     4.22%     4.16%  swapper          [kernel.kallsyms]                   [k] poll_idle
     3.24%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] entry_SYSCALL_64_after_hwframe
     3.24%     0.01%  cluster1-nio-wo  [kernel.kallsyms]                   [k] do_syscall_64
     3.05%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] asm_exc_page_fault
     3.04%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] exc_page_fault
     3.02%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] do_user_addr_fault
     2.96%     0.02%  Native-Transpor  [kernel.kallsyms]                   [k] handle_mm_fault
     2.94%     0.05%  Native-Transpor  [kernel.kallsyms]                   [k] __handle_mm_fault
     2.84%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] do_syscall_64
     2.84%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] entry_SYSCALL_64_after_hwframe
     2.68%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] __do_fault
     2.67%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] filemap_fault
     2.62%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] __tcp_transmit_skb
     2.61%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] ip_queue_xmit
     2.61%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] __ip_queue_xmit
     2.61%     0.03%  Native-Transpor  [kernel.kallsyms]                   [k] page_cache_ra_unbounded
     2.60%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] __ip_finish_output
     2.60%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] ip_local_out
     2.60%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] ip_output
     2.60%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] ip_finish_output2
     2.60%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] ip_finish_output
     2.59%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] net_rx_action
     2.59%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] __local_bh_enable_ip
     2.59%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] do_softirq
     2.59%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] __napi_poll
     2.59%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] __netif_receive_skb
     2.59%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] __netif_receive_skb_one_core
     2.59%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] __softirqentry_text_start
     2.59%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] ip_rcv
     2.59%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] process_backlog
     2.58%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] ip_protocol_deliver_rcu
     2.58%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] ip_local_deliver
     2.58%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] ip_local_deliver_finish
     2.58%     0.01%  cluster1-nio-wo  [kernel.kallsyms]                   [k] tcp_v4_rcv
     2.57%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] __x64_sys_fadvise64
     2.57%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] generic_fadvise
     2.57%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] ksys_fadvise64_64
     2.48%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] __invalidate_mapping_pages
     2.42%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] do_page_cache_ra
     2.22%     0.01%  swapper          [kernel.kallsyms]                   [k] schedule_idle
     2.20%     0.09%  swapper          [kernel.kallsyms]                   [k] __schedule
     2.07%     2.03%  NonPeriodicTask  [kernel.kallsyms]                   [k] find_lock_entries
     2.05%     0.00%  ReadStage-104    [kernel.kallsyms]                   [k] __handle_mm_fault
     2.05%     0.00%  ReadStage-104    [kernel.kallsyms]                   [k] asm_exc_page_fault
     2.05%     0.00%  ReadStage-104    [kernel.kallsyms]                   [k] do_user_addr_fault
     2.05%     0.00%  ReadStage-104    [kernel.kallsyms]                   [k] exc_page_fault
     2.05%     0.00%  ReadStage-104    [kernel.kallsyms]                   [k] handle_mm_fault
     2.05%     0.00%  ReadStage-104    [kernel.kallsyms]                   [k] __do_fault
     2.05%     0.00%  ReadStage-104    [kernel.kallsyms]                   [k] filemap_fault
     2.05%     0.00%  ReadStage-104    [kernel.kallsyms]                   [k] page_cache_ra_unbounded
     2.05%     0.00%  ReadStage-104    [kernel.kallsyms]                   [k] do_page_cache_ra
     2.04%     0.00%  ReadStage-104    [kernel.kallsyms]                   [k] ext4_map_blocks
     2.04%     0.00%  ReadStage-104    [kernel.kallsyms]                   [k] ext4_mpage_readpages
     2.04%     0.00%  ReadStage-104    [kernel.kallsyms]                   [k] ext4_readahead
     2.04%     0.00%  ReadStage-104    [kernel.kallsyms]                   [k] read_pages
     2.04%     2.04%  ReadStage-104    [kernel.kallsyms]                   [k] ext4_es_lookup_extent
     1.96%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] invalidate_mapping_pagevec
     1.79%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] read_pages
     1.69%     0.10%  swapper          [kernel.kallsyms]                   [k] switch_mm_irqs_off
     1.68%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] ext4_readahead
     1.68%     0.05%  Native-Transpor  [kernel.kallsyms]                   [k] ext4_mpage_readpages
     1.66%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] asm_sysvec_apic_timer_interrupt
     1.65%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] sysvec_apic_timer_interrupt
     1.62%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] hrtimer_interrupt
     1.62%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] __sysvec_apic_timer_interrupt
     1.61%     0.00%  ReadStage-148    [kernel.kallsyms]                   [k] asm_exc_page_fault
     1.61%     0.00%  ReadStage-148    [kernel.kallsyms]                   [k] do_user_addr_fault
     1.61%     0.00%  ReadStage-148    [kernel.kallsyms]                   [k] exc_page_fault
     1.61%     1.61%  ReadStage-148    [kernel.kallsyms]                   [k] vmacache_update
     1.61%     0.00%  ReadStage-148    [kernel.kallsyms]                   [k] find_vma
     1.60%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] try_to_wake_up
     1.59%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] __hrtimer_run_queues
     1.58%     1.58%  swapper          [kernel.kallsyms]                   [k] load_new_mm_cr3
