# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 3K of event 'cycles'
# Event count (approx.): 3481936435016
#
# Children      Self  Command          Shared Object      Symbol                                        
# ........  ........  ...............  .................  ..............................................
#
    69.17%     0.02%  swapper          [kernel.kallsyms]  [k] cpu_startup_entry
    69.17%     0.00%  swapper          [kernel.kallsyms]  [k] secondary_startup_64_no_verify
    68.91%     0.62%  swapper          [kernel.kallsyms]  [k] do_idle
    67.23%     0.00%  swapper          [kernel.kallsyms]  [k] start_secondary
    65.55%     0.03%  swapper          [kernel.kallsyms]  [k] cpuidle_enter
    65.43%     0.18%  swapper          [kernel.kallsyms]  [k] cpuidle_enter_state
    60.58%    59.21%  swapper          [kernel.kallsyms]  [k] mwait_idle_with_hints.constprop.0
     4.94%     0.00%  NonPeriodicTask  [kernel.kallsyms]  [k] do_syscall_64
     4.94%     0.00%  NonPeriodicTask  [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     3.53%     0.00%  NonPeriodicTask  [kernel.kallsyms]  [k] __x64_sys_fadvise64
     3.53%     0.00%  NonPeriodicTask  [kernel.kallsyms]  [k] generic_fadvise
     3.53%     0.00%  NonPeriodicTask  [kernel.kallsyms]  [k] ksys_fadvise64_64
     3.38%     0.00%  kswapd0          [kernel.kallsyms]  [k] balance_pgdat
     3.38%     0.00%  kswapd0          [kernel.kallsyms]  [k] kswapd
     3.38%     0.00%  kswapd0          [kernel.kallsyms]  [k] kthread
     3.38%     0.00%  kswapd0          [kernel.kallsyms]  [k] ret_from_fork
     3.30%     0.00%  kswapd0          [kernel.kallsyms]  [k] shrink_node
     3.22%     2.98%  swapper          [kernel.kallsyms]  [k] poll_idle
     3.15%     0.00%  NonPeriodicTask  [kernel.kallsyms]  [k] __invalidate_mapping_pages
     3.14%     0.03%  Native-Transpor  [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     3.11%     0.04%  Native-Transpor  [kernel.kallsyms]  [k] do_syscall_64
     3.07%     0.00%  kswapd0          [kernel.kallsyms]  [k] evict_pages
     3.07%     0.00%  kswapd0          [kernel.kallsyms]  [k] shrink_lruvec
     3.01%     0.00%  Native-Transpor  [kernel.kallsyms]  [k] asm_exc_page_fault
     2.98%     0.00%  Native-Transpor  [kernel.kallsyms]  [k] exc_page_fault
     2.93%     0.01%  Native-Transpor  [kernel.kallsyms]  [k] do_user_addr_fault
     2.92%     0.06%  Native-Transpor  [kernel.kallsyms]  [k] __handle_mm_fault
     2.92%     0.00%  Native-Transpor  [kernel.kallsyms]  [k] handle_mm_fault
     2.70%     0.18%  kswapd0          [kernel.kallsyms]  [k] shrink_page_list
     2.35%     0.00%  Native-Transpor  [kernel.kallsyms]  [k] __do_fault
     2.35%     0.04%  Native-Transpor  [kernel.kallsyms]  [k] filemap_fault
     2.34%     0.03%  Native-Transpor  [kernel.kallsyms]  [k] __x64_sys_futex
     2.32%     0.00%  kswapd1          [kernel.kallsyms]  [k] balance_pgdat
     2.32%     0.00%  kswapd1          [kernel.kallsyms]  [k] kswapd
     2.32%     0.00%  kswapd1          [kernel.kallsyms]  [k] kthread
     2.32%     0.00%  kswapd1          [kernel.kallsyms]  [k] ret_from_fork
     2.32%     0.00%  kswapd1          [kernel.kallsyms]  [k] shrink_node
     2.26%     0.00%  kswapd1          [kernel.kallsyms]  [k] evict_pages
     2.26%     0.00%  kswapd1          [kernel.kallsyms]  [k] shrink_lruvec
     2.19%     0.07%  Native-Transpor  [kernel.kallsyms]  [k] do_futex
     2.03%     0.00%  Native-Transpor  [kernel.kallsyms]  [k] page_cache_ra_unbounded
     1.95%     0.00%  swapper          [kernel.kallsyms]  [k] arch_call_rest_init
     1.95%     0.00%  swapper          [kernel.kallsyms]  [k] rest_init
     1.95%     0.00%  swapper          [kernel.kallsyms]  [k] start_kernel
     1.95%     0.00%  swapper          [kernel.kallsyms]  [k] x86_64_start_kernel
     1.95%     0.00%  swapper          [kernel.kallsyms]  [k] x86_64_start_reservations
     1.92%     0.00%  Native-Transpor  [kernel.kallsyms]  [k] futex_wait
     1.76%     1.41%  NonPeriodicTask  [kernel.kallsyms]  [k] find_lock_entries
     1.75%     0.00%  NonPeriodicTask  [kernel.kallsyms]  [k] invalidate_mapping_pages
