# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 130K of event 'cycles'
# Event count (approx.): 2636509785394
#
# Children      Self  Command          Shared Object                       Symbol                                           
# ........  ........  ...............  ..................................  .................................................
#
    70.20%     0.00%  swapper          [kernel.kallsyms]                   [k] secondary_startup_64_no_verify
    70.19%     0.02%  swapper          [kernel.kallsyms]                   [k] cpu_startup_entry
    70.03%     0.20%  swapper          [kernel.kallsyms]                   [k] do_idle
    68.54%     0.00%  swapper          [kernel.kallsyms]                   [k] start_secondary
    66.38%     0.01%  swapper          [kernel.kallsyms]                   [k] cpuidle_enter
    66.31%     0.18%  swapper          [kernel.kallsyms]                   [k] cpuidle_enter_state
    61.59%    61.53%  swapper          [kernel.kallsyms]                   [k] mwait_idle_with_hints.constprop.0
     3.74%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] asm_exc_page_fault
     3.73%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] exc_page_fault
     3.72%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] do_syscall_64
     3.72%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] entry_SYSCALL_64_after_hwframe
     3.69%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] do_user_addr_fault
     3.58%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] handle_mm_fault
     3.54%     0.08%  Native-Transpor  [kernel.kallsyms]                   [k] __handle_mm_fault
     3.53%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] __x64_sys_fadvise64
     3.53%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] generic_fadvise
     3.53%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] ksys_fadvise64_64
     3.53%     0.04%  Native-Transpor  [kernel.kallsyms]                   [k] entry_SYSCALL_64_after_hwframe
     3.47%     0.02%  Native-Transpor  [kernel.kallsyms]                   [k] do_syscall_64
     3.05%     0.06%  NonPeriodicTask  [kernel.kallsyms]                   [k] __invalidate_mapping_pages
     3.01%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] __do_fault
     3.01%     0.02%  Native-Transpor  [kernel.kallsyms]                   [k] filemap_fault
     2.85%     0.04%  Native-Transpor  [kernel.kallsyms]                   [k] page_cache_ra_unbounded
     2.82%     2.69%  swapper          [kernel.kallsyms]                   [k] poll_idle
     2.55%     0.09%  Native-Transpor  [kernel.kallsyms]                   [k] __x64_sys_futex
     2.51%     0.00%  kswapd0          [kernel.kallsyms]                   [k] kswapd
     2.51%     0.00%  kswapd0          [kernel.kallsyms]                   [k] kthread
     2.51%     0.00%  kswapd0          [kernel.kallsyms]                   [k] ret_from_fork
     2.51%     0.00%  kswapd0          [kernel.kallsyms]                   [k] balance_pgdat
     2.44%     0.00%  kswapd0          [kernel.kallsyms]                   [k] shrink_node
     2.41%     0.04%  Native-Transpor  [kernel.kallsyms]                   [k] do_futex
     2.28%     0.00%  kswapd0          [kernel.kallsyms]                   [k] shrink_lruvec
     2.27%     0.01%  kswapd0          [kernel.kallsyms]                   [k] evict_pages
     2.27%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] do_page_cache_ra
     2.14%     0.11%  Native-Transpor  [kernel.kallsyms]                   [k] futex_wait
     2.01%     0.01%  cluster1-nio-wo  [kernel.kallsyms]                   [k] entry_SYSCALL_64_after_hwframe
     2.00%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] do_syscall_64
     1.92%     0.11%  kswapd0          [kernel.kallsyms]                   [k] shrink_page_list
     1.88%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] invalidate_mapping_pagevec
     1.82%     0.03%  swapper          [kernel.kallsyms]                   [k] schedule_idle
     1.76%     0.06%  Native-Transpor  [kernel.kallsyms]                   [k] futex_wait_queue_me
     1.75%     0.29%  swapper          [kernel.kallsyms]                   [k] __schedule
     1.66%     0.00%  swapper          [kernel.kallsyms]                   [k] arch_call_rest_init
     1.66%     0.00%  swapper          [kernel.kallsyms]                   [k] rest_init
     1.66%     0.00%  swapper          [kernel.kallsyms]                   [k] start_kernel
     1.66%     0.00%  swapper          [kernel.kallsyms]                   [k] x86_64_start_kernel
     1.66%     0.00%  swapper          [kernel.kallsyms]                   [k] x86_64_start_reservations
     1.66%     1.46%  NonPeriodicTask  [kernel.kallsyms]                   [k] find_lock_entries
     1.62%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] invalidate_mapping_pages
     1.56%     0.07%  Native-Transpor  [kernel.kallsyms]                   [k] schedule
     1.43%     0.27%  Native-Transpor  [kernel.kallsyms]                   [k] __schedule
