# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 6K of event 'cycles'
# Event count (approx.): 6561626682490
#
# Children      Self  Command          Shared Object      Symbol                                        
# ........  ........  ...............  .................  ..............................................
#
    69.11%     0.00%  swapper          [kernel.kallsyms]  [k] cpu_startup_entry
    69.11%     0.00%  swapper          [kernel.kallsyms]  [k] secondary_startup_64_no_verify
    68.92%     0.13%  swapper          [kernel.kallsyms]  [k] do_idle
    66.93%     0.00%  swapper          [kernel.kallsyms]  [k] start_secondary
    66.16%     0.00%  swapper          [kernel.kallsyms]  [k] cpuidle_enter
    66.09%     0.18%  swapper          [kernel.kallsyms]  [k] cpuidle_enter_state
    61.62%    60.05%  swapper          [kernel.kallsyms]  [k] mwait_idle_with_hints.constprop.0
     5.33%     0.00%  NonPeriodicTask  [kernel.kallsyms]  [k] do_syscall_64
     5.33%     0.00%  NonPeriodicTask  [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     4.55%     0.00%  NonPeriodicTask  [kernel.kallsyms]  [k] __x64_sys_fadvise64
     4.55%     0.00%  NonPeriodicTask  [kernel.kallsyms]  [k] generic_fadvise
     4.55%     0.00%  NonPeriodicTask  [kernel.kallsyms]  [k] ksys_fadvise64_64
     3.97%     0.02%  NonPeriodicTask  [kernel.kallsyms]  [k] __invalidate_mapping_pages
     3.43%     0.00%  kswapd0          [kernel.kallsyms]  [k] balance_pgdat
     3.43%     0.00%  kswapd0          [kernel.kallsyms]  [k] kswapd
     3.43%     0.00%  kswapd0          [kernel.kallsyms]  [k] kthread
     3.43%     0.00%  kswapd0          [kernel.kallsyms]  [k] ret_from_fork
     3.36%     0.00%  kswapd0          [kernel.kallsyms]  [k] shrink_node
     2.95%     2.85%  swapper          [kernel.kallsyms]  [k] poll_idle
     2.86%     0.06%  kswapd0          [kernel.kallsyms]  [k] evict_pages
     2.86%     0.00%  kswapd0          [kernel.kallsyms]  [k] shrink_lruvec
     2.86%     0.00%  Native-Transpor  [kernel.kallsyms]  [k] asm_exc_page_fault
     2.84%     0.00%  Native-Transpor  [kernel.kallsyms]  [k] exc_page_fault
     2.83%     0.02%  Native-Transpor  [kernel.kallsyms]  [k] do_user_addr_fault
     2.74%     0.06%  Native-Transpor  [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     2.70%     0.00%  Native-Transpor  [kernel.kallsyms]  [k] handle_mm_fault
     2.68%     0.05%  Native-Transpor  [kernel.kallsyms]  [k] __handle_mm_fault
     2.66%     0.04%  Native-Transpor  [kernel.kallsyms]  [k] do_syscall_64
     2.58%     0.00%  NonPeriodicTask  [kernel.kallsyms]  [k] invalidate_mapping_pages
     2.44%     0.00%  kswapd1          [kernel.kallsyms]  [k] balance_pgdat
     2.44%     0.00%  kswapd1          [kernel.kallsyms]  [k] evict_pages
     2.44%     0.00%  kswapd1          [kernel.kallsyms]  [k] kswapd
     2.44%     0.00%  kswapd1          [kernel.kallsyms]  [k] kthread
     2.44%     0.00%  kswapd1          [kernel.kallsyms]  [k] ret_from_fork
     2.44%     0.00%  kswapd1          [kernel.kallsyms]  [k] shrink_lruvec
