# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 16K of event 'cycles'
# Event count (approx.): 9560623236151
#
# Children      Self  Command          Shared Object                       Symbol                                        
# ........  ........  ...............  ..................................  ..............................................
#
    65.02%     0.01%  swapper          [kernel.kallsyms]                   [k] cpu_startup_entry
    65.02%     0.00%  swapper          [kernel.kallsyms]                   [k] secondary_startup_64_no_verify
    64.94%     0.08%  swapper          [kernel.kallsyms]                   [k] do_idle
    64.08%     0.00%  swapper          [kernel.kallsyms]                   [k] start_secondary
    62.77%     0.00%  swapper          [kernel.kallsyms]                   [k] cpuidle_enter
    62.73%     0.09%  swapper          [kernel.kallsyms]                   [k] cpuidle_enter_state
    57.15%    56.79%  swapper          [kernel.kallsyms]                   [k] mwait_idle_with_hints.constprop.0
     6.66%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] do_syscall_64
     6.66%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] entry_SYSCALL_64_after_hwframe
     6.29%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] __x64_sys_fadvise64
     6.29%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] generic_fadvise
     6.29%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] ksys_fadvise64_64
     6.08%     0.09%  NonPeriodicTask  [kernel.kallsyms]                   [k] __invalidate_mapping_pages
     5.17%     5.02%  NonPeriodicTask  [kernel.kallsyms]                   [k] find_lock_entries
     4.93%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] invalidate_mapping_pages
     4.24%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] entry_SYSCALL_64_after_hwframe
     4.22%     0.02%  Native-Transpor  [kernel.kallsyms]                   [k] do_syscall_64
     3.91%     3.84%  swapper          [kernel.kallsyms]                   [k] poll_idle
     3.75%     0.37%  Native-Transpor  [kernel.kallsyms]                   [k] __x64_sys_futex
     3.71%     0.00%  kswapd1          [kernel.kallsyms]                   [k] balance_pgdat
     3.71%     0.00%  kswapd1          [kernel.kallsyms]                   [k] kswapd
     3.71%     0.00%  kswapd1          [kernel.kallsyms]                   [k] kthread
     3.71%     0.00%  kswapd1          [kernel.kallsyms]                   [k] ret_from_fork
     3.68%     0.00%  kswapd1          [kernel.kallsyms]                   [k] shrink_node
     3.63%     0.01%  kswapd1          [kernel.kallsyms]                   [k] evict_pages
     3.63%     0.00%  kswapd1          [kernel.kallsyms]                   [k] shrink_lruvec
     3.58%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] asm_exc_page_fault
