# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 3K of event 'cycles'
# Event count (approx.): 3590756798396
#
# Children      Self  Command          Shared Object      Symbol                                        
# ........  ........  ...............  .................  ..............................................
#
    70.03%     0.00%  swapper          [kernel.kallsyms]  [k] secondary_startup_64_no_verify
    70.01%     0.00%  swapper          [kernel.kallsyms]  [k] cpu_startup_entry
    69.97%     0.25%  swapper          [kernel.kallsyms]  [k] do_idle
    68.59%     0.00%  swapper          [kernel.kallsyms]  [k] start_secondary
    67.26%     0.00%  swapper          [kernel.kallsyms]  [k] cpuidle_enter
    67.22%     0.11%  swapper          [kernel.kallsyms]  [k] cpuidle_enter_state
    62.11%    60.25%  swapper          [kernel.kallsyms]  [k] mwait_idle_with_hints.constprop.0
     4.99%     0.00%  NonPeriodicTask  [kernel.kallsyms]  [k] do_syscall_64
     4.99%     0.00%  NonPeriodicTask  [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     4.00%     0.00%  NonPeriodicTask  [kernel.kallsyms]  [k] __x64_sys_fadvise64
     4.00%     0.00%  NonPeriodicTask  [kernel.kallsyms]  [k] generic_fadvise
     4.00%     0.00%  NonPeriodicTask  [kernel.kallsyms]  [k] ksys_fadvise64_64
     3.69%     0.00%  NonPeriodicTask  [kernel.kallsyms]  [k] __invalidate_mapping_pages
     3.60%     3.45%  swapper          [kernel.kallsyms]  [k] poll_idle
     3.12%     0.00%  kswapd1          [kernel.kallsyms]  [k] balance_pgdat
     3.12%     0.00%  kswapd1          [kernel.kallsyms]  [k] kswapd
     3.12%     0.00%  kswapd1          [kernel.kallsyms]  [k] kthread
     3.12%     0.00%  kswapd1          [kernel.kallsyms]  [k] ret_from_fork
     3.12%     0.00%  kswapd1          [kernel.kallsyms]  [k] shrink_node
     3.07%     0.00%  kswapd1          [kernel.kallsyms]  [k] evict_pages
     3.07%     0.00%  kswapd1          [kernel.kallsyms]  [k] shrink_lruvec
     2.89%     0.00%  Native-Transpor  [kernel.kallsyms]  [k] asm_exc_page_fault
     2.86%     0.00%  Native-Transpor  [kernel.kallsyms]  [k] exc_page_fault
     2.85%     0.00%  Native-Transpor  [kernel.kallsyms]  [k] do_user_addr_fault
     2.82%     0.08%  Native-Transpor  [kernel.kallsyms]  [k] __handle_mm_fault
     2.82%     0.00%  Native-Transpor  [kernel.kallsyms]  [k] handle_mm_fault
     2.78%     0.06%  Native-Transpor  [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     2.72%     0.03%  Native-Transpor  [kernel.kallsyms]  [k] do_syscall_64
     2.58%     0.14%  kswapd1          [kernel.kallsyms]  [k] shrink_page_list
     2.38%     2.12%  NonPeriodicTask  [kernel.kallsyms]  [k] find_lock_entries
     2.34%     0.00%  NonPeriodicTask  [kernel.kallsyms]  [k] invalidate_mapping_pages
     2.03%     2.03%  swapper          [unknown]          [.] 0000000000000000
     1.91%     0.00%  Native-Transpor  [kernel.kallsyms]  [k] __do_fault
     1.88%     0.00%  Native-Transpor  [kernel.kallsyms]  [k] filemap_fault
     1.84%     0.05%  Native-Transpor  [kernel.kallsyms]  [k] __x64_sys_futex
     1.76%     0.11%  Native-Transpor  [kernel.kallsyms]  [k] do_futex
