# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 32K of event 'cycles'
# Event count (approx.): 13867351128519
#
# Children      Self  Command          Shared Object      Symbol                                           
# ........  ........  ...............  .................  .................................................
#
    73.45%     0.00%  swapper          [kernel.kallsyms]  [k] secondary_startup_64_no_verify
    73.45%     0.01%  swapper          [kernel.kallsyms]  [k] cpu_startup_entry
    73.36%     0.08%  swapper          [kernel.kallsyms]  [k] do_idle
    71.23%     0.01%  swapper          [kernel.kallsyms]  [k] cpuidle_enter
    71.19%     0.11%  swapper          [kernel.kallsyms]  [k] cpuidle_enter_state
    70.79%     0.00%  swapper          [kernel.kallsyms]  [k] start_secondary
    68.86%    67.52%  swapper          [kernel.kallsyms]  [k] mwait_idle_with_hints.constprop.0
     4.09%     0.00%  kswapd0          [kernel.kallsyms]  [k] balance_pgdat
     4.09%     0.00%  kswapd0          [kernel.kallsyms]  [k] kswapd
     4.09%     0.00%  kswapd0          [kernel.kallsyms]  [k] kthread
     4.09%     0.00%  kswapd0          [kernel.kallsyms]  [k] ret_from_fork
     4.04%     0.00%  kswapd0          [kernel.kallsyms]  [k] shrink_node
     3.97%     0.03%  kswapd0          [kernel.kallsyms]  [k] evict_pages
     3.97%     0.00%  kswapd0          [kernel.kallsyms]  [k] shrink_lruvec
     3.49%     0.06%  kswapd0          [kernel.kallsyms]  [k] shrink_page_list
     2.66%     0.00%  swapper          [kernel.kallsyms]  [k] arch_call_rest_init
     2.66%     0.00%  swapper          [kernel.kallsyms]  [k] rest_init
     2.66%     0.00%  swapper          [kernel.kallsyms]  [k] start_kernel
     2.66%     0.00%  swapper          [kernel.kallsyms]  [k] x86_64_start_kernel
     2.66%     0.00%  swapper          [kernel.kallsyms]  [k] x86_64_start_reservations
     2.55%     0.00%  NonPeriodicTask  [kernel.kallsyms]  [k] do_syscall_64
     2.55%     0.00%  NonPeriodicTask  [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     2.34%     0.02%  cluster1-nio-wo  [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     2.31%     0.02%  cluster1-nio-wo  [kernel.kallsyms]  [k] do_syscall_64
     2.23%     0.01%  epollEventLoopG  [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     2.22%     0.02%  kswapd0          [kernel.kallsyms]  [k] __remove_mapping
     2.22%     0.00%  epollEventLoopG  [kernel.kallsyms]  [k] do_syscall_64
     2.15%     0.00%  kswapd1          [kernel.kallsyms]  [k] balance_pgdat
     2.15%     0.00%  kswapd1          [kernel.kallsyms]  [k] kswapd
     2.15%     0.00%  kswapd1          [kernel.kallsyms]  [k] kthread
     2.15%     0.00%  kswapd1          [kernel.kallsyms]  [k] ret_from_fork
     2.13%     0.00%  kswapd1          [kernel.kallsyms]  [k] shrink_node
     2.11%     0.00%  kswapd0          [kernel.kallsyms]  [k] __delete_from_page_cache
     2.06%     0.01%  kswapd1          [kernel.kallsyms]  [k] evict_pages
     2.06%     0.00%  kswapd1          [kernel.kallsyms]  [k] shrink_lruvec
     2.04%     0.01%  kswapd0          [kernel.kallsyms]  [k] page_cache_delete
     1.98%     0.03%  kswapd0          [kernel.kallsyms]  [k] xas_store
     1.95%     1.94%  kswapd0          [kernel.kallsyms]  [k] xas_create
     1.85%     0.02%  Native-Transpor  [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     1.83%     0.01%  Native-Transpor  [kernel.kallsyms]  [k] do_syscall_64
     1.79%     0.00%  NonPeriodicTask  [kernel.kallsyms]  [k] __x64_sys_fadvise64
     1.79%     0.00%  NonPeriodicTask  [kernel.kallsyms]  [k] generic_fadvise
     1.79%     0.00%  NonPeriodicTask  [kernel.kallsyms]  [k] ksys_fadvise64_64
     1.66%     0.07%  kswapd1          [kernel.kallsyms]  [k] shrink_page_list
     1.64%     0.01%  NonPeriodicTask  [kernel.kallsyms]  [k] __invalidate_mapping_pages
     1.63%     0.00%  epollEventLoopG  [kernel.kallsyms]  [k] do_writev
     1.63%     0.00%  epollEventLoopG  [kernel.kallsyms]  [k] __x64_sys_writev
     1.62%     0.00%  epollEventLoopG  [kernel.kallsyms]  [k] vfs_writev
     1.60%     0.00%  epollEventLoopG  [kernel.kallsyms]  [k] do_iter_write
     1.59%     0.01%  epollEventLoopG  [kernel.kallsyms]  [k] do_iter_readv_writev
     1.58%     0.00%  epollEventLoopG  [kernel.kallsyms]  [k] sock_write_iter
     1.58%     0.01%  epollEventLoopG  [kernel.kallsyms]  [k] sock_sendmsg
     1.57%     0.00%  epollEventLoopG  [kernel.kallsyms]  [k] inet_sendmsg
     1.57%     0.00%  epollEventLoopG  [kernel.kallsyms]  [k] tcp_sendmsg
     1.52%     0.02%  Native-Transpor  [kernel.kallsyms]  [k] __x64_sys_futex
     1.49%     0.64%  epollEventLoopG  [kernel.kallsyms]  [k] tcp_sendmsg_locked
     1.48%     0.03%  Native-Transpor  [kernel.kallsyms]  [k] do_futex
     1.41%     1.41%  swapper          [unknown]          [.] 0000000000000000
     1.38%     0.07%  Native-Transpor  [kernel.kallsyms]  [k] futex_wait
     1.16%     0.04%  Native-Transpor  [kernel.kallsyms]  [k] futex_wait_queue_me
     1.04%     0.02%  Native-Transpor  [kernel.kallsyms]  [k] schedule
     1.02%     0.95%  NonPeriodicTask  [kernel.kallsyms]  [k] find_lock_entries
     0.99%     0.93%  swapper          [kernel.kallsyms]  [k] poll_idle
     0.93%     0.01%  swapper          [kernel.kallsyms]  [k] schedule_idle
     0.91%     0.00%  NonPeriodicTask  [kernel.kallsyms]  [k] invalidate_mapping_pages
     0.90%     0.16%  swapper          [kernel.kallsyms]  [k] __schedule
     0.89%     0.00%  cluster1-nio-wo  [kernel.kallsyms]  [k] __x64_sys_read
     0.89%     0.00%  cluster1-nio-wo  [kernel.kallsyms]  [k] vfs_read
     0.89%     0.00%  cluster1-nio-wo  [kernel.kallsyms]  [k] ksys_read
     0.88%     0.00%  cluster1-nio-wo  [kernel.kallsyms]  [k] new_sync_read
     0.88%     0.01%  cluster1-nio-wo  [kernel.kallsyms]  [k] sock_read_iter
     0.87%     0.00%  cluster1-nio-wo  [kernel.kallsyms]  [k] sock_recvmsg
     0.87%     0.00%  cluster1-nio-wo  [kernel.kallsyms]  [k] inet6_recvmsg
     0.87%     0.00%  cluster1-nio-wo  [kernel.kallsyms]  [k] tcp_recvmsg
     0.87%     0.00%  NonPeriodicTask  [kernel.kallsyms]  [k] invalidate_mapping_pagevec
     0.85%     0.02%  cluster1-nio-wo  [kernel.kallsyms]  [k] tcp_recvmsg_locked
     0.80%     0.11%  Native-Transpor  [kernel.kallsyms]  [k] __schedule
     0.76%     0.00%  NonPeriodicTask  [kernel.kallsyms]  [k] __vm_munmap
     0.76%     0.00%  NonPeriodicTask  [kernel.kallsyms]  [k] __x64_sys_munmap
     0.76%     0.00%  NonPeriodicTask  [kernel.kallsyms]  [k] __do_munmap
     0.76%     0.00%  NonPeriodicTask  [kernel.kallsyms]  [k] unmap_region
     0.69%     0.01%  kswapd1          [kernel.kallsyms]  [k] rmap_walk
     0.68%     0.00%  kswapd0          [kernel.kallsyms]  [k] rmap_walk
     0.68%     0.00%  cluster1-nio-wo  [kernel.kallsyms]  [k] __kfree_skb
     0.67%     0.00%  NonPeriodicTask  [kernel.kallsyms]  [k] unmap_single_vma
     0.67%     0.00%  NonPeriodicTask  [kernel.kallsyms]  [k] unmap_vmas
     0.67%     0.40%  NonPeriodicTask  [kernel.kallsyms]  [k] unmap_page_range
     0.64%     0.01%  kswapd0          [kernel.kallsyms]  [k] rmap_walk_file
     0.63%     0.00%  cluster1-nio-wo  [kernel.kallsyms]  [k] __x64_sys_futex
     0.63%     0.00%  swapper          [kernel.kallsyms]  [k] cpuidle_select
     0.62%     0.01%  cluster1-nio-wo  [kernel.kallsyms]  [k] do_futex
     0.62%     0.00%  cluster1-nio-wo  [kernel.kallsyms]  [k] do_writev
