# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 63K of event 'cycles'
# Event count (approx.): 13730603990743
#
# Children      Self  Command          Shared Object                       Symbol                                           
# ........  ........  ...............  ..................................  .................................................
#
    72.71%     0.00%  swapper          [kernel.kallsyms]                   [k] secondary_startup_64_no_verify
    72.71%     0.01%  swapper          [kernel.kallsyms]                   [k] cpu_startup_entry
    72.58%     0.48%  swapper          [kernel.kallsyms]                   [k] do_idle
    71.28%     0.00%  swapper          [kernel.kallsyms]                   [k] start_secondary
    69.49%     0.00%  swapper          [kernel.kallsyms]                   [k] cpuidle_enter
    69.46%     0.14%  swapper          [kernel.kallsyms]                   [k] cpuidle_enter_state
    66.18%    65.85%  swapper          [kernel.kallsyms]                   [k] mwait_idle_with_hints.constprop.0
     2.62%     0.02%  cluster1-nio-wo  [kernel.kallsyms]                   [k] entry_SYSCALL_64_after_hwframe
     2.60%     0.00%  kswapd1          [kernel.kallsyms]                   [k] balance_pgdat
     2.60%     0.00%  kswapd1          [kernel.kallsyms]                   [k] kswapd
     2.60%     0.00%  kswapd1          [kernel.kallsyms]                   [k] kthread
     2.60%     0.00%  kswapd1          [kernel.kallsyms]                   [k] ret_from_fork
     2.59%     0.01%  cluster1-nio-wo  [kernel.kallsyms]                   [k] do_syscall_64
     2.57%     0.00%  kswapd1          [kernel.kallsyms]                   [k] shrink_node
     2.51%     0.00%  kswapd1          [kernel.kallsyms]                   [k] shrink_lruvec
     2.50%     0.01%  kswapd1          [kernel.kallsyms]                   [k] evict_pages
     2.48%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] do_syscall_64
     2.48%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] entry_SYSCALL_64_after_hwframe
     2.29%     0.00%  kswapd0          [kernel.kallsyms]                   [k] balance_pgdat
     2.29%     0.00%  kswapd0          [kernel.kallsyms]                   [k] kswapd
     2.29%     0.00%  kswapd0          [kernel.kallsyms]                   [k] kthread
     2.29%     0.00%  kswapd0          [kernel.kallsyms]                   [k] ret_from_fork
     2.26%     0.00%  kswapd0          [kernel.kallsyms]                   [k] shrink_node
     2.20%     0.00%  kswapd0          [kernel.kallsyms]                   [k] shrink_lruvec
     2.19%     0.01%  kswapd0          [kernel.kallsyms]                   [k] evict_pages
     2.17%     0.02%  Native-Transpor  [kernel.kallsyms]                   [k] entry_SYSCALL_64_after_hwframe
     2.16%     0.07%  kswapd1          [kernel.kallsyms]                   [k] shrink_page_list
     2.14%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] do_syscall_64
     1.87%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] generic_fadvise
     1.87%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] __x64_sys_fadvise64
     1.87%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] ksys_fadvise64_64
     1.81%     0.05%  Native-Transpor  [kernel.kallsyms]                   [k] __x64_sys_futex
     1.77%     0.12%  kswapd0          [kernel.kallsyms]                   [k] shrink_page_list
     1.74%     0.02%  Native-Transpor  [kernel.kallsyms]                   [k] do_futex
     1.70%     0.01%  NonPeriodicTask  [kernel.kallsyms]                   [k] __invalidate_mapping_pages
     1.66%     0.05%  Native-Transpor  [kernel.kallsyms]                   [k] futex_wait
     1.49%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] __x64_sys_writev
     1.49%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] do_writev
     1.48%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] vfs_writev
     1.47%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] do_iter_write
     1.45%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] do_iter_readv_writev
     1.45%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] sock_sendmsg
     1.45%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] sock_write_iter
     1.45%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] inet6_sendmsg
     1.45%     0.02%  Native-Transpor  [kernel.kallsyms]                   [k] futex_wait_queue_me
     1.44%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] tcp_sendmsg
     1.43%     0.00%  swapper          [kernel.kallsyms]                   [k] arch_call_rest_init
     1.43%     0.00%  swapper          [kernel.kallsyms]                   [k] rest_init
     1.43%     0.00%  swapper          [kernel.kallsyms]                   [k] start_kernel
     1.43%     0.00%  swapper          [kernel.kallsyms]                   [k] x86_64_start_kernel
     1.43%     0.00%  swapper          [kernel.kallsyms]                   [k] x86_64_start_reservations
     1.40%     0.03%  cluster1-nio-wo  [kernel.kallsyms]                   [k] tcp_sendmsg_locked
     1.38%     0.01%  epollEventLoopG  [kernel.kallsyms]                   [k] entry_SYSCALL_64_after_hwframe
     1.37%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] do_syscall_64
     1.34%     0.02%  Native-Transpor  [kernel.kallsyms]                   [k] schedule
     1.30%     0.11%  Native-Transpor  [kernel.kallsyms]                   [k] __schedule
     1.28%     0.00%  kswapd1          [kernel.kallsyms]                   [k] rmap_walk
     1.26%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] tcp_push
     1.26%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] __tcp_push_pending_frames
     1.26%     0.01%  cluster1-nio-wo  [kernel.kallsyms]                   [k] tcp_write_xmit
     1.25%     0.01%  cluster1-nio-wo  [kernel.kallsyms]                   [k] __tcp_transmit_skb
     1.24%     0.01%  kswapd1          [kernel.kallsyms]                   [k] rmap_walk_file
     1.23%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] ip_queue_xmit
     1.23%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] __ip_queue_xmit
     1.21%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] ip_local_out
     1.20%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] ip_output
     1.20%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] ip_finish_output
     1.19%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] __ip_finish_output
     1.19%     0.01%  cluster1-nio-wo  [kernel.kallsyms]                   [k] ip_finish_output2
     1.16%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] __local_bh_enable_ip
     1.16%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] do_softirq
     1.16%     0.01%  cluster1-nio-wo  [kernel.kallsyms]                   [k] __softirqentry_text_start
     1.15%     0.00%  swapper          [kernel.kallsyms]                   [k] asm_common_interrupt
     1.15%     0.00%  swapper          [kernel.kallsyms]                   [k] common_interrupt
     1.15%     0.01%  cluster1-nio-wo  [kernel.kallsyms]                   [k] net_rx_action
     1.14%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] __napi_poll
     1.13%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] process_backlog
     1.13%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] __netif_receive_skb
     1.13%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] __netif_receive_skb_one_core
     1.12%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] ip_rcv
