# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 131K of event 'cycles'
# Event count (approx.): 2536711226545
#
# Children      Self  Command          Shared Object                       Symbol                                           
# ........  ........  ...............  ..................................  .................................................
#
    70.18%     0.00%  swapper          [kernel.kallsyms]                   [k] secondary_startup_64_no_verify
    70.18%     0.02%  swapper          [kernel.kallsyms]                   [k] cpu_startup_entry
    70.02%     0.18%  swapper          [kernel.kallsyms]                   [k] do_idle
    68.54%     0.00%  swapper          [kernel.kallsyms]                   [k] start_secondary
    66.37%     0.01%  swapper          [kernel.kallsyms]                   [k] cpuidle_enter
    66.28%     0.19%  swapper          [kernel.kallsyms]                   [k] cpuidle_enter_state
    61.55%    61.46%  swapper          [kernel.kallsyms]                   [k] mwait_idle_with_hints.constprop.0
     4.08%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] asm_exc_page_fault
     4.07%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] exc_page_fault
     4.04%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] do_user_addr_fault
     3.92%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] handle_mm_fault
     3.89%     0.08%  Native-Transpor  [kernel.kallsyms]                   [k] __handle_mm_fault
     3.47%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] do_syscall_64
     3.47%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] entry_SYSCALL_64_after_hwframe
     3.29%     0.04%  Native-Transpor  [kernel.kallsyms]                   [k] entry_SYSCALL_64_after_hwframe
     3.24%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] __x64_sys_fadvise64
     3.24%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] generic_fadvise
     3.24%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] ksys_fadvise64_64
     3.23%     0.03%  Native-Transpor  [kernel.kallsyms]                   [k] do_syscall_64
     3.15%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] __do_fault
     3.14%     0.02%  Native-Transpor  [kernel.kallsyms]                   [k] filemap_fault
     2.92%     0.03%  Native-Transpor  [kernel.kallsyms]                   [k] page_cache_ra_unbounded
     2.82%     0.05%  NonPeriodicTask  [kernel.kallsyms]                   [k] __invalidate_mapping_pages
     2.73%     2.61%  swapper          [kernel.kallsyms]                   [k] poll_idle
     2.44%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] do_page_cache_ra
     2.36%     0.06%  Native-Transpor  [kernel.kallsyms]                   [k] __x64_sys_futex
     2.26%     0.05%  Native-Transpor  [kernel.kallsyms]                   [k] do_futex
     2.03%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] entry_SYSCALL_64_after_hwframe
     2.02%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] do_syscall_64
     2.00%     0.09%  Native-Transpor  [kernel.kallsyms]                   [k] futex_wait
     1.91%     0.00%  kswapd1          [kernel.kallsyms]                   [k] balance_pgdat
     1.91%     0.00%  kswapd1          [kernel.kallsyms]                   [k] kswapd
     1.91%     0.00%  kswapd1          [kernel.kallsyms]                   [k] kthread
     1.91%     0.00%  kswapd1          [kernel.kallsyms]                   [k] ret_from_fork
     1.90%     0.00%  kswapd0          [kernel.kallsyms]                   [k] balance_pgdat
     1.90%     0.00%  kswapd0          [kernel.kallsyms]                   [k] kswapd
     1.90%     0.00%  kswapd0          [kernel.kallsyms]                   [k] kthread
     1.90%     0.00%  kswapd0          [kernel.kallsyms]                   [k] ret_from_fork
     1.90%     0.00%  kswapd1          [kernel.kallsyms]                   [k] shrink_node
     1.86%     0.00%  kswapd0          [kernel.kallsyms]                   [k] shrink_node
     1.79%     0.02%  swapper          [kernel.kallsyms]                   [k] schedule_idle
     1.75%     0.00%  kswapd0          [kernel.kallsyms]                   [k] shrink_lruvec
     1.74%     0.01%  kswapd0          [kernel.kallsyms]                   [k] evict_pages
     1.73%     0.30%  swapper          [kernel.kallsyms]                   [k] __schedule
     1.71%     0.00%  kswapd1          [kernel.kallsyms]                   [k] shrink_lruvec
     1.70%     0.01%  kswapd1          [kernel.kallsyms]                   [k] evict_pages
     1.64%     0.00%  swapper          [kernel.kallsyms]                   [k] arch_call_rest_init
     1.64%     0.00%  swapper          [kernel.kallsyms]                   [k] rest_init
     1.64%     0.00%  swapper          [kernel.kallsyms]                   [k] start_kernel
     1.64%     0.00%  swapper          [kernel.kallsyms]                   [k] x86_64_start_kernel
     1.64%     0.00%  swapper          [kernel.kallsyms]                   [k] x86_64_start_reservations
     1.63%     0.05%  Native-Transpor  [kernel.kallsyms]                   [k] futex_wait_queue_me
     1.62%     1.39%  NonPeriodicTask  [kernel.kallsyms]                   [k] find_lock_entries
     1.61%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] invalidate_mapping_pagevec
     1.60%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] invalidate_mapping_pages
     1.51%     0.06%  Native-Transpor  [kernel.kallsyms]                   [k] schedule
     1.47%     0.08%  kswapd0          [kernel.kallsyms]                   [k] shrink_page_list
     1.42%     0.06%  kswapd1          [kernel.kallsyms]                   [k] shrink_page_list
     1.41%     0.26%  Native-Transpor  [kernel.kallsyms]                   [k] __schedule
     1.25%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] __x64_sys_futex
     1.25%     0.01%  swapper          [kernel.kallsyms]                   [k] asm_sysvec_apic_timer_interrupt
     1.25%     0.01%  cluster1-nio-wo  [kernel.kallsyms]                   [k] do_futex
     1.24%     0.09%  cluster1-nio-wo  [kernel.kallsyms]                   [k] futex_wake
     1.15%     0.02%  swapper          [kernel.kallsyms]                   [k] sysvec_apic_timer_interrupt
     1.14%     0.01%  epollEventLoopG  [kernel.kallsyms]                   [k] entry_SYSCALL_64_after_hwframe
     1.13%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] do_syscall_64
     1.10%     0.02%  Native-Transpor  [kernel.kallsyms]                   [k] alloc_pages
     1.09%     0.03%  Native-Transpor  [kernel.kallsyms]                   [k] __alloc_pages
     1.05%     0.24%  NonPeriodicTask  [kernel.kallsyms]                   [k] deactivate_file_page
     1.04%     0.02%  cluster1-nio-wo  [kernel.kallsyms]                   [k] wake_up_q
     1.02%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] __page_cache_alloc
     1.00%     0.08%  cluster1-nio-wo  [kernel.kallsyms]                   [k] try_to_wake_up
     0.97%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] do_writev
     0.97%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] __x64_sys_writev
     0.96%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] vfs_writev
     0.93%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] do_iter_write
     0.92%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] do_iter_readv_writev
     0.92%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] sock_write_iter
     0.92%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] sock_sendmsg
     0.91%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] inet_sendmsg
     0.91%     0.02%  Native-Transpor  [kernel.kallsyms]                   [k] read_pages
     0.90%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] tcp_sendmsg
     0.89%     0.01%  swapper          [kernel.kallsyms]                   [k] cpuidle_select
     0.87%     0.46%  swapper          [kernel.kallsyms]                   [k] menu_select
     0.86%     0.02%  epollEventLoopG  [kernel.kallsyms]                   [k] tcp_sendmsg_locked
     0.86%     0.05%  Native-Transpor  [kernel.kallsyms]                   [k] add_to_page_cache_lru
     0.84%     0.01%  swapper          [kernel.kallsyms]                   [k] __sysvec_apic_timer_interrupt
     0.82%     0.02%  swapper          [kernel.kallsyms]                   [k] hrtimer_interrupt
     0.78%     0.37%  NonPeriodicTask  [kernel.kallsyms]                   [k] pagevec_lru_move_fn
     0.70%     0.01%  kswapd0          [kernel.kallsyms]                   [k] rmap_walk
     0.70%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] ext4_readahead
     0.69%     0.10%  Native-Transpor  [kernel.kallsyms]                   [k] get_page_from_freelist
     0.68%     0.06%  Native-Transpor  [kernel.kallsyms]                   [k] ext4_mpage_readpages
     0.66%     0.02%  swapper          [kernel.kallsyms]                   [k] __hrtimer_run_queues
     0.65%     0.03%  kswapd0          [kernel.kallsyms]                   [k] rmap_walk_file
     0.64%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] asm_sysvec_apic_timer_interrupt
     0.64%     0.02%  Native-Transpor  [kernel.kallsyms]                   [k] dequeue_task
     0.63%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] sysvec_apic_timer_interrupt
     0.62%     0.05%  Native-Transpor  [kernel.kallsyms]                   [k] dequeue_task_fair
     0.61%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] ttwu_do_activate
