# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 6K of event 'cycles'
# Event count (approx.): 7165284004501
#
# Children      Self  Command          Shared Object      Symbol                                        
# ........  ........  ...............  .................  ..............................................
#
    63.70%     0.03%  swapper          [kernel.kallsyms]  [k] cpu_startup_entry
    63.70%     0.00%  swapper          [kernel.kallsyms]  [k] secondary_startup_64_no_verify
    63.58%     0.09%  swapper          [kernel.kallsyms]  [k] do_idle
    61.99%     0.00%  swapper          [kernel.kallsyms]  [k] start_secondary
    60.87%     0.01%  swapper          [kernel.kallsyms]  [k] cpuidle_enter
    60.82%     0.18%  swapper          [kernel.kallsyms]  [k] cpuidle_enter_state
    56.59%    55.76%  swapper          [kernel.kallsyms]  [k] mwait_idle_with_hints.constprop.0
     9.65%     0.00%  kswapd1          [kernel.kallsyms]  [k] balance_pgdat
     9.65%     0.00%  kswapd1          [kernel.kallsyms]  [k] evict_pages
     9.65%     0.00%  kswapd1          [kernel.kallsyms]  [k] kswapd
     9.65%     0.00%  kswapd1          [kernel.kallsyms]  [k] kthread
     9.65%     0.00%  kswapd1          [kernel.kallsyms]  [k] ret_from_fork
     9.65%     0.00%  kswapd1          [kernel.kallsyms]  [k] shrink_lruvec
     9.65%     0.00%  kswapd1          [kernel.kallsyms]  [k] shrink_node
     9.23%     0.06%  kswapd1          [kernel.kallsyms]  [k] shrink_page_list
     8.01%     0.04%  kswapd1          [kernel.kallsyms]  [k] rmap_walk
     7.93%     0.00%  kswapd1          [kernel.kallsyms]  [k] rmap_walk_file
     7.49%     0.00%  kswapd1          [kernel.kallsyms]  [k] page_referenced
     7.40%     0.03%  kswapd1          [kernel.kallsyms]  [k] page_referenced_one
     7.14%     7.14%  kswapd1          [kernel.kallsyms]  [k] page_vma_mapped_walk
     5.14%     0.00%  NonPeriodicTask  [kernel.kallsyms]  [k] do_syscall_64
     5.14%     0.00%  NonPeriodicTask  [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     4.52%     0.00%  NonPeriodicTask  [kernel.kallsyms]  [k] __x64_sys_fadvise64
     4.52%     0.00%  NonPeriodicTask  [kernel.kallsyms]  [k] generic_fadvise
     4.52%     0.00%  NonPeriodicTask  [kernel.kallsyms]  [k] ksys_fadvise64_64
     4.08%     0.00%  NonPeriodicTask  [kernel.kallsyms]  [k] __invalidate_mapping_pages
     3.18%     0.00%  Native-Transpor  [kernel.kallsyms]  [k] asm_exc_page_fault
     3.16%     0.01%  Native-Transpor  [kernel.kallsyms]  [k] exc_page_fault
     3.13%     0.03%  Native-Transpor  [kernel.kallsyms]  [k] do_user_addr_fault
     3.04%     0.04%  Native-Transpor  [kernel.kallsyms]  [k] handle_mm_fault
     3.03%     0.00%  Native-Transpor  [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     2.98%     0.14%  Native-Transpor  [kernel.kallsyms]  [k] __handle_mm_fault
     2.96%     0.01%  Native-Transpor  [kernel.kallsyms]  [k] do_syscall_64
     2.73%     2.47%  NonPeriodicTask  [kernel.kallsyms]  [k] find_lock_entries
     2.64%     2.49%  swapper          [kernel.kallsyms]  [k] poll_idle
     2.46%     0.00%  kswapd0          [kernel.kallsyms]  [k] balance_pgdat
     2.46%     0.00%  kswapd0          [kernel.kallsyms]  [k] kswapd
     2.46%     0.00%  kswapd0          [kernel.kallsyms]  [k] kthread
     2.46%     0.00%  kswapd0          [kernel.kallsyms]  [k] ret_from_fork
     2.42%     0.00%  kswapd0          [kernel.kallsyms]  [k] shrink_node
     2.39%     0.00%  NonPeriodicTask  [kernel.kallsyms]  [k] invalidate_mapping_pages
     2.37%     0.04%  kswapd0          [kernel.kallsyms]  [k] evict_pages
     2.37%     0.00%  kswapd0          [kernel.kallsyms]  [k] shrink_lruvec
     2.26%     0.09%  Native-Transpor  [kernel.kallsyms]  [k] __x64_sys_futex
     2.22%     0.00%  Native-Transpor  [kernel.kallsyms]  [k] __do_fault
     2.18%     0.01%  Native-Transpor  [kernel.kallsyms]  [k] filemap_fault
     2.17%     0.10%  Native-Transpor  [kernel.kallsyms]  [k] do_futex
     2.11%     0.00%  NonPeriodicTask  [kernel.kallsyms]  [k] invalidate_mapping_pagevec
     2.01%     0.02%  Native-Transpor  [kernel.kallsyms]  [k] page_cache_ra_unbounded
     1.86%     0.08%  Native-Transpor  [kernel.kallsyms]  [k] futex_wait
     1.72%     0.07%  kswapd0          [kernel.kallsyms]  [k] shrink_page_list
     1.70%     0.00%  swapper          [kernel.kallsyms]  [k] arch_call_rest_init
