# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 129K of event 'cycles'
# Event count (approx.): 2520707030880
#
# Children      Self  Command          Shared Object                       Symbol                                        
# ........  ........  ...............  ..................................  ..............................................
#
    69.45%     0.00%  swapper          [kernel.kallsyms]                   [k] secondary_startup_64_no_verify
    69.44%     0.03%  swapper          [kernel.kallsyms]                   [k] cpu_startup_entry
    69.28%     0.20%  swapper          [kernel.kallsyms]                   [k] do_idle
    68.07%     0.00%  swapper          [kernel.kallsyms]                   [k] start_secondary
    65.62%     0.01%  swapper          [kernel.kallsyms]                   [k] cpuidle_enter
    65.54%     0.20%  swapper          [kernel.kallsyms]                   [k] cpuidle_enter_state
    60.77%    60.67%  swapper          [kernel.kallsyms]                   [k] mwait_idle_with_hints.constprop.0
     3.55%     0.05%  Native-Transpor  [kernel.kallsyms]                   [k] entry_SYSCALL_64_after_hwframe
     3.48%     0.03%  Native-Transpor  [kernel.kallsyms]                   [k] do_syscall_64
     3.40%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] asm_exc_page_fault
     3.37%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] exc_page_fault
     3.36%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] do_syscall_64
     3.36%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] entry_SYSCALL_64_after_hwframe
     3.35%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] do_user_addr_fault
     3.26%     0.02%  Native-Transpor  [kernel.kallsyms]                   [k] handle_mm_fault
     3.21%     0.07%  Native-Transpor  [kernel.kallsyms]                   [k] __handle_mm_fault
     3.14%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] __x64_sys_fadvise64
     3.14%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] generic_fadvise
     3.14%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] ksys_fadvise64_64
     2.83%     2.71%  swapper          [kernel.kallsyms]                   [k] poll_idle
     2.74%     0.05%  NonPeriodicTask  [kernel.kallsyms]                   [k] __invalidate_mapping_pages
     2.66%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] __do_fault
     2.64%     0.03%  Native-Transpor  [kernel.kallsyms]                   [k] filemap_fault
     2.56%     0.07%  Native-Transpor  [kernel.kallsyms]                   [k] __x64_sys_futex
     2.47%     0.03%  Native-Transpor  [kernel.kallsyms]                   [k] page_cache_ra_unbounded
     2.44%     0.05%  Native-Transpor  [kernel.kallsyms]                   [k] do_futex
     2.20%     0.00%  kswapd0          [kernel.kallsyms]                   [k] kswapd
     2.20%     0.00%  kswapd0          [kernel.kallsyms]                   [k] kthread
     2.20%     0.00%  kswapd0          [kernel.kallsyms]                   [k] ret_from_fork
     2.19%     0.00%  kswapd0          [kernel.kallsyms]                   [k] balance_pgdat
     2.18%     0.00%  kswapd0          [kernel.kallsyms]                   [k] shrink_node
     2.16%     0.12%  Native-Transpor  [kernel.kallsyms]                   [k] futex_wait
     2.08%     0.00%  kswapd0          [kernel.kallsyms]                   [k] shrink_lruvec
     2.07%     0.02%  kswapd0          [kernel.kallsyms]                   [k] evict_pages
     1.94%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] do_page_cache_ra
     1.93%     0.01%  cluster1-nio-wo  [kernel.kallsyms]                   [k] entry_SYSCALL_64_after_hwframe
     1.92%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] do_syscall_64
     1.80%     0.03%  swapper          [kernel.kallsyms]                   [k] schedule_idle
     1.80%     0.00%  kswapd1          [kernel.kallsyms]                   [k] balance_pgdat
     1.80%     0.00%  kswapd1          [kernel.kallsyms]                   [k] kswapd
     1.80%     0.00%  kswapd1          [kernel.kallsyms]                   [k] kthread
     1.80%     0.00%  kswapd1          [kernel.kallsyms]                   [k] ret_from_fork
     1.80%     0.00%  kswapd1          [kernel.kallsyms]                   [k] shrink_node
     1.75%     0.06%  Native-Transpor  [kernel.kallsyms]                   [k] futex_wait_queue_me
     1.75%     0.00%  kswapd1          [kernel.kallsyms]                   [k] shrink_lruvec
     1.74%     0.01%  kswapd1          [kernel.kallsyms]                   [k] evict_pages
     1.73%     0.28%  swapper          [kernel.kallsyms]                   [k] __schedule
     1.73%     0.10%  kswapd0          [kernel.kallsyms]                   [k] shrink_page_list
     1.62%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] invalidate_mapping_pagevec
     1.58%     0.06%  Native-Transpor  [kernel.kallsyms]                   [k] schedule
     1.49%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] invalidate_mapping_pages
     1.48%     0.27%  Native-Transpor  [kernel.kallsyms]                   [k] __schedule
     1.47%     0.10%  kswapd1          [kernel.kallsyms]                   [k] shrink_page_list
     1.43%     1.24%  NonPeriodicTask  [kernel.kallsyms]                   [k] find_lock_entries
     1.39%     0.00%  swapper          [kernel.kallsyms]                   [k] arch_call_rest_init
     1.39%     0.00%  swapper          [kernel.kallsyms]                   [k] rest_init
     1.39%     0.00%  swapper          [kernel.kallsyms]                   [k] start_kernel
     1.39%     0.00%  swapper          [kernel.kallsyms]                   [k] x86_64_start_kernel
     1.39%     0.00%  swapper          [kernel.kallsyms]                   [k] x86_64_start_reservations
     1.20%     0.01%  cluster1-nio-wo  [kernel.kallsyms]                   [k] __x64_sys_futex
     1.19%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] do_futex
     1.18%     0.08%  cluster1-nio-wo  [kernel.kallsyms]                   [k] futex_wake
     1.17%     0.01%  swapper          [kernel.kallsyms]                   [k] asm_sysvec_apic_timer_interrupt
     1.09%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] entry_SYSCALL_64_after_hwframe
     1.07%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] do_syscall_64
     1.07%     0.02%  swapper          [kernel.kallsyms]                   [k] sysvec_apic_timer_interrupt
     1.05%     0.20%  NonPeriodicTask  [kernel.kallsyms]                   [k] deactivate_file_page
     1.01%     0.02%  cluster1-nio-wo  [kernel.kallsyms]                   [k] wake_up_q
     0.96%     0.09%  cluster1-nio-wo  [kernel.kallsyms]                   [k] try_to_wake_up
     0.93%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] __x64_sys_writev
     0.93%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] do_writev
     0.92%     0.05%  Native-Transpor  [kernel.kallsyms]                   [k] add_to_page_cache_lru
     0.91%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] vfs_writev
     0.90%     0.01%  epollEventLoopG  [kernel.kallsyms]                   [k] do_iter_write
     0.88%     0.01%  swapper          [kernel.kallsyms]                   [k] cpuidle_select
     0.87%     0.01%  epollEventLoopG  [kernel.kallsyms]                   [k] sock_write_iter
     0.87%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] do_iter_readv_writev
     0.87%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] inet_sendmsg
     0.87%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] sock_sendmsg
     0.86%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] tcp_sendmsg
     0.86%     0.47%  swapper          [kernel.kallsyms]                   [k] menu_select
     0.84%     0.38%  NonPeriodicTask  [kernel.kallsyms]                   [k] pagevec_lru_move_fn
     0.82%     0.03%  epollEventLoopG  [kernel.kallsyms]                   [k] tcp_sendmsg_locked
     0.80%     0.01%  swapper          [kernel.kallsyms]                   [k] __sysvec_apic_timer_interrupt
     0.78%     0.02%  swapper          [kernel.kallsyms]                   [k] hrtimer_interrupt
     0.74%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] alloc_pages
     0.73%     0.02%  Native-Transpor  [kernel.kallsyms]                   [k] __alloc_pages
     0.73%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] __page_cache_alloc
     0.72%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] read_pages
     0.68%     0.03%  Native-Transpor  [kernel.kallsyms]                   [k] dequeue_task
     0.67%     0.08%  Native-Transpor  [kernel.kallsyms]                   [k] get_page_from_freelist
     0.66%     0.07%  Native-Transpor  [kernel.kallsyms]                   [k] dequeue_task_fair
     0.64%     0.02%  swapper          [kernel.kallsyms]                   [k] __hrtimer_run_queues
     0.63%     0.41%  Native-Transpor  [kernel.kallsyms]                   [k] __add_to_page_cache_locked
     0.62%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] asm_sysvec_apic_timer_interrupt
     0.62%     0.01%  kswapd0          [kernel.kallsyms]                   [k] rmap_walk
