# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 13352864578870
#
# Children      Self  Command          Shared Object      Symbol                                             
# ........  ........  ...............  .................  ...................................................
#
    28.05%     0.00%  swapper          [kernel.kallsyms]  [k] secondary_startup_64_no_verify
    28.05%     0.00%  swapper          [kernel.kallsyms]  [k] cpu_startup_entry
    28.04%     0.01%  swapper          [kernel.kallsyms]  [k] do_idle
    27.90%     0.00%  swapper          [kernel.kallsyms]  [k] cpuidle_enter
    27.90%     0.01%  swapper          [kernel.kallsyms]  [k] cpuidle_enter_state
    27.76%    26.86%  swapper          [kernel.kallsyms]  [k] mwait_idle_with_hints.constprop.0
    26.03%     0.00%  swapper          [kernel.kallsyms]  [k] start_secondary
    22.24%     0.13%  java             [kernel.kallsyms]  [k] asm_exc_page_fault
    21.24%     0.34%  java             [kernel.kallsyms]  [k] exc_page_fault
    18.69%     0.18%  java             [kernel.kallsyms]  [k] do_user_addr_fault
    13.32%     0.55%  java             [kernel.kallsyms]  [k] handle_mm_fault
    11.30%     3.11%  java             [kernel.kallsyms]  [k] __handle_mm_fault
     9.85%     0.13%  LocalJobRunner   [kernel.kallsyms]  [k] asm_exc_page_fault
     8.91%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     8.91%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] do_syscall_64
     8.69%     0.08%  LocalJobRunner   [kernel.kallsyms]  [k] exc_page_fault
     8.20%     0.18%  LocalJobRunner   [kernel.kallsyms]  [k] do_user_addr_fault
     7.70%     0.23%  LocalJobRunner   [kernel.kallsyms]  [k] handle_mm_fault
     7.51%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     7.51%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] do_syscall_64
     7.14%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] __x64_sys_read
     7.14%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] ksys_read
     7.14%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] vfs_read
     7.14%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] new_sync_read
     7.14%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] ext4_file_read_iter
     7.14%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] generic_file_read_iter
     7.14%     0.02%  localfetcher#1   [kernel.kallsyms]  [k] filemap_read
     6.98%     0.89%  LocalJobRunner   [kernel.kallsyms]  [k] __handle_mm_fault
     4.46%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] __x64_sys_write
     4.46%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] ksys_write
     4.46%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] vfs_write
     4.46%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] new_sync_write
     4.46%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] ext4_file_write_iter
     4.46%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] ext4_buffered_write_iter
     4.45%     0.02%  LocalJobRunner   [kernel.kallsyms]  [k] generic_perform_write
     4.42%     0.08%  java             [kernel.kallsyms]  [k] migrate_misplaced_page
     4.20%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] ksys_read
     4.20%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] __x64_sys_read
     4.20%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] vfs_read
     4.20%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] new_sync_read
     4.20%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] ext4_file_read_iter
     4.20%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] generic_file_read_iter
     4.20%     0.11%  LocalJobRunner   [kernel.kallsyms]  [k] filemap_read
     4.16%     4.13%  java             [kernel.kallsyms]  [k] down_read_trylock
     4.11%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     4.11%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] do_syscall_64
     4.11%     4.08%  LocalJobRunner   [kernel.kallsyms]  [k] copy_user_enhanced_fast_string
     4.09%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] filemap_get_pages
     4.04%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] ondemand_readahead
     4.03%     0.03%  localfetcher#1   [kernel.kallsyms]  [k] page_cache_ra_unbounded
     3.97%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] page_cache_async_ra
     3.81%     0.32%  java             [kernel.kallsyms]  [k] migrate_pages
     3.30%     0.05%  localfetcher#1   [kernel.kallsyms]  [k] add_to_page_cache_lru
     3.28%     0.00%  InMemoryMerger   [kernel.kallsyms]  [k] do_syscall_64
     3.28%     0.00%  InMemoryMerger   [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     3.26%     0.00%  InMemoryMerger   [kernel.kallsyms]  [k] __x64_sys_write
     3.26%     0.00%  InMemoryMerger   [kernel.kallsyms]  [k] ksys_write
     3.26%     0.00%  InMemoryMerger   [kernel.kallsyms]  [k] vfs_write
     3.26%     0.00%  InMemoryMerger   [kernel.kallsyms]  [k] new_sync_write
     3.26%     0.00%  InMemoryMerger   [kernel.kallsyms]  [k] ext4_file_write_iter
     3.26%     0.00%  InMemoryMerger   [kernel.kallsyms]  [k] ext4_buffered_write_iter
     3.26%     0.01%  InMemoryMerger   [kernel.kallsyms]  [k] generic_perform_write
     3.21%     0.11%  LocalJobRunner   [kernel.kallsyms]  [k] __alloc_pages
     3.18%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] asm_sysvec_apic_timer_interrupt
     3.17%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] sysvec_apic_timer_interrupt
     3.14%     0.10%  LocalJobRunner   [kernel.kallsyms]  [k] exit_to_user_mode_prepare
