# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 219K of event 'cycles'
# Event count (approx.): 8179031430484
#
# Children      Self  Command          Shared Object      Symbol                                           
# ........  ........  ...............  .................  .................................................
#
    57.48%     0.00%  swapper          [kernel.kallsyms]  [k] secondary_startup_64_no_verify
    57.48%     0.00%  swapper          [kernel.kallsyms]  [k] cpu_startup_entry
    57.47%     0.01%  swapper          [kernel.kallsyms]  [k] do_idle
    57.33%     0.00%  swapper          [kernel.kallsyms]  [k] cpuidle_enter
    57.33%     0.01%  swapper          [kernel.kallsyms]  [k] cpuidle_enter_state
    57.10%    52.60%  swapper          [kernel.kallsyms]  [k] mwait_idle_with_hints.constprop.0
    52.19%     0.00%  swapper          [kernel.kallsyms]  [k] start_secondary
    13.28%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
    13.28%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] do_syscall_64
     8.57%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] __x64_sys_read
     8.57%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] ksys_read
     8.57%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] vfs_read
     8.57%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] ext4_file_read_iter
     8.57%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] generic_file_read_iter
     8.57%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] new_sync_read
     8.57%     0.06%  pool-4-thread-1  [kernel.kallsyms]  [k] filemap_read
     8.07%     0.14%  pool-4-thread-1  [kernel.kallsyms]  [k] add_to_page_cache_lru
     7.94%     0.03%  java             [kernel.kallsyms]  [k] asm_exc_page_fault
     7.77%     0.17%  java             [kernel.kallsyms]  [k] exc_page_fault
     7.44%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] filemap_get_pages
     7.40%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] page_cache_async_ra
     7.39%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] ondemand_readahead
     7.39%     0.08%  pool-4-thread-1  [kernel.kallsyms]  [k] page_cache_ra_unbounded
     6.49%     0.03%  java             [kernel.kallsyms]  [k] do_user_addr_fault
     6.39%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] do_syscall_64
     6.39%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     6.02%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] ksys_read
     6.02%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] __x64_sys_read
     6.02%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] vfs_read
     6.02%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] new_sync_read
     6.02%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] ext4_file_read_iter
     6.02%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] generic_file_read_iter
     6.01%     0.03%  localfetcher#1   [kernel.kallsyms]  [k] filemap_read
     5.29%     0.00%  swapper          [kernel.kallsyms]  [k] arch_call_rest_init
     5.29%     0.00%  swapper          [kernel.kallsyms]  [k] rest_init
     5.29%     0.00%  swapper          [kernel.kallsyms]  [k] start_kernel
     5.29%     0.00%  swapper          [kernel.kallsyms]  [k] x86_64_start_kernel
     5.29%     0.00%  swapper          [kernel.kallsyms]  [k] x86_64_start_reservations
     5.24%     0.03%  pool-4-thread-1  [kernel.kallsyms]  [k] workingset_refault
     5.18%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] cgroup_rstat_flush_irqsafe
     5.14%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] mem_cgroup_flush_stats
     4.99%     0.00%  InMemoryMerger   [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     4.99%     0.00%  InMemoryMerger   [kernel.kallsyms]  [k] do_syscall_64
     4.96%     0.00%  InMemoryMerger   [kernel.kallsyms]  [k] __x64_sys_write
     4.96%     0.00%  InMemoryMerger   [kernel.kallsyms]  [k] ksys_write
     4.96%     0.00%  InMemoryMerger   [kernel.kallsyms]  [k] vfs_write
     4.96%     0.00%  InMemoryMerger   [kernel.kallsyms]  [k] ext4_file_write_iter
     4.96%     0.00%  InMemoryMerger   [kernel.kallsyms]  [k] new_sync_write
     4.96%     0.00%  InMemoryMerger   [kernel.kallsyms]  [k] ext4_buffered_write_iter
     4.96%     0.01%  InMemoryMerger   [kernel.kallsyms]  [k] generic_perform_write
     4.51%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] __x64_sys_write
     4.51%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] ksys_write
     4.51%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] vfs_write
     4.51%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] ext4_file_write_iter
