# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 258K of event 'cycles'
# Event count (approx.): 8638099341560
#
# Children      Self  Command          Shared Object      Symbol                                             
# ........  ........  ...............  .................  ...................................................
#
    57.57%     0.00%  swapper          [kernel.kallsyms]  [k] secondary_startup_64_no_verify
    57.57%     0.00%  swapper          [kernel.kallsyms]  [k] cpu_startup_entry
    57.56%     0.01%  swapper          [kernel.kallsyms]  [k] do_idle
    57.43%     0.00%  swapper          [kernel.kallsyms]  [k] cpuidle_enter
    57.43%     0.01%  swapper          [kernel.kallsyms]  [k] cpuidle_enter_state
    57.24%    52.84%  swapper          [kernel.kallsyms]  [k] mwait_idle_with_hints.constprop.0
    55.16%     0.00%  swapper          [kernel.kallsyms]  [k] start_secondary
    11.77%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
    11.77%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] do_syscall_64
     8.57%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     8.57%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] do_syscall_64
     7.94%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] ksys_read
     7.94%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] __x64_sys_read
     7.94%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] vfs_read
     7.94%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] new_sync_read
     7.94%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] ext4_file_read_iter
     7.94%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] generic_file_read_iter
     7.94%     0.04%  localfetcher#1   [kernel.kallsyms]  [k] filemap_read
     7.34%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] ksys_read
     7.34%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] __x64_sys_read
     7.34%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] vfs_read
     7.34%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] new_sync_read
     7.34%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] ext4_file_read_iter
     7.34%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] generic_file_read_iter
     7.34%     0.05%  pool-4-thread-1  [kernel.kallsyms]  [k] filemap_read
     6.83%     0.13%  pool-4-thread-1  [kernel.kallsyms]  [k] add_to_page_cache_lru
     6.36%     0.02%  java             [kernel.kallsyms]  [k] asm_exc_page_fault
     6.27%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] filemap_get_pages
     6.23%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] ondemand_readahead
     6.23%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] page_cache_async_ra
     6.23%     0.05%  pool-4-thread-1  [kernel.kallsyms]  [k] page_cache_ra_unbounded
     6.19%     0.13%  java             [kernel.kallsyms]  [k] exc_page_fault
