# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 7164435269843
#
# Children      Self  Command          Shared Object             Symbol                                             
# ........  ........  ...............  ........................  ...................................................
#
    29.53%     0.27%  java             [kernel.kallsyms]         [k] asm_exc_page_fault
    27.45%     0.32%  java             [kernel.kallsyms]         [k] exc_page_fault
    25.04%     0.39%  java             [kernel.kallsyms]         [k] do_user_addr_fault
    21.12%     0.01%  LocalJobRunner   [kernel.kallsyms]         [k] entry_SYSCALL_64_after_hwframe
    21.11%     0.01%  LocalJobRunner   [kernel.kallsyms]         [k] do_syscall_64
    20.18%     0.74%  java             [kernel.kallsyms]         [k] handle_mm_fault
    17.61%     3.79%  java             [kernel.kallsyms]         [k] __handle_mm_fault
    15.55%     0.17%  LocalJobRunner   [kernel.kallsyms]         [k] asm_exc_page_fault
    14.15%     0.11%  LocalJobRunner   [kernel.kallsyms]         [k] exc_page_fault
    13.45%     0.25%  LocalJobRunner   [kernel.kallsyms]         [k] do_user_addr_fault
    12.66%     0.30%  LocalJobRunner   [kernel.kallsyms]         [k] handle_mm_fault
    11.65%     1.40%  LocalJobRunner   [kernel.kallsyms]         [k] __handle_mm_fault
     9.92%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] __x64_sys_write
     9.92%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] ksys_write
     9.92%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] vfs_write
     9.91%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] new_sync_write
     9.91%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] ext4_file_write_iter
     9.91%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] ext4_buffered_write_iter
     9.89%     0.03%  LocalJobRunner   [kernel.kallsyms]         [k] generic_perform_write
     9.87%     0.14%  java             [kernel.kallsyms]         [k] migrate_misplaced_page
     9.87%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] __x64_sys_read
     9.87%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] ksys_read
     9.86%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] vfs_read
     9.86%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] new_sync_read
     9.86%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] ext4_file_read_iter
     9.86%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] generic_file_read_iter
     9.85%     0.15%  LocalJobRunner   [kernel.kallsyms]         [k] filemap_read
     8.77%     8.66%  LocalJobRunner   [kernel.kallsyms]         [k] copy_user_enhanced_fast_string
     8.53%     0.67%  java             [kernel.kallsyms]         [k] migrate_pages
     6.52%     0.00%  swapper          [kernel.kallsyms]         [k] secondary_startup_64_no_verify
     6.52%     0.00%  swapper          [kernel.kallsyms]         [k] cpu_startup_entry
     6.51%     0.02%  swapper          [kernel.kallsyms]         [k] do_idle
     6.42%     0.20%  LocalJobRunner   [kernel.kallsyms]         [k] __alloc_pages
     6.36%     0.00%  swapper          [kernel.kallsyms]         [k] start_secondary
     6.19%     0.52%  LocalJobRunner   [kernel.kallsyms]         [k] get_page_from_freelist
     6.13%     0.00%  swapper          [kernel.kallsyms]         [k] cpuidle_enter
     6.13%     0.01%  swapper          [kernel.kallsyms]         [k] cpuidle_enter_state
     5.99%     5.99%  swapper          [kernel.kallsyms]         [k] mwait_idle_with_hints.constprop.0
     5.43%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] asm_sysvec_apic_timer_interrupt
     5.39%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] sysvec_apic_timer_interrupt
     5.03%     0.12%  LocalJobRunner   [kernel.kallsyms]         [k] exit_to_user_mode_prepare
     4.92%     0.02%  LocalJobRunner   [kernel.kallsyms]         [k] irqentry_exit
     4.91%     0.01%  LocalJobRunner   [kernel.kallsyms]         [k] irqentry_exit_to_user_mode
     4.77%     0.03%  LocalJobRunner   [kernel.kallsyms]         [k] ext4_da_write_begin
     4.73%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] task_work_run
     4.72%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] task_numa_work
     4.72%     4.70%  LocalJobRunner   [kernel.kallsyms]         [k] clear_page_erms
     4.72%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] change_prot_numa
     4.22%     4.00%  LocalJobRunner   [kernel.kallsyms]         [k] change_protection
     4.15%     0.06%  LocalJobRunner   [kernel.kallsyms]         [k] alloc_pages_vma
     3.88%     0.01%  LocalJobRunner   [kernel.kallsyms]         [k] grab_cache_page_write_begin
     3.86%     0.07%  LocalJobRunner   [kernel.kallsyms]         [k] pagecache_get_page
     3.52%     3.49%  java             [kernel.kallsyms]         [k] down_read_trylock
     3.36%     0.27%  LocalJobRunner   [kernel.kallsyms]         [k] add_to_page_cache_lru
     3.16%     0.05%  java             [kernel.kallsyms]         [k] entry_SYSCALL_64_after_hwframe
     3.09%     0.07%  java             [kernel.kallsyms]         [k] do_syscall_64
     2.84%     0.01%  java             [kernel.kallsyms]         [k] move_to_new_page
     2.82%     0.01%  java             [kernel.kallsyms]         [k] migrate_page
     2.65%     0.33%  LocalJobRunner   [kernel.kallsyms]         [k] __mem_cgroup_charge
     2.55%     0.00%  java             [kernel.kallsyms]         [k] rmap_walk
     2.50%     0.01%  java             [kernel.kallsyms]         [k] asm_sysvec_apic_timer_interrupt
