# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 306K of event 'cycles'
# Event count (approx.): 8606317184185
#
# Children      Self  Command          Shared Object         Symbol                                             
# ........  ........  ...............  ....................  ...................................................
#
    46.89%     0.00%  swapper          [kernel.kallsyms]     [k] secondary_startup_64_no_verify
    46.89%     0.00%  swapper          [kernel.kallsyms]     [k] cpu_startup_entry
    46.87%     0.01%  swapper          [kernel.kallsyms]     [k] do_idle
    46.59%     0.00%  swapper          [kernel.kallsyms]     [k] cpuidle_enter
    46.58%     0.01%  swapper          [kernel.kallsyms]     [k] cpuidle_enter_state
    46.40%    44.34%  swapper          [kernel.kallsyms]     [k] mwait_idle_with_hints.constprop.0
    45.03%     0.00%  swapper          [kernel.kallsyms]     [k] start_secondary
    14.62%     0.05%  java             [kernel.kallsyms]     [k] asm_exc_page_fault
    14.30%     0.28%  java             [kernel.kallsyms]     [k] exc_page_fault
    12.96%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] entry_SYSCALL_64_after_hwframe
    12.96%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] do_syscall_64
    12.17%     0.06%  java             [kernel.kallsyms]     [k] do_user_addr_fault
     7.95%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] ksys_read
     7.95%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] __x64_sys_read
     7.95%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] vfs_read
     7.95%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] new_sync_read
     7.94%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] ext4_file_read_iter
     7.94%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] generic_file_read_iter
     7.94%     0.05%  pool-4-thread-1  [kernel.kallsyms]     [k] filemap_read
     7.64%     0.14%  pool-4-thread-1  [kernel.kallsyms]     [k] add_to_page_cache_lru
     7.27%     0.39%  java             [kernel.kallsyms]     [k] handle_mm_fault
     6.90%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] filemap_get_pages
