# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 9401408291994
#
# Children      Self  Command          Shared Object              Symbol                                             
# ........  ........  ...............  .........................  ...................................................
#
    36.19%     0.33%  java             [kernel.kallsyms]          [k] asm_exc_page_fault
    34.28%     0.49%  java             [kernel.kallsyms]          [k] exc_page_fault
    30.71%     0.40%  java             [kernel.kallsyms]          [k] do_user_addr_fault
    23.25%     1.04%  java             [kernel.kallsyms]          [k] handle_mm_fault
    19.27%     5.22%  java             [kernel.kallsyms]          [k] __handle_mm_fault
    18.21%     0.01%  LocalJobRunner   [kernel.kallsyms]          [k] entry_SYSCALL_64_after_hwframe
    18.18%     0.02%  LocalJobRunner   [kernel.kallsyms]          [k] do_syscall_64
     9.72%     0.17%  java             [kernel.kallsyms]          [k] migrate_misplaced_page
     9.32%     0.11%  LocalJobRunner   [kernel.kallsyms]          [k] asm_exc_page_fault
     8.70%     0.66%  java             [kernel.kallsyms]          [k] migrate_pages
     8.58%     0.00%  LocalJobRunner   [kernel.kallsyms]          [k] __x64_sys_write
     8.58%     0.00%  LocalJobRunner   [kernel.kallsyms]          [k] ksys_write
     8.58%     0.00%  LocalJobRunner   [kernel.kallsyms]          [k] vfs_write
     8.58%     0.00%  LocalJobRunner   [kernel.kallsyms]          [k] new_sync_write
     8.58%     0.00%  LocalJobRunner   [kernel.kallsyms]          [k] ext4_file_write_iter
     8.58%     0.00%  LocalJobRunner   [kernel.kallsyms]          [k] ext4_buffered_write_iter
     8.55%     0.03%  LocalJobRunner   [kernel.kallsyms]          [k] generic_perform_write
     8.34%     0.07%  LocalJobRunner   [kernel.kallsyms]          [k] exc_page_fault
     7.96%     7.75%  LocalJobRunner   [kernel.kallsyms]          [k] copy_user_enhanced_fast_string
     7.87%     0.00%  localfetcher#1   [kernel.kallsyms]          [k] entry_SYSCALL_64_after_hwframe
     7.87%     0.00%  localfetcher#1   [kernel.kallsyms]          [k] do_syscall_64
     7.83%     0.15%  LocalJobRunner   [kernel.kallsyms]          [k] do_user_addr_fault
     7.78%     0.00%  LocalJobRunner   [kernel.kallsyms]          [k] __x64_sys_read
     7.78%     0.00%  LocalJobRunner   [kernel.kallsyms]          [k] ksys_read
     7.78%     0.00%  LocalJobRunner   [kernel.kallsyms]          [k] vfs_read
     7.77%     0.00%  LocalJobRunner   [kernel.kallsyms]          [k] new_sync_read
     7.77%     0.00%  LocalJobRunner   [kernel.kallsyms]          [k] ext4_file_read_iter
     7.77%     0.00%  LocalJobRunner   [kernel.kallsyms]          [k] generic_file_read_iter
     7.77%     0.14%  LocalJobRunner   [kernel.kallsyms]          [k] filemap_read
     7.56%     0.00%  swapper          [kernel.kallsyms]          [k] secondary_startup_64_no_verify
     7.56%     0.00%  swapper          [kernel.kallsyms]          [k] cpu_startup_entry
     7.55%     0.02%  swapper          [kernel.kallsyms]          [k] do_idle
     7.54%     0.00%  localfetcher#1   [kernel.kallsyms]          [k] __x64_sys_read
     7.54%     0.00%  localfetcher#1   [kernel.kallsyms]          [k] ksys_read
     7.54%     0.00%  localfetcher#1   [kernel.kallsyms]          [k] vfs_read
     7.54%     0.00%  localfetcher#1   [kernel.kallsyms]          [k] new_sync_read
     7.54%     0.00%  localfetcher#1   [kernel.kallsyms]          [k] ext4_file_read_iter
     7.54%     0.00%  localfetcher#1   [kernel.kallsyms]          [k] generic_file_read_iter
     7.54%     0.03%  localfetcher#1   [kernel.kallsyms]          [k] filemap_read
     7.36%     0.00%  swapper          [kernel.kallsyms]          [k] start_secondary
     7.19%     0.22%  LocalJobRunner   [kernel.kallsyms]          [k] handle_mm_fault
     7.17%     0.00%  swapper          [kernel.kallsyms]          [k] cpuidle_enter
     7.17%     0.01%  swapper          [kernel.kallsyms]          [k] cpuidle_enter_state
     7.05%     7.03%  swapper          [kernel.kallsyms]          [k] mwait_idle_with_hints.constprop.0
     6.42%     0.98%  LocalJobRunner   [kernel.kallsyms]          [k] __handle_mm_fault
