# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 7834463989521
#
# Children      Self  Command          Shared Object         Symbol                                             
# ........  ........  ...............  ....................  ...................................................
#
    35.53%     0.34%  java             [kernel.kallsyms]     [k] asm_exc_page_fault
    33.51%     0.43%  java             [kernel.kallsyms]     [k] exc_page_fault
    30.51%     0.43%  java             [kernel.kallsyms]     [k] do_user_addr_fault
    24.61%     0.99%  java             [kernel.kallsyms]     [k] handle_mm_fault
    20.81%     4.72%  java             [kernel.kallsyms]     [k] __handle_mm_fault
    19.87%     0.01%  LocalJobRunner   [kernel.kallsyms]     [k] entry_SYSCALL_64_after_hwframe
    19.85%     0.02%  LocalJobRunner   [kernel.kallsyms]     [k] do_syscall_64
    12.40%     0.17%  java             [kernel.kallsyms]     [k] migrate_misplaced_page
    11.72%     0.12%  LocalJobRunner   [kernel.kallsyms]     [k] asm_exc_page_fault
    10.71%     0.08%  LocalJobRunner   [kernel.kallsyms]     [k] exc_page_fault
    10.68%     0.77%  java             [kernel.kallsyms]     [k] migrate_pages
    10.05%     0.16%  LocalJobRunner   [kernel.kallsyms]     [k] do_user_addr_fault
     9.60%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] __x64_sys_write
     9.60%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] ksys_write
     9.60%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] vfs_write
     9.60%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] new_sync_write
     9.60%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] ext4_file_write_iter
     9.59%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] ext4_buffered_write_iter
     9.57%     0.04%  LocalJobRunner   [kernel.kallsyms]     [k] generic_perform_write
     9.32%     0.22%  LocalJobRunner   [kernel.kallsyms]     [k] handle_mm_fault
     8.78%     8.53%  LocalJobRunner   [kernel.kallsyms]     [k] copy_user_enhanced_fast_string
     8.59%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] __x64_sys_read
     8.59%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] ksys_read
     8.59%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] vfs_read
     8.58%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] new_sync_read
     8.58%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] ext4_file_read_iter
     8.58%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] generic_file_read_iter
     8.58%     0.15%  LocalJobRunner   [kernel.kallsyms]     [k] filemap_read
     8.48%     0.99%  LocalJobRunner   [kernel.kallsyms]     [k] __handle_mm_fault
     4.67%     0.00%  swapper          [kernel.kallsyms]     [k] secondary_startup_64_no_verify
     4.67%     0.00%  swapper          [kernel.kallsyms]     [k] cpu_startup_entry
     4.66%     0.01%  swapper          [kernel.kallsyms]     [k] do_idle
     4.56%     0.00%  swapper          [kernel.kallsyms]     [k] start_secondary
     4.53%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] do_syscall_64
     4.53%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] entry_SYSCALL_64_after_hwframe
     4.45%     0.14%  LocalJobRunner   [kernel.kallsyms]     [k] __alloc_pages
     4.38%     0.00%  swapper          [kernel.kallsyms]     [k] cpuidle_enter
     4.38%     0.00%  swapper          [kernel.kallsyms]     [k] cpuidle_enter_state
     4.37%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] __x64_sys_read
     4.37%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] ksys_read
     4.37%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] vfs_read
     4.37%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] new_sync_read
     4.37%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] ext4_file_read_iter
     4.37%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] generic_file_read_iter
     4.37%     0.01%  localfetcher#1   [kernel.kallsyms]     [k] filemap_read
     4.36%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] asm_sysvec_apic_timer_interrupt
     4.34%     0.03%  LocalJobRunner   [kernel.kallsyms]     [k] ext4_da_write_begin
     4.32%     0.01%  LocalJobRunner   [kernel.kallsyms]     [k] sysvec_apic_timer_interrupt
     4.29%     0.37%  LocalJobRunner   [kernel.kallsyms]     [k] get_page_from_freelist
     4.28%     4.27%  swapper          [kernel.kallsyms]     [k] mwait_idle_with_hints.constprop.0
     4.17%     4.13%  java             [kernel.kallsyms]     [k] down_read_trylock
     3.81%     0.10%  LocalJobRunner   [kernel.kallsyms]     [k] exit_to_user_mode_prepare
     3.68%     0.01%  LocalJobRunner   [kernel.kallsyms]     [k] irqentry_exit
     3.67%     0.01%  LocalJobRunner   [kernel.kallsyms]     [k] irqentry_exit_to_user_mode
     3.51%     0.01%  java             [kernel.kallsyms]     [k] move_to_new_page
     3.49%     0.01%  java             [kernel.kallsyms]     [k] migrate_page
     3.40%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] task_work_run
     3.40%     0.01%  LocalJobRunner   [kernel.kallsyms]     [k] grab_cache_page_write_begin
     3.39%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] task_numa_work
     3.39%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] change_prot_numa
     3.37%     0.06%  LocalJobRunner   [kernel.kallsyms]     [k] pagecache_get_page
     3.28%     3.26%  LocalJobRunner   [kernel.kallsyms]     [k] clear_page_erms
     3.22%     0.01%  java             [kernel.kallsyms]     [k] rmap_walk
     3.13%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] filemap_get_pages
     3.10%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] ondemand_readahead
     3.10%     0.02%  localfetcher#1   [kernel.kallsyms]     [k] page_cache_ra_unbounded
     3.07%     2.92%  LocalJobRunner   [kernel.kallsyms]     [k] change_protection
     3.02%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] page_cache_async_ra
     2.94%     0.28%  java             [kernel.kallsyms]     [k] rmap_walk_anon
