# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 11935416462012
#
# Children      Self  Command          Shared Object      Symbol                                                        
# ........  ........  ...............  .................  ..............................................................
#
    25.68%     0.00%  swapper          [kernel.kallsyms]  [k] secondary_startup_64_no_verify
    25.68%     0.00%  swapper          [kernel.kallsyms]  [k] cpu_startup_entry
    25.68%     0.00%  swapper          [kernel.kallsyms]  [k] do_idle
    25.53%     0.00%  swapper          [kernel.kallsyms]  [k] cpuidle_enter
    25.53%     0.01%  swapper          [kernel.kallsyms]  [k] cpuidle_enter_state
    25.40%    24.92%  swapper          [kernel.kallsyms]  [k] mwait_idle_with_hints.constprop.0
    24.17%     0.00%  swapper          [kernel.kallsyms]  [k] start_secondary
    21.96%     0.15%  java             [kernel.kallsyms]  [k] asm_exc_page_fault
    20.78%     0.32%  java             [kernel.kallsyms]  [k] exc_page_fault
    18.36%     0.19%  java             [kernel.kallsyms]  [k] do_user_addr_fault
    12.92%     0.71%  java             [kernel.kallsyms]  [k] handle_mm_fault
    10.77%     3.06%  java             [kernel.kallsyms]  [k] __handle_mm_fault
     9.83%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     9.83%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] do_syscall_64
     9.52%     0.13%  LocalJobRunner   [kernel.kallsyms]  [k] asm_exc_page_fault
     8.36%     0.08%  LocalJobRunner   [kernel.kallsyms]  [k] exc_page_fault
     7.88%     0.18%  LocalJobRunner   [kernel.kallsyms]  [k] do_user_addr_fault
     7.38%     0.23%  LocalJobRunner   [kernel.kallsyms]  [k] handle_mm_fault
     7.30%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     7.30%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] do_syscall_64
     6.96%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] __x64_sys_read
     6.96%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] ksys_read
     6.96%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] vfs_read
     6.95%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] new_sync_read
     6.95%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] ext4_file_read_iter
     6.95%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] generic_file_read_iter
     6.95%     0.03%  localfetcher#1   [kernel.kallsyms]  [k] filemap_read
     6.72%     0.95%  LocalJobRunner   [kernel.kallsyms]  [k] __handle_mm_fault
     4.95%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] __x64_sys_write
     4.95%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] ksys_write
     4.95%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] vfs_write
     4.95%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] new_sync_write
     4.95%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] ext4_file_write_iter
     4.95%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] ext4_buffered_write_iter
     4.94%     0.02%  LocalJobRunner   [kernel.kallsyms]  [k] generic_perform_write
     4.93%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] do_syscall_64
     4.93%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     4.63%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] ksys_read
     4.63%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] __x64_sys_read
     4.62%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] vfs_read
     4.62%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] new_sync_read
     4.62%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] ext4_file_read_iter
     4.62%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] generic_file_read_iter
     4.62%     0.11%  LocalJobRunner   [kernel.kallsyms]  [k] filemap_read
     4.61%     4.57%  LocalJobRunner   [kernel.kallsyms]  [k] copy_user_enhanced_fast_string
     4.10%     0.08%  java             [kernel.kallsyms]  [k] migrate_misplaced_page
     4.08%     4.05%  java             [kernel.kallsyms]  [k] down_read_trylock
     4.04%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] filemap_get_pages
     3.98%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] ondemand_readahead
     3.97%     0.03%  localfetcher#1   [kernel.kallsyms]  [k] page_cache_ra_unbounded
     3.92%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] page_cache_async_ra
     3.73%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] asm_sysvec_apic_timer_interrupt
     3.72%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] sysvec_apic_timer_interrupt
     3.64%     0.10%  LocalJobRunner   [kernel.kallsyms]  [k] exit_to_user_mode_prepare
     3.62%     0.01%  LocalJobRunner   [kernel.kallsyms]  [k] irqentry_exit
     3.61%     0.01%  LocalJobRunner   [kernel.kallsyms]  [k] irqentry_exit_to_user_mode
     3.51%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] task_work_run
     3.51%     0.30%  java             [kernel.kallsyms]  [k] migrate_pages
     3.51%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] task_numa_work
     3.50%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] change_prot_numa
     3.23%     0.05%  localfetcher#1   [kernel.kallsyms]  [k] add_to_page_cache_lru
     3.03%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] __x64_sys_read
     3.03%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] ksys_read
     3.03%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] vfs_read
     3.03%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] new_sync_read
     3.03%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] ext4_file_read_iter
     3.03%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] generic_file_read_iter
     3.03%     0.02%  pool-4-thread-1  [kernel.kallsyms]  [k] filemap_read
     2.99%     0.11%  LocalJobRunner   [kernel.kallsyms]  [k] __alloc_pages
     2.99%     0.06%  pool-4-thread-1  [kernel.kallsyms]  [k] add_to_page_cache_lru
     2.94%     2.71%  LocalJobRunner   [kernel.kallsyms]  [k] change_protection
     2.90%     0.00%  InMemoryMerger   [kernel.kallsyms]  [k] do_syscall_64
     2.90%     0.00%  InMemoryMerger   [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     2.89%     0.00%  InMemoryMerger   [kernel.kallsyms]  [k] __x64_sys_write
     2.89%     0.00%  InMemoryMerger   [kernel.kallsyms]  [k] ksys_write
     2.89%     0.00%  InMemoryMerger   [kernel.kallsyms]  [k] vfs_write
     2.89%     0.00%  InMemoryMerger   [kernel.kallsyms]  [k] new_sync_write
     2.89%     0.00%  InMemoryMerger   [kernel.kallsyms]  [k] ext4_file_write_iter
     2.89%     0.00%  InMemoryMerger   [kernel.kallsyms]  [k] ext4_buffered_write_iter
     2.88%     0.01%  InMemoryMerger   [kernel.kallsyms]  [k] generic_perform_write
     2.87%     0.32%  LocalJobRunner   [kernel.kallsyms]  [k] get_page_from_freelist
     2.78%     1.16%  localfetcher#1   [kernel.kallsyms]  [k] copy_user_enhanced_fast_string
     2.67%     0.01%  localfetcher#1   [kernel.kallsyms]  [k] asm_exc_page_fault
     2.67%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] filemap_get_pages
     2.65%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] page_cache_async_ra
     2.65%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] ondemand_readahead
     2.65%     0.02%  pool-4-thread-1  [kernel.kallsyms]  [k] page_cache_ra_unbounded
     2.40%     0.02%  LocalJobRunner   [kernel.kallsyms]  [k] ext4_da_write_begin
     2.30%     0.08%  localfetcher#1   [kernel.kallsyms]  [k] workingset_refault
     2.11%     2.11%  LocalJobRunner   [kernel.kallsyms]  [k] clear_page_erms
     2.03%     0.04%  LocalJobRunner   [kernel.kallsyms]  [k] alloc_pages_vma
     2.03%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] mem_cgroup_flush_stats
     2.02%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] cgroup_rstat_flush_irqsafe
     1.98%     0.03%  pool-4-thread-1  [kernel.kallsyms]  [k] workingset_refault
     1.95%     1.94%  java             [kernel.kallsyms]  [k] up_read
     1.91%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] cgroup_rstat_flush_irqsafe
     1.90%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] grab_cache_page_write_begin
     1.90%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] mem_cgroup_flush_stats
     1.89%     0.04%  LocalJobRunner   [kernel.kallsyms]  [k] pagecache_get_page
     1.89%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] __x64_sys_write
     1.89%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] ksys_write
     1.89%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] vfs_write
     1.89%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] ext4_file_write_iter
