# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 11391823713556
#
# Children      Self  Command          Shared Object       Symbol                                             
# ........  ........  ...............  ..................  ...................................................
#
    25.95%     0.00%  swapper          [kernel.kallsyms]   [k] secondary_startup_64_no_verify
    25.95%     0.00%  swapper          [kernel.kallsyms]   [k] cpu_startup_entry
    25.94%     0.00%  swapper          [kernel.kallsyms]   [k] do_idle
    25.80%     0.00%  swapper          [kernel.kallsyms]   [k] cpuidle_enter
    25.80%     0.01%  swapper          [kernel.kallsyms]   [k] cpuidle_enter_state
    25.65%    25.11%  swapper          [kernel.kallsyms]   [k] mwait_idle_with_hints.constprop.0
    23.95%     0.00%  swapper          [kernel.kallsyms]   [k] start_secondary
    20.46%     0.15%  java             [kernel.kallsyms]   [k] asm_exc_page_fault
    19.32%     0.30%  java             [kernel.kallsyms]   [k] exc_page_fault
    17.05%     0.20%  java             [kernel.kallsyms]   [k] do_user_addr_fault
    12.25%     0.57%  java             [kernel.kallsyms]   [k] handle_mm_fault
    10.67%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] entry_SYSCALL_64_after_hwframe
    10.67%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] do_syscall_64
    10.24%     2.81%  java             [kernel.kallsyms]   [k] __handle_mm_fault
     8.92%     0.13%  LocalJobRunner   [kernel.kallsyms]   [k] asm_exc_page_fault
     8.11%     0.00%  localfetcher#1   [kernel.kallsyms]   [k] entry_SYSCALL_64_after_hwframe
     8.11%     0.00%  localfetcher#1   [kernel.kallsyms]   [k] do_syscall_64
     7.86%     0.08%  LocalJobRunner   [kernel.kallsyms]   [k] exc_page_fault
     7.72%     0.00%  localfetcher#1   [kernel.kallsyms]   [k] __x64_sys_read
     7.72%     0.00%  localfetcher#1   [kernel.kallsyms]   [k] ksys_read
     7.72%     0.00%  localfetcher#1   [kernel.kallsyms]   [k] vfs_read
     7.72%     0.00%  localfetcher#1   [kernel.kallsyms]   [k] new_sync_read
     7.72%     0.00%  localfetcher#1   [kernel.kallsyms]   [k] ext4_file_read_iter
     7.72%     0.00%  localfetcher#1   [kernel.kallsyms]   [k] generic_file_read_iter
     7.71%     0.03%  localfetcher#1   [kernel.kallsyms]   [k] filemap_read
     7.41%     0.18%  LocalJobRunner   [kernel.kallsyms]   [k] do_user_addr_fault
     6.94%     0.22%  LocalJobRunner   [kernel.kallsyms]   [k] handle_mm_fault
     6.27%     0.86%  LocalJobRunner   [kernel.kallsyms]   [k] __handle_mm_fault
     5.37%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] __x64_sys_write
     5.37%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] ksys_write
     5.37%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] vfs_write
     5.37%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] new_sync_write
     5.37%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] ext4_file_write_iter
     5.37%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] ext4_buffered_write_iter
     5.36%     0.02%  LocalJobRunner   [kernel.kallsyms]   [k] generic_perform_write
     5.01%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] __x64_sys_read
     5.01%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] ksys_read
     5.01%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] vfs_read
     5.00%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] new_sync_read
     5.00%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] ext4_file_read_iter
     5.00%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] generic_file_read_iter
     5.00%     0.12%  LocalJobRunner   [kernel.kallsyms]   [k] filemap_read
     4.96%     4.93%  LocalJobRunner   [kernel.kallsyms]   [k] copy_user_enhanced_fast_string
     4.93%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] entry_SYSCALL_64_after_hwframe
     4.93%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] do_syscall_64
     4.51%     0.00%  localfetcher#1   [kernel.kallsyms]   [k] filemap_get_pages
     4.45%     0.00%  localfetcher#1   [kernel.kallsyms]   [k] ondemand_readahead
     4.44%     0.03%  localfetcher#1   [kernel.kallsyms]   [k] page_cache_ra_unbounded
     4.39%     0.00%  localfetcher#1   [kernel.kallsyms]   [k] page_cache_async_ra
     3.98%     0.08%  java             [kernel.kallsyms]   [k] migrate_misplaced_page
     3.67%     3.65%  java             [kernel.kallsyms]   [k] down_read_trylock
     3.67%     0.05%  localfetcher#1   [kernel.kallsyms]   [k] add_to_page_cache_lru
     3.62%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] asm_sysvec_apic_timer_interrupt
     3.61%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] sysvec_apic_timer_interrupt
     3.54%     0.09%  LocalJobRunner   [kernel.kallsyms]   [k] exit_to_user_mode_prepare
     3.52%     0.01%  LocalJobRunner   [kernel.kallsyms]   [k] irqentry_exit
     3.51%     0.01%  LocalJobRunner   [kernel.kallsyms]   [k] irqentry_exit_to_user_mode
     3.42%     0.31%  java             [kernel.kallsyms]   [k] migrate_pages
     3.42%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] task_work_run
     3.41%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] task_numa_work
     3.41%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] change_prot_numa
     3.11%     0.02%  localfetcher#1   [kernel.kallsyms]   [k] asm_exc_page_fault
     3.08%     1.21%  localfetcher#1   [kernel.kallsyms]   [k] copy_user_enhanced_fast_string
     3.00%     0.00%  InMemoryMerger   [kernel.kallsyms]   [k] do_syscall_64
     3.00%     0.00%  InMemoryMerger   [kernel.kallsyms]   [k] entry_SYSCALL_64_after_hwframe
     2.99%     0.00%  InMemoryMerger   [kernel.kallsyms]   [k] __x64_sys_write
     2.99%     0.00%  InMemoryMerger   [kernel.kallsyms]   [k] ksys_write
     2.99%     0.00%  InMemoryMerger   [kernel.kallsyms]   [k] vfs_write
     2.99%     0.00%  InMemoryMerger   [kernel.kallsyms]   [k] new_sync_write
     2.99%     0.00%  InMemoryMerger   [kernel.kallsyms]   [k] ext4_file_write_iter
     2.99%     0.00%  InMemoryMerger   [kernel.kallsyms]   [k] ext4_buffered_write_iter
     2.98%     0.01%  InMemoryMerger   [kernel.kallsyms]   [k] generic_perform_write
     2.97%     0.06%  pool-4-thread-1  [kernel.kallsyms]   [k] add_to_page_cache_lru
     2.92%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] __x64_sys_read
     2.92%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] ksys_read
     2.92%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] vfs_read
     2.92%     0.02%  pool-4-thread-1  [kernel.kallsyms]   [k] filemap_read
     2.92%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] ext4_file_read_iter
     2.92%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] generic_file_read_iter
     2.92%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] new_sync_read
     2.91%     0.10%  LocalJobRunner   [kernel.kallsyms]   [k] __alloc_pages
     2.90%     2.69%  LocalJobRunner   [kernel.kallsyms]   [k] change_protection
     2.80%     0.31%  LocalJobRunner   [kernel.kallsyms]   [k] get_page_from_freelist
     2.63%     0.10%  localfetcher#1   [kernel.kallsyms]   [k] workingset_refault
     2.60%     0.01%  LocalJobRunner   [kernel.kallsyms]   [k] ext4_da_write_begin
     2.59%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] filemap_get_pages
     2.58%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] ondemand_readahead
     2.58%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] page_cache_async_ra
     2.58%     0.02%  pool-4-thread-1  [kernel.kallsyms]   [k] page_cache_ra_unbounded
     2.32%     0.00%  localfetcher#1   [kernel.kallsyms]   [k] mem_cgroup_flush_stats
     2.31%     0.00%  localfetcher#1   [kernel.kallsyms]   [k] cgroup_rstat_flush_irqsafe
     2.06%     2.06%  LocalJobRunner   [kernel.kallsyms]   [k] clear_page_erms
     2.04%     0.40%  localfetcher#1   [kernel.kallsyms]   [k] cgroup_rstat_flush_locked
     2.03%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] grab_cache_page_write_begin
     2.02%     0.01%  localfetcher#1   [kernel.kallsyms]   [k] exc_page_fault
     2.02%     0.04%  LocalJobRunner   [kernel.kallsyms]   [k] pagecache_get_page
     1.99%     0.00%  swapper          [kernel.kallsyms]   [k] arch_call_rest_init
     1.99%     0.00%  swapper          [kernel.kallsyms]   [k] rest_init
     1.99%     0.00%  swapper          [kernel.kallsyms]   [k] start_kernel
     1.99%     0.00%  swapper          [kernel.kallsyms]   [k] x86_64_start_kernel
     1.99%     0.00%  swapper          [kernel.kallsyms]   [k] x86_64_start_reservations
     1.99%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] __x64_sys_write
     1.99%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] ksys_write
