# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 11366040176827
#
# Children      Self  Command          Shared Object         Symbol                                             
# ........  ........  ...............  ....................  ...................................................
#
    27.03%     0.17%  java             [kernel.kallsyms]     [k] asm_exc_page_fault
    25.72%     0.39%  java             [kernel.kallsyms]     [k] exc_page_fault
    23.04%     0.00%  swapper          [kernel.kallsyms]     [k] secondary_startup_64_no_verify
    23.04%     0.00%  swapper          [kernel.kallsyms]     [k] cpu_startup_entry
    23.03%     0.01%  swapper          [kernel.kallsyms]     [k] do_idle
    22.90%     0.00%  swapper          [kernel.kallsyms]     [k] cpuidle_enter
    22.89%     0.01%  swapper          [kernel.kallsyms]     [k] cpuidle_enter_state
    22.85%     0.22%  java             [kernel.kallsyms]     [k] do_user_addr_fault
    22.75%    22.42%  swapper          [kernel.kallsyms]     [k] mwait_idle_with_hints.constprop.0
    21.79%     0.00%  swapper          [kernel.kallsyms]     [k] start_secondary
    16.32%     0.63%  java             [kernel.kallsyms]     [k] handle_mm_fault
    13.97%     3.60%  java             [kernel.kallsyms]     [k] __handle_mm_fault
    10.57%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] entry_SYSCALL_64_after_hwframe
    10.57%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] do_syscall_64
     9.32%     0.14%  LocalJobRunner   [kernel.kallsyms]     [k] asm_exc_page_fault
     8.08%     0.08%  LocalJobRunner   [kernel.kallsyms]     [k] exc_page_fault
     7.98%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] entry_SYSCALL_64_after_hwframe
     7.98%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] do_syscall_64
     7.58%     0.19%  LocalJobRunner   [kernel.kallsyms]     [k] do_user_addr_fault
     7.53%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] __x64_sys_read
     7.53%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] ksys_read
     7.53%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] vfs_read
     7.53%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] new_sync_read
     7.53%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] ext4_file_read_iter
     7.53%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] generic_file_read_iter
     7.53%     0.02%  localfetcher#1   [kernel.kallsyms]     [k] filemap_read
     7.06%     0.24%  LocalJobRunner   [kernel.kallsyms]     [k] handle_mm_fault
     6.33%     1.00%  LocalJobRunner   [kernel.kallsyms]     [k] __handle_mm_fault
     5.17%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] __x64_sys_write
     5.17%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] ksys_write
     5.17%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] vfs_write
     5.17%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] new_sync_write
     5.17%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] ext4_file_write_iter
     5.17%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] ext4_buffered_write_iter
