# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 98K of event 'cycles'
# Event count (approx.): 3453612818999
#
# Children      Self  Command          Shared Object      Symbol                                             
# ........  ........  ...............  .................  ...................................................
#
    65.62%     0.00%  swapper          [kernel.kallsyms]  [k] secondary_startup_64_no_verify
    65.61%     0.00%  swapper          [kernel.kallsyms]  [k] cpu_startup_entry
    65.61%     0.00%  swapper          [kernel.kallsyms]  [k] do_idle
    65.49%     0.00%  swapper          [kernel.kallsyms]  [k] cpuidle_enter
    65.48%     0.01%  swapper          [kernel.kallsyms]  [k] cpuidle_enter_state
    65.29%    63.45%  swapper          [kernel.kallsyms]  [k] mwait_idle_with_hints.constprop.0
    64.16%     0.00%  swapper          [kernel.kallsyms]  [k] start_secondary
    22.13%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
    22.13%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] do_syscall_64
    13.40%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] __x64_sys_read
    13.40%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] ksys_read
    13.40%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] vfs_read
    13.40%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] ext4_file_read_iter
    13.40%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] generic_file_read_iter
    13.40%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] new_sync_read
    13.40%     0.07%  pool-4-thread-1  [kernel.kallsyms]  [k] filemap_read
    13.13%     0.25%  pool-4-thread-1  [kernel.kallsyms]  [k] add_to_page_cache_lru
    11.66%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] filemap_get_pages
    11.60%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] page_cache_async_ra
    11.60%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] ondemand_readahead
    11.59%     0.11%  pool-4-thread-1  [kernel.kallsyms]  [k] page_cache_ra_unbounded
     8.91%     0.12%  pool-4-thread-1  [kernel.kallsyms]  [k] workingset_refault
     8.70%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] cgroup_rstat_flush_irqsafe
     8.55%     0.01%  pool-4-thread-1  [kernel.kallsyms]  [k] mem_cgroup_flush_stats
     8.32%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] ksys_write
     8.32%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] __x64_sys_write
     8.32%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] vfs_write
     8.32%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] ext4_buffered_write_iter
     8.32%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] ext4_file_write_iter
     8.32%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] new_sync_write
