# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 7939215636395
#
# Children      Self  Command          Shared Object      Symbol                                             
# ........  ........  ...............  .................  ...................................................
#
    29.26%     0.24%  java             [kernel.kallsyms]  [k] asm_exc_page_fault
    27.34%     0.26%  java             [kernel.kallsyms]  [k] exc_page_fault
    25.23%     0.34%  java             [kernel.kallsyms]  [k] do_user_addr_fault
    21.38%     0.01%  LocalJobRunner   [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
    21.37%     0.01%  LocalJobRunner   [kernel.kallsyms]  [k] do_syscall_64
    21.03%     0.68%  java             [kernel.kallsyms]  [k] handle_mm_fault
    18.40%     3.36%  java             [kernel.kallsyms]  [k] __handle_mm_fault
    13.68%     0.13%  LocalJobRunner   [kernel.kallsyms]  [k] asm_exc_page_fault
    12.48%     0.10%  LocalJobRunner   [kernel.kallsyms]  [k] exc_page_fault
    12.26%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] __x64_sys_read
    12.26%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] ksys_read
    12.25%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] vfs_read
    12.25%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] new_sync_read
    12.25%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] ext4_file_read_iter
    12.25%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] generic_file_read_iter
    12.25%     0.10%  LocalJobRunner   [kernel.kallsyms]  [k] filemap_read
    11.86%     0.20%  LocalJobRunner   [kernel.kallsyms]  [k] do_user_addr_fault
    11.19%     0.25%  LocalJobRunner   [kernel.kallsyms]  [k] handle_mm_fault
    10.16%     1.13%  LocalJobRunner   [kernel.kallsyms]  [k] __handle_mm_fault
     8.23%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] __x64_sys_write
     8.23%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] ksys_write
     8.23%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] vfs_write
     8.22%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] new_sync_write
     8.22%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] ext4_file_write_iter
     8.22%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] ext4_buffered_write_iter
     8.21%     0.02%  LocalJobRunner   [kernel.kallsyms]  [k] generic_perform_write
     8.12%     0.14%  LocalJobRunner   [kernel.kallsyms]  [k] __alloc_pages
     7.93%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] filemap_get_pages
     7.69%     0.05%  LocalJobRunner   [kernel.kallsyms]  [k] page_cache_ra_unbounded
     7.63%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] ondemand_readahead
     7.56%     0.13%  java             [kernel.kallsyms]  [k] migrate_misplaced_page
     6.82%     0.21%  LocalJobRunner   [kernel.kallsyms]  [k] add_to_page_cache_lru
     6.61%     0.53%  java             [kernel.kallsyms]  [k] migrate_pages
     6.50%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] page_cache_async_ra
     5.82%     0.00%  kswapd1          [kernel.kallsyms]  [k] kthread
     5.82%     0.00%  kswapd1          [kernel.kallsyms]  [k] ret_from_fork
     5.82%     0.00%  kswapd1          [kernel.kallsyms]  [k] kswapd
     5.82%     0.00%  kswapd1          [kernel.kallsyms]  [k] balance_pgdat
     5.82%     0.00%  kswapd1          [kernel.kallsyms]  [k] shrink_node
     5.48%     0.02%  kswapd1          [kernel.kallsyms]  [k] shrink_lruvec
     5.23%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] cgroup_rstat_flush_irqsafe
     5.14%     0.08%  LocalJobRunner   [kernel.kallsyms]  [k] workingset_refault
     4.86%     4.77%  LocalJobRunner   [kernel.kallsyms]  [k] copy_user_enhanced_fast_string
     4.73%     0.39%  LocalJobRunner   [kernel.kallsyms]  [k] get_page_from_freelist
     4.55%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] mem_cgroup_flush_stats
     4.46%     0.03%  LocalJobRunner   [kernel.kallsyms]  [k] alloc_pages
     4.34%     0.02%  LocalJobRunner   [kernel.kallsyms]  [k] ext4_da_write_begin
     4.29%     0.00%  swapper          [kernel.kallsyms]  [k] secondary_startup_64_no_verify
     4.29%     0.00%  swapper          [kernel.kallsyms]  [k] cpu_startup_entry
     4.28%     0.01%  swapper          [kernel.kallsyms]  [k] do_idle
     4.28%     0.76%  LocalJobRunner   [kernel.kallsyms]  [k] cgroup_rstat_flush_locked
     4.25%     0.00%  kswapd0          [kernel.kallsyms]  [k] kthread
     4.25%     0.00%  kswapd0          [kernel.kallsyms]  [k] ret_from_fork
     4.25%     0.00%  kswapd0          [kernel.kallsyms]  [k] kswapd
     4.25%     0.00%  kswapd0          [kernel.kallsyms]  [k] balance_pgdat
     4.25%     0.00%  kswapd0          [kernel.kallsyms]  [k] shrink_node
     4.16%     0.00%  swapper          [kernel.kallsyms]  [k] start_secondary
     4.11%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] asm_sysvec_apic_timer_interrupt
     4.09%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] sysvec_apic_timer_interrupt
     4.09%     0.02%  kswapd0          [kernel.kallsyms]  [k] shrink_lruvec
     4.08%     0.00%  swapper          [kernel.kallsyms]  [k] cpuidle_enter
     4.08%     0.00%  swapper          [kernel.kallsyms]  [k] cpuidle_enter_state
     3.99%     3.99%  swapper          [kernel.kallsyms]  [k] mwait_idle_with_hints.constprop.0
     3.98%     0.11%  LocalJobRunner   [kernel.kallsyms]  [k] exit_to_user_mode_prepare
     3.88%     0.01%  LocalJobRunner   [kernel.kallsyms]  [k] irqentry_exit
     3.87%     0.01%  LocalJobRunner   [kernel.kallsyms]  [k] irqentry_exit_to_user_mode
     3.75%     0.05%  LocalJobRunner   [kernel.kallsyms]  [k] pagecache_get_page
     3.75%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] task_work_run
     3.74%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] task_numa_work
     3.74%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] change_prot_numa
     3.71%     0.01%  LocalJobRunner   [kernel.kallsyms]  [k] grab_cache_page_write_begin
     3.69%     0.02%  java             [kernel.kallsyms]  [k] do_swap_page
