# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 668K of event 'cycles'
# Event count (approx.): 8393561199059
#
# Children      Self  Command          Shared Object         Symbol                                             
# ........  ........  ...............  ....................  ...................................................
#
    31.64%     0.00%  swapper          [kernel.kallsyms]     [k] secondary_startup_64_no_verify
    31.64%     0.00%  swapper          [kernel.kallsyms]     [k] cpu_startup_entry
    31.63%     0.02%  swapper          [kernel.kallsyms]     [k] do_idle
    31.40%     0.00%  swapper          [kernel.kallsyms]     [k] cpuidle_enter
    31.39%     0.02%  swapper          [kernel.kallsyms]     [k] cpuidle_enter_state
    31.02%    30.43%  swapper          [kernel.kallsyms]     [k] mwait_idle_with_hints.constprop.0
    29.25%     0.00%  swapper          [kernel.kallsyms]     [k] start_secondary
    18.14%     0.10%  java             [kernel.kallsyms]     [k] asm_exc_page_fault
    17.40%     0.23%  java             [kernel.kallsyms]     [k] exc_page_fault
    15.74%     0.13%  java             [kernel.kallsyms]     [k] do_user_addr_fault
    12.04%     0.40%  java             [kernel.kallsyms]     [k] handle_mm_fault
    10.36%     2.33%  java             [kernel.kallsyms]     [k] __handle_mm_fault
     8.93%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] entry_SYSCALL_64_after_hwframe
     8.93%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] do_syscall_64
     8.67%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] entry_SYSCALL_64_after_hwframe
     8.67%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] do_syscall_64
     8.07%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] __x64_sys_read
     8.07%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] ksys_read
     8.07%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] vfs_read
     8.07%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] new_sync_read
     8.07%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] ext4_file_read_iter
     8.07%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] generic_file_read_iter
     8.07%     0.05%  localfetcher#1   [kernel.kallsyms]     [k] filemap_read
     7.48%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] entry_SYSCALL_64_after_hwframe
     7.48%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] do_syscall_64
     7.44%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] ksys_write
     7.44%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] __x64_sys_write
     7.44%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] vfs_write
     7.44%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] ext4_file_write_iter
     7.44%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] new_sync_write
     7.44%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] ext4_buffered_write_iter
     7.43%     0.02%  pool-4-thread-1  [kernel.kallsyms]     [k] generic_perform_write
     5.75%     0.03%  java             [kernel.kallsyms]     [k] do_swap_page
     5.55%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] __x64_sys_read
     5.55%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] ksys_read
     5.54%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] vfs_read
     5.54%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] ext4_file_read_iter
     5.54%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] new_sync_read
     5.54%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] generic_file_read_iter
     5.54%     0.03%  LocalJobRunner   [kernel.kallsyms]     [k] filemap_read
     5.15%     0.03%  localfetcher#1   [kernel.kallsyms]     [k] asm_exc_page_fault
     5.12%     0.02%  java             [kernel.kallsyms]     [k] swapin_readahead
     4.82%     2.05%  localfetcher#1   [kernel.kallsyms]     [k] copy_user_enhanced_fast_string
     4.61%     0.00%  kswapd1          [kernel.kallsyms]     [k] kswapd
     4.61%     0.00%  kswapd1          [kernel.kallsyms]     [k] kthread
     4.61%     0.00%  kswapd1          [kernel.kallsyms]     [k] ret_from_fork
     4.61%     0.00%  kswapd1          [kernel.kallsyms]     [k] balance_pgdat
     4.61%     0.00%  kswapd1          [kernel.kallsyms]     [k] shrink_node
     4.55%     0.01%  java             [kernel.kallsyms]     [k] __read_swap_cache_async
     4.36%     0.08%  LocalJobRunner   [kernel.kallsyms]     [k] add_to_page_cache_lru
     4.34%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] filemap_get_pages
     4.27%     0.02%  LocalJobRunner   [kernel.kallsyms]     [k] page_cache_ra_unbounded
     4.27%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] ondemand_readahead
     4.22%     0.02%  kswapd1          [kernel.kallsyms]     [k] shrink_lruvec
     4.04%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] page_cache_async_ra
     3.62%     0.02%  pool-4-thread-1  [kernel.kallsyms]     [k] ext4_da_write_begin
     3.58%     0.00%  kswapd0          [kernel.kallsyms]     [k] kthread
     3.58%     0.00%  kswapd0          [kernel.kallsyms]     [k] ret_from_fork
     3.58%     0.00%  kswapd0          [kernel.kallsyms]     [k] kswapd
     3.58%     0.00%  kswapd0          [kernel.kallsyms]     [k] balance_pgdat
     3.58%     0.01%  kswapd0          [kernel.kallsyms]     [k] shrink_node
     3.58%     0.02%  localfetcher#1   [kernel.kallsyms]     [k] exc_page_fault
     3.48%     0.03%  localfetcher#1   [kernel.kallsyms]     [k] do_user_addr_fault
     3.41%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] cgroup_rstat_flush_irqsafe
     3.40%     0.05%  LocalJobRunner   [kernel.kallsyms]     [k] workingset_refault
     3.39%     0.05%  java             [kernel.kallsyms]     [k] workingset_refault
     3.39%     0.03%  localfetcher#1   [kernel.kallsyms]     [k] handle_mm_fault
     3.34%     0.02%  kswapd0          [kernel.kallsyms]     [k] shrink_lruvec
     3.17%     0.16%  localfetcher#1   [kernel.kallsyms]     [k] __handle_mm_fault
     3.08%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] __x64_sys_write
     3.08%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] ksys_write
     3.08%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] vfs_write
     3.08%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] new_sync_write
     3.08%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] ext4_file_write_iter
     3.08%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] ext4_buffered_write_iter
     3.08%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] generic_perform_write
     3.02%     0.00%  java             [kernel.kallsyms]     [k] mem_cgroup_flush_stats
     3.02%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] filemap_get_pages
     3.01%     0.00%  java             [kernel.kallsyms]     [k] cgroup_rstat_flush_irqsafe
     3.00%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] mem_cgroup_flush_stats
     2.91%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] ondemand_readahead
     2.91%     0.05%  localfetcher#1   [kernel.kallsyms]     [k] page_cache_ra_unbounded
     2.87%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] page_cache_async_ra
     2.83%     0.05%  pool-4-thread-1  [kernel.kallsyms]     [k] pagecache_get_page
     2.83%     0.01%  pool-4-thread-1  [kernel.kallsyms]     [k] grab_cache_page_write_begin
