# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 615K of event 'cycles'
# Event count (approx.): 8738153727476
#
# Children      Self  Command          Shared Object       Symbol                                             
# ........  ........  ...............  ..................  ...................................................
#
    31.92%     0.00%  swapper          [kernel.kallsyms]   [k] secondary_startup_64_no_verify
    31.92%     0.00%  swapper          [kernel.kallsyms]   [k] cpu_startup_entry
    31.91%     0.02%  swapper          [kernel.kallsyms]   [k] do_idle
    31.55%     0.00%  swapper          [kernel.kallsyms]   [k] cpuidle_enter
    31.55%     0.01%  swapper          [kernel.kallsyms]   [k] cpuidle_enter_state
    31.31%    30.65%  swapper          [kernel.kallsyms]   [k] mwait_idle_with_hints.constprop.0
    29.65%     0.00%  swapper          [kernel.kallsyms]   [k] start_secondary
    15.78%     0.11%  java             [kernel.kallsyms]   [k] asm_exc_page_fault
    15.13%     0.31%  java             [kernel.kallsyms]   [k] exc_page_fault
    12.96%     0.13%  java             [kernel.kallsyms]   [k] do_user_addr_fault
    11.69%     0.00%  localfetcher#1   [kernel.kallsyms]   [k] entry_SYSCALL_64_after_hwframe
    11.69%     0.00%  localfetcher#1   [kernel.kallsyms]   [k] do_syscall_64
    11.12%     0.00%  localfetcher#1   [kernel.kallsyms]   [k] ksys_read
    11.12%     0.00%  localfetcher#1   [kernel.kallsyms]   [k] __x64_sys_read
    11.12%     0.00%  localfetcher#1   [kernel.kallsyms]   [k] vfs_read
    11.12%     0.00%  localfetcher#1   [kernel.kallsyms]   [k] new_sync_read
    11.12%     0.00%  localfetcher#1   [kernel.kallsyms]   [k] generic_file_read_iter
    11.12%     0.00%  localfetcher#1   [kernel.kallsyms]   [k] ext4_file_read_iter
    11.12%     0.06%  localfetcher#1   [kernel.kallsyms]   [k] filemap_read
    10.38%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] entry_SYSCALL_64_after_hwframe
    10.38%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] do_syscall_64
     8.43%     0.46%  java             [kernel.kallsyms]   [k] handle_mm_fault
     8.05%     0.01%  LocalJobRunner   [kernel.kallsyms]   [k] entry_SYSCALL_64_after_hwframe
     8.04%     0.01%  LocalJobRunner   [kernel.kallsyms]   [k] do_syscall_64
     6.67%     0.00%  localfetcher#1   [kernel.kallsyms]   [k] filemap_get_pages
     6.55%     0.00%  localfetcher#1   [kernel.kallsyms]   [k] ondemand_readahead
     6.54%     0.04%  localfetcher#1   [kernel.kallsyms]   [k] page_cache_ra_unbounded
     6.43%     0.00%  localfetcher#1   [kernel.kallsyms]   [k] page_cache_async_ra
     6.36%     2.62%  java             [kernel.kallsyms]   [k] __handle_mm_fault
     5.59%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] ksys_write
     5.59%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] __x64_sys_write
     5.59%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] vfs_write
     5.59%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] ext4_file_write_iter
     5.59%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] new_sync_write
     5.59%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] ext4_buffered_write_iter
     5.58%     0.02%  pool-4-thread-1  [kernel.kallsyms]   [k] generic_perform_write
     5.30%     0.15%  pool-4-thread-1  [kernel.kallsyms]   [k] add_to_page_cache_lru
     5.11%     0.13%  localfetcher#1   [kernel.kallsyms]   [k] add_to_page_cache_lru
     4.65%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] vfs_read
     4.65%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] __x64_sys_read
     4.65%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] ksys_read
     4.65%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] ext4_file_read_iter
     4.65%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] new_sync_read
