# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 6777317610921
#
# Children      Self  Command          Shared Object             Symbol                                             
# ........  ........  ...............  ........................  ...................................................
#
    38.10%     0.39%  java             [kernel.kallsyms]         [k] asm_exc_page_fault
    35.33%     0.47%  java             [kernel.kallsyms]         [k] exc_page_fault
    31.90%     0.54%  java             [kernel.kallsyms]         [k] do_user_addr_fault
    25.01%     1.31%  java             [kernel.kallsyms]         [k] handle_mm_fault
    21.18%     0.01%  LocalJobRunner   [kernel.kallsyms]         [k] entry_SYSCALL_64_after_hwframe
    21.17%     0.01%  LocalJobRunner   [kernel.kallsyms]         [k] do_syscall_64
    20.67%     5.36%  java             [kernel.kallsyms]         [k] __handle_mm_fault
    10.78%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] __x64_sys_read
    10.78%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] ksys_read
    10.78%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] vfs_read
    10.78%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] new_sync_read
    10.78%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] ext4_file_read_iter
    10.78%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] generic_file_read_iter
    10.77%     0.14%  LocalJobRunner   [kernel.kallsyms]         [k] filemap_read
    10.36%     0.11%  LocalJobRunner   [kernel.kallsyms]         [k] asm_exc_page_fault
    10.14%     0.19%  java             [kernel.kallsyms]         [k] migrate_misplaced_page
     9.24%     0.07%  LocalJobRunner   [kernel.kallsyms]         [k] exc_page_fault
     9.04%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] __x64_sys_write
     9.04%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] ksys_write
     9.04%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] vfs_write
     9.03%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] new_sync_write
     9.03%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] ext4_file_write_iter
     9.03%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] ext4_buffered_write_iter
     9.00%     0.03%  LocalJobRunner   [kernel.kallsyms]         [k] generic_perform_write
     8.87%     0.74%  java             [kernel.kallsyms]         [k] migrate_pages
     8.69%     0.17%  LocalJobRunner   [kernel.kallsyms]         [k] do_user_addr_fault
     8.07%     0.21%  LocalJobRunner   [kernel.kallsyms]         [k] handle_mm_fault
     7.95%     7.76%  LocalJobRunner   [kernel.kallsyms]         [k] copy_user_enhanced_fast_string
     7.30%     1.02%  LocalJobRunner   [kernel.kallsyms]         [k] __handle_mm_fault
     4.80%     4.76%  java             [kernel.kallsyms]         [k] down_read_trylock
     4.69%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] asm_sysvec_apic_timer_interrupt
     4.66%     0.01%  LocalJobRunner   [kernel.kallsyms]         [k] sysvec_apic_timer_interrupt
     4.64%     0.23%  LocalJobRunner   [kernel.kallsyms]         [k] add_to_page_cache_lru
     4.34%     0.14%  LocalJobRunner   [kernel.kallsyms]         [k] __alloc_pages
     4.24%     0.09%  LocalJobRunner   [kernel.kallsyms]         [k] exit_to_user_mode_prepare
     4.23%     0.03%  LocalJobRunner   [kernel.kallsyms]         [k] ext4_da_write_begin
     4.18%     0.36%  LocalJobRunner   [kernel.kallsyms]         [k] get_page_from_freelist
     4.09%     0.01%  LocalJobRunner   [kernel.kallsyms]         [k] irqentry_exit
     4.08%     0.01%  LocalJobRunner   [kernel.kallsyms]         [k] irqentry_exit_to_user_mode
     3.87%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] task_work_run
     3.86%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] task_numa_work
     3.86%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] change_prot_numa
     3.75%     0.01%  LocalJobRunner   [kernel.kallsyms]         [k] filemap_get_pages
     3.54%     0.06%  java             [kernel.kallsyms]         [k] entry_SYSCALL_64_after_hwframe
     3.50%     0.01%  java             [kernel.kallsyms]         [k] asm_sysvec_apic_timer_interrupt
     3.46%     0.08%  java             [kernel.kallsyms]         [k] do_syscall_64
     3.46%     0.02%  java             [kernel.kallsyms]         [k] sysvec_apic_timer_interrupt
     3.45%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] ondemand_readahead
     3.45%     0.01%  LocalJobRunner   [kernel.kallsyms]         [k] page_cache_ra_unbounded
     3.44%     3.27%  LocalJobRunner   [kernel.kallsyms]         [k] change_protection
     3.38%     0.07%  LocalJobRunner   [kernel.kallsyms]         [k] pagecache_get_page
     3.37%     0.01%  LocalJobRunner   [kernel.kallsyms]         [k] grab_cache_page_write_begin
     3.25%     3.23%  LocalJobRunner   [kernel.kallsyms]         [k] clear_page_erms
     3.20%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] cgroup_rstat_flush_irqsafe
     3.01%     0.01%  java             [kernel.kallsyms]         [k] move_to_new_page
     2.99%     0.01%  java             [kernel.kallsyms]         [k] migrate_page
     2.98%     0.00%  swapper          [kernel.kallsyms]         [k] secondary_startup_64_no_verify
     2.98%     0.00%  swapper          [kernel.kallsyms]         [k] cpu_startup_entry
     2.98%     0.01%  swapper          [kernel.kallsyms]         [k] do_idle
     2.91%     0.00%  swapper          [kernel.kallsyms]         [k] start_secondary
     2.91%     2.89%  java             [kernel.kallsyms]         [k] sync_regs
     2.84%     0.00%  swapper          [kernel.kallsyms]         [k] cpuidle_enter
     2.84%     0.00%  swapper          [kernel.kallsyms]         [k] cpuidle_enter_state
     2.80%     2.79%  swapper          [kernel.kallsyms]         [k] mwait_idle_with_hints.constprop.0
     2.79%     0.01%  LocalJobRunner   [kernel.kallsyms]         [k] workingset_refault
     2.76%     0.48%  LocalJobRunner   [kernel.kallsyms]         [k] cgroup_rstat_flush_locked
     2.75%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] mem_cgroup_flush_stats
     2.72%     0.29%  java             [kernel.kallsyms]         [k] exit_to_user_mode_prepare
     2.55%     0.03%  java             [kernel.kallsyms]         [k] __x64_sys_sched_yield
     2.51%     0.01%  java             [kernel.kallsyms]         [k] rmap_walk
     2.46%     0.11%  java             [kernel.kallsyms]         [k] do_sched_yield
     2.43%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] page_cache_async_ra
     2.42%     2.40%  java             [kernel.kallsyms]         [k] up_read
     2.38%     0.10%  java             [kernel.kallsyms]         [k] __alloc_pages
     2.30%     0.20%  java             [kernel.kallsyms]         [k] rmap_walk_anon
     2.27%     0.22%  java             [kernel.kallsyms]         [k] get_page_from_freelist
     2.23%     0.03%  LocalJobRunner   [kernel.kallsyms]         [k] alloc_pages_vma
     2.23%     0.03%  java             [kernel.kallsyms]         [k] irqentry_exit
     2.20%     0.03%  java             [kernel.kallsyms]         [k] irqentry_exit_to_user_mode
     2.20%     2.20%  LocalJobRunner   [kernel.kallsyms]         [k] mem_cgroup_css_rstat_flush
     2.05%     0.03%  java             [kernel.kallsyms]         [k] schedule
     2.01%     0.49%  java             [kernel.kallsyms]         [k] __schedule
     1.99%     0.03%  LocalJobRunner   [kernel.kallsyms]         [k] alloc_pages
     1.86%     1.84%  java             [kernel.kallsyms]         [k] copy_page
     1.84%     0.03%  LocalJobRunner   [kernel.kallsyms]         [k] ext4_da_write_end
     1.80%     0.11%  LocalJobRunner   [kernel.kallsyms]         [k] generic_write_end
     1.76%     1.75%  java             [kernel.kallsyms]         [k] clear_page_erms
     1.66%     1.31%  java             [kernel.kallsyms]         [k] cgroup_rstat_updated
     1.66%     0.00%  Sampler Reader   [kernel.kallsyms]         [k] entry_SYSCALL_64_after_hwframe
     1.66%     0.00%  Sampler Reader   [kernel.kallsyms]         [k] do_syscall_64
     1.65%     0.68%  java             [kernel.kallsyms]         [k] __count_memcg_events
     1.64%     0.04%  java             [kernel.kallsyms]         [k] __sysvec_apic_timer_interrupt
     1.60%     0.00%  Sampler Reader   [kernel.kallsyms]         [k] __x64_sys_read
     1.60%     0.00%  Sampler Reader   [kernel.kallsyms]         [k] ksys_read
     1.60%     0.00%  Sampler Reader   [kernel.kallsyms]         [k] vfs_read
     1.60%     0.00%  Sampler Reader   [kernel.kallsyms]         [k] new_sync_read
     1.60%     0.00%  Sampler Reader   [kernel.kallsyms]         [k] ext4_file_read_iter
     1.60%     0.00%  Sampler Reader   [kernel.kallsyms]         [k] generic_file_read_iter
     1.60%     0.03%  Sampler Reader   [kernel.kallsyms]         [k] filemap_read
     1.60%     0.05%  java             [kernel.kallsyms]         [k] hrtimer_interrupt
     1.56%     0.00%  java             [kernel.kallsyms]         [k] try_to_migrate
     1.51%     0.03%  LocalJobRunner   [kernel.kallsyms]         [k] migrate_misplaced_page
     1.49%     0.18%  LocalJobRunner   [kernel.kallsyms]         [k] __mem_cgroup_charge
     1.44%     0.00%  java             [kernel.kallsyms]         [k] task_work_run
     1.44%     0.00%  java             [kernel.kallsyms]         [k] task_numa_work
     1.44%     0.00%  java             [kernel.kallsyms]         [k] change_prot_numa
     1.42%     0.88%  LocalJobRunner   [kernel.kallsyms]         [k] __add_to_page_cache_locked
     1.38%     1.04%  Sampler Reader   [kernel.kallsyms]         [k] copy_user_enhanced_fast_string
     1.38%     0.03%  VM Thread        [kernel.kallsyms]         [k] entry_SYSCALL_64_after_hwframe
     1.36%     0.03%  java             [kernel.kallsyms]         [k] __hrtimer_run_queues
     1.35%     1.35%  java             libc.so.6                 [.] 0x00000000001b2383
     1.34%     0.01%  VM Thread        [kernel.kallsyms]         [k] do_syscall_64
     1.32%     0.14%  LocalJobRunner   [kernel.kallsyms]         [k] migrate_pages
     1.31%     0.04%  LocalJobRunner   [kernel.kallsyms]         [k] __mark_inode_dirty
     1.28%     1.19%  java             [kernel.kallsyms]         [k] change_protection
     1.27%     0.02%  java             [kernel.kallsyms]         [k] alloc_pages_vma
     1.26%     0.01%  LocalJobRunner   [kernel.kallsyms]         [k] ext4_dirty_inode
     1.25%     0.04%  java             [kernel.kallsyms]         [k] find_vma
     1.22%     1.21%  java             [kernel.kallsyms]         [k] vmacache_find
     1.21%     0.27%  java             [kernel.kallsyms]         [k] try_to_migrate_one
     1.14%     0.01%  java             [kernel.kallsyms]         [k] alloc_misplaced_dst_page
     1.13%     0.01%  java             [kernel.kallsyms]         [k] tick_sched_timer
     1.10%     0.02%  java             [kernel.kallsyms]         [k] migrate_page_copy
     1.09%     0.00%  java             [kernel.kallsyms]         [k] __put_page
     1.07%     0.14%  java             [kernel.kallsyms]         [k] migrate_page_states
     1.06%     0.09%  java             [kernel.kallsyms]         [k] update_process_times
     1.04%     0.00%  java             [kernel.kallsyms]         [k] tick_sched_handle
     1.04%     1.01%  java             [kernel.kallsyms]         [k] task_numa_fault
     1.02%     0.50%  java             [kernel.kallsyms]         [k] numa_migrate_prep
     1.02%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] page_cache_sync_ra
     0.98%     0.07%  java             [kernel.kallsyms]         [k] isolate_lru_page
     0.97%     0.00%  Sampler Reader   [kernel.kallsyms]         [k] asm_exc_page_fault
     0.96%     0.38%  LocalJobRunner   [kernel.kallsyms]         [k] charge_memcg
     0.94%     0.00%  kswapd1          [kernel.kallsyms]         [k] kswapd
     0.94%     0.00%  kswapd1          [kernel.kallsyms]         [k] kthread
     0.94%     0.00%  kswapd1          [kernel.kallsyms]         [k] ret_from_fork
     0.94%     0.00%  kswapd1          [kernel.kallsyms]         [k] balance_pgdat
     0.94%     0.00%  kswapd1          [kernel.kallsyms]         [k] shrink_node
     0.92%     0.02%  VM Thread        [kernel.kallsyms]         [k] asm_exc_page_fault
     0.90%     0.05%  java             [kernel.kallsyms]         [k] mem_cgroup_migrate
     0.90%     0.01%  LocalJobRunner   [kernel.kallsyms]         [k] __x64_sys_futex
     0.88%     0.01%  LocalJobRunner   [kernel.kallsyms]         [k] do_futex
