# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 716K of event 'cycles'
# Event count (approx.): 10058435022841
#
# Children      Self  Command          Shared Object             Symbol                                             
# ........  ........  ...............  ........................  ...................................................
#
    34.24%     0.00%  swapper          [kernel.kallsyms]         [k] secondary_startup_64_no_verify
    34.24%     0.00%  swapper          [kernel.kallsyms]         [k] cpu_startup_entry
    34.22%     0.02%  swapper          [kernel.kallsyms]         [k] do_idle
    33.90%     0.00%  swapper          [kernel.kallsyms]         [k] cpuidle_enter
    33.90%     0.01%  swapper          [kernel.kallsyms]         [k] cpuidle_enter_state
    33.59%    32.52%  swapper          [kernel.kallsyms]         [k] mwait_idle_with_hints.constprop.0
    32.55%     0.00%  swapper          [kernel.kallsyms]         [k] start_secondary
    12.99%     0.09%  java             [kernel.kallsyms]         [k] asm_exc_page_fault
    12.33%     0.22%  java             [kernel.kallsyms]         [k] exc_page_fault
    11.65%     0.01%  LocalJobRunner   [kernel.kallsyms]         [k] entry_SYSCALL_64_after_hwframe
    11.64%     0.01%  LocalJobRunner   [kernel.kallsyms]         [k] do_syscall_64
    10.84%     0.13%  java             [kernel.kallsyms]         [k] do_user_addr_fault
     9.19%     0.00%  pool-4-thread-1  [kernel.kallsyms]         [k] entry_SYSCALL_64_after_hwframe
     9.19%     0.00%  pool-4-thread-1  [kernel.kallsyms]         [k] do_syscall_64
     8.15%     0.00%  localfetcher#1   [kernel.kallsyms]         [k] entry_SYSCALL_64_after_hwframe
     8.15%     0.00%  localfetcher#1   [kernel.kallsyms]         [k] do_syscall_64
     7.63%     0.42%  java             [kernel.kallsyms]         [k] handle_mm_fault
     7.58%     0.00%  localfetcher#1   [kernel.kallsyms]         [k] __x64_sys_read
     7.58%     0.00%  localfetcher#1   [kernel.kallsyms]         [k] ksys_read
     7.58%     0.00%  localfetcher#1   [kernel.kallsyms]         [k] vfs_read
     7.58%     0.00%  localfetcher#1   [kernel.kallsyms]         [k] new_sync_read
     7.57%     0.00%  localfetcher#1   [kernel.kallsyms]         [k] ext4_file_read_iter
     7.57%     0.00%  localfetcher#1   [kernel.kallsyms]         [k] generic_file_read_iter
     7.57%     0.04%  localfetcher#1   [kernel.kallsyms]         [k] filemap_read
     7.07%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] __x64_sys_read
     7.07%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] ksys_read
     7.07%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] vfs_read
     7.07%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] new_sync_read
     7.07%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] ext4_file_read_iter
     7.07%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] generic_file_read_iter
     7.07%     0.05%  LocalJobRunner   [kernel.kallsyms]         [k] filemap_read
     5.83%     2.16%  java             [kernel.kallsyms]         [k] __handle_mm_fault
     5.21%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] filemap_get_pages
     5.09%     0.03%  LocalJobRunner   [kernel.kallsyms]         [k] page_cache_ra_unbounded
     5.08%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] ondemand_readahead
     4.95%     0.09%  LocalJobRunner   [kernel.kallsyms]         [k] add_to_page_cache_lru
     4.76%     0.00%  pool-4-thread-1  [kernel.kallsyms]         [k] ksys_write
     4.76%     0.00%  pool-4-thread-1  [kernel.kallsyms]         [k] __x64_sys_write
     4.76%     0.00%  pool-4-thread-1  [kernel.kallsyms]         [k] vfs_write
     4.76%     0.00%  pool-4-thread-1  [kernel.kallsyms]         [k] ext4_file_write_iter
     4.76%     0.00%  pool-4-thread-1  [kernel.kallsyms]         [k] new_sync_write
     4.76%     0.00%  pool-4-thread-1  [kernel.kallsyms]         [k] ext4_buffered_write_iter
     4.75%     0.02%  pool-4-thread-1  [kernel.kallsyms]         [k] generic_perform_write
     4.75%     0.12%  pool-4-thread-1  [kernel.kallsyms]         [k] add_to_page_cache_lru
     4.58%     1.82%  localfetcher#1   [kernel.kallsyms]         [k] copy_user_enhanced_fast_string
     4.52%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] page_cache_async_ra
     4.27%     0.00%  pool-4-thread-1  [kernel.kallsyms]         [k] __x64_sys_read
     4.27%     0.00%  pool-4-thread-1  [kernel.kallsyms]         [k] ksys_read
     4.27%     0.00%  pool-4-thread-1  [kernel.kallsyms]         [k] vfs_read
     4.27%     0.03%  pool-4-thread-1  [kernel.kallsyms]         [k] filemap_read
