# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 15K of event 'cycles'
# Event count (approx.): 577830700520
#
# Children      Self  Command          Shared Object      Symbol                                          
# ........  ........  ...............  .................  ................................................
#
    67.39%     0.00%  swapper          [kernel.kallsyms]  [k] cpu_startup_entry
    67.39%     0.00%  swapper          [kernel.kallsyms]  [k] secondary_startup_64_no_verify
    67.39%     0.00%  swapper          [kernel.kallsyms]  [k] do_idle
    67.26%     0.00%  swapper          [kernel.kallsyms]  [k] cpuidle_enter
    67.26%     0.00%  swapper          [kernel.kallsyms]  [k] cpuidle_enter_state
    66.96%    63.89%  swapper          [kernel.kallsyms]  [k] mwait_idle_with_hints.constprop.0
    64.80%     0.00%  swapper          [kernel.kallsyms]  [k] start_secondary
    14.98%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] do_syscall_64
    14.98%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     9.09%     0.01%  pool-4-thread-1  [kernel.kallsyms]  [k] vfs_write
     9.09%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] __x64_sys_write
     9.09%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] ksys_write
     9.08%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] ext4_buffered_write_iter
     9.08%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] ext4_file_write_iter
     9.08%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] new_sync_write
     9.07%     0.05%  pool-4-thread-1  [kernel.kallsyms]  [k] generic_perform_write
     4.74%     0.01%  java             [kernel.kallsyms]  [k] exit_to_user_mode_prepare
     4.74%     0.00%  java             [kernel.kallsyms]  [k] do_syscall_64
     4.74%     0.00%  java             [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     4.74%     0.00%  java             [kernel.kallsyms]  [k] syscall_exit_to_user_mode
     4.74%     0.00%  java             [kernel.kallsyms]  [k] arch_do_signal_or_restart
     4.74%     0.00%  java             [kernel.kallsyms]  [k] get_signal
     4.74%     0.00%  java             [kernel.kallsyms]  [k] do_exit
     4.74%     0.00%  java             [kernel.kallsyms]  [k] do_group_exit
     4.72%     0.00%  java             [kernel.kallsyms]  [k] exit_mmap
     4.72%     0.00%  java             [kernel.kallsyms]  [k] mmput
     4.71%     0.91%  java             [kernel.kallsyms]  [k] unmap_page_range
     4.71%     0.00%  java             [kernel.kallsyms]  [k] unmap_single_vma
     4.71%     0.00%  java             [kernel.kallsyms]  [k] unmap_vmas
     4.67%     0.03%  pool-4-thread-1  [kernel.kallsyms]  [k] ext4_da_write_begin
     3.90%     0.19%  pool-4-thread-1  [kernel.kallsyms]  [k] filemap_read
     3.90%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] __x64_sys_read
     3.90%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] ext4_file_read_iter
     3.90%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] generic_file_read_iter
     3.90%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] ksys_read
     3.90%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] new_sync_read
     3.90%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] vfs_read
     3.64%     0.22%  pool-4-thread-1  [kernel.kallsyms]  [k] add_to_page_cache_lru
     3.56%     0.02%  pool-4-thread-1  [kernel.kallsyms]  [k] grab_cache_page_write_begin
     3.54%     0.00%  kcompactd0       [kernel.kallsyms]  [k] compact_zone
     3.54%     0.00%  kcompactd0       [kernel.kallsyms]  [k] kcompactd
     3.54%     0.00%  kcompactd0       [kernel.kallsyms]  [k] kthread
     3.54%     0.00%  kcompactd0       [kernel.kallsyms]  [k] proactive_compact_node
     3.54%     0.00%  kcompactd0       [kernel.kallsyms]  [k] ret_from_fork
     3.54%     0.05%  pool-4-thread-1  [kernel.kallsyms]  [k] pagecache_get_page
     3.33%     0.10%  kcompactd0       [kernel.kallsyms]  [k] migrate_pages
     3.10%     3.10%  swapper          [unknown]          [.] 0000000000000000
     3.03%     0.00%  kcompactd1       [kernel.kallsyms]  [k] compact_zone
     3.03%     0.00%  kcompactd1       [kernel.kallsyms]  [k] kcompactd
     3.03%     0.00%  kcompactd1       [kernel.kallsyms]  [k] kthread
     3.03%     0.00%  kcompactd1       [kernel.kallsyms]  [k] proactive_compact_node
     3.03%     0.00%  kcompactd1       [kernel.kallsyms]  [k] ret_from_fork
     2.99%     0.00%  java             [kernel.kallsyms]  [k] tlb_flush_mmu
     2.88%     2.22%  pool-4-thread-1  [kernel.kallsyms]  [k] __add_to_page_cache_locked
     2.87%     0.05%  kcompactd1       [kernel.kallsyms]  [k] migrate_pages
     2.76%     0.03%  java             [kernel.kallsyms]  [k] free_pages_and_swap_cache
     2.69%     0.72%  java             [kernel.kallsyms]  [k] release_pages
     2.59%     0.00%  swapper          [kernel.kallsyms]  [k] arch_call_rest_init
     2.59%     0.00%  swapper          [kernel.kallsyms]  [k] rest_init
     2.59%     0.00%  swapper          [kernel.kallsyms]  [k] start_kernel
     2.59%     0.00%  swapper          [kernel.kallsyms]  [k] x86_64_start_kernel
     2.59%     0.00%  swapper          [kernel.kallsyms]  [k] x86_64_start_reservations
     2.58%     2.56%  pool-4-thread-1  [kernel.kallsyms]  [k] copy_user_enhanced_fast_string
     2.31%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] filemap_get_pages
     2.27%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] page_cache_async_ra
     2.27%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] ondemand_readahead
     2.25%     0.02%  pool-4-thread-1  [kernel.kallsyms]  [k] page_cache_ra_unbounded
     2.18%     0.02%  pool-4-thread-1  [kernel.kallsyms]  [k] ext4_da_write_end
     2.16%     0.06%  pool-4-thread-1  [kernel.kallsyms]  [k] generic_write_end
     1.93%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] __x64_sys_unlink
     1.93%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] do_unlinkat
     1.93%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] evict
     1.93%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] ext4_evict_inode
     1.93%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] iput
     1.93%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] iput.part.0
     1.93%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] truncate_inode_pages_final
     1.90%     0.05%  pool-4-thread-1  [kernel.kallsyms]  [k] truncate_inode_pages_range
     1.82%     0.04%  pool-4-thread-1  [kernel.kallsyms]  [k] alloc_pages
     1.78%     0.07%  pool-4-thread-1  [kernel.kallsyms]  [k] __alloc_pages
     1.69%     0.30%  pool-4-thread-1  [kernel.kallsyms]  [k] get_page_from_freelist
     1.64%     0.05%  pool-4-thread-1  [kernel.kallsyms]  [k] __mark_inode_dirty
     1.59%     0.02%  pool-4-thread-1  [kernel.kallsyms]  [k] ext4_dirty_inode
     1.38%     0.18%  java             [kernel.kallsyms]  [k] free_unref_page_list
     1.28%     0.02%  pool-4-thread-1  [kernel.kallsyms]  [k] asm_exc_page_fault
     1.27%     0.01%  kcompactd0       [kernel.kallsyms]  [k] move_to_new_page
     1.25%     0.01%  kcompactd1       [kernel.kallsyms]  [k] move_to_new_page
     1.17%     0.00%  kworker/u98:2-w  [kernel.kallsyms]  [k] kthread
     1.17%     0.00%  kworker/u98:2-w  [kernel.kallsyms]  [k] process_one_work
     1.17%     0.00%  kworker/u98:2-w  [kernel.kallsyms]  [k] ret_from_fork
     1.17%     0.00%  kworker/u98:2-w  [kernel.kallsyms]  [k] worker_thread
     1.17%     0.00%  kworker/u98:2-w  [kernel.kallsyms]  [k] __writeback_inodes_wb
     1.17%     0.00%  kworker/u98:2-w  [kernel.kallsyms]  [k] __writeback_single_inode
     1.17%     0.00%  kworker/u98:2-w  [kernel.kallsyms]  [k] do_writepages
     1.17%     0.00%  kworker/u98:2-w  [kernel.kallsyms]  [k] wb_workfn
     1.17%     0.00%  kworker/u98:2-w  [kernel.kallsyms]  [k] wb_writeback
     1.17%     0.00%  kworker/u98:2-w  [kernel.kallsyms]  [k] writeback_sb_inodes
     1.16%     0.06%  kworker/u98:2-w  [kernel.kallsyms]  [k] ext4_writepages
     1.16%     0.12%  java             [kernel.kallsyms]  [k] free_unref_page_commit.constprop.0
     1.09%     0.00%  Readahead Threa  [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     1.09%     0.00%  Readahead Threa  [kernel.kallsyms]  [k] do_syscall_64
     1.07%     0.00%  Readahead Threa  [kernel.kallsyms]  [k] syscall_exit_to_user_mode
     1.07%     0.00%  Readahead Threa  [kernel.kallsyms]  [k] exit_to_user_mode_prepare
     1.07%     0.00%  Readahead Threa  [kernel.kallsyms]  [k] arch_do_signal_or_restart
     1.07%     0.00%  Readahead Threa  [kernel.kallsyms]  [k] get_signal
     1.07%     0.00%  Readahead Threa  [kernel.kallsyms]  [k] do_exit
     1.07%     0.00%  Readahead Threa  [kernel.kallsyms]  [k] do_group_exit
     1.07%     0.00%  Readahead Threa  [kernel.kallsyms]  [k] exit_mmap
     1.07%     0.00%  Readahead Threa  [kernel.kallsyms]  [k] mmput
     1.07%     0.00%  Readahead Threa  [kernel.kallsyms]  [k] unmap_single_vma
     1.07%     0.00%  Readahead Threa  [kernel.kallsyms]  [k] unmap_vmas
     1.06%     0.17%  Readahead Threa  [kernel.kallsyms]  [k] unmap_page_range
     1.04%     0.11%  java             [kernel.kallsyms]  [k] free_pcppages_bulk
     1.03%     0.03%  pool-4-thread-1  [kernel.kallsyms]  [k] ext4_block_write_begin
     0.99%     0.02%  pool-4-thread-1  [kernel.kallsyms]  [k] exc_page_fault
     0.97%     0.00%  kcompactd0       [kernel.kallsyms]  [k] compaction_alloc
     0.93%     0.03%  pool-4-thread-1  [kernel.kallsyms]  [k] do_user_addr_fault
     0.86%     0.04%  kcompactd0       [kernel.kallsyms]  [k] split_map_pages
     0.84%     0.82%  java             [kernel.kallsyms]  [k] __free_one_page
     0.84%     0.00%  kcompactd1       [kernel.kallsyms]  [k] buffer_migrate_page
     0.83%     0.00%  kcompactd0       [kernel.kallsyms]  [k] migrate_page
     0.82%     0.00%  kcompactd0       [kernel.kallsyms]  [k] post_alloc_hook
     0.81%     0.80%  pool-4-thread-1  [kernel.kallsyms]  [k] clear_page_erms
     0.80%     0.01%  pool-4-thread-1  [kernel.kallsyms]  [k] __ext4_mark_inode_dirty
     0.79%     0.00%  kcompactd1       [kernel.kallsyms]  [k] compaction_alloc
     0.76%     0.03%  pool-4-thread-1  [kernel.kallsyms]  [k] handle_mm_fault
     0.74%     0.16%  pool-4-thread-1  [kernel.kallsyms]  [k] release_pages
     0.74%     0.01%  kcompactd1       [kernel.kallsyms]  [k] split_map_pages
     0.74%     0.74%  kcompactd0       [kernel.kallsyms]  [k] clear_page_erms
     0.74%     0.03%  kworker/u98:2-w  [kernel.kallsyms]  [k] mpage_submit_page
     0.73%     0.00%  kcompactd1       [kernel.kallsyms]  [k] post_alloc_hook
     0.71%     0.71%  kcompactd1       [kernel.kallsyms]  [k] copy_page
     0.71%     0.00%  Readahead Threa  [kernel.kallsyms]  [k] tlb_flush_mmu
     0.69%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] __pagevec_release
     0.69%     0.29%  java             [kernel.kallsyms]  [k] page_remove_rmap
     0.69%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] __page_cache_alloc
     0.67%     0.00%  Readahead Threa  [kernel.kallsyms]  [k] free_pages_and_swap_cache
     0.67%     0.00%  C2 CompilerThre  [kernel.kallsyms]  [k] do_syscall_64
     0.67%     0.00%  C2 CompilerThre  [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     0.67%     0.00%  C2 CompilerThre  [kernel.kallsyms]  [k] exit_to_user_mode_prepare
     0.67%     0.00%  C2 CompilerThre  [kernel.kallsyms]  [k] syscall_exit_to_user_mode
     0.67%     0.00%  C2 CompilerThre  [kernel.kallsyms]  [k] arch_do_signal_or_restart
     0.67%     0.00%  C2 CompilerThre  [kernel.kallsyms]  [k] get_signal
     0.66%     0.11%  Readahead Threa  [kernel.kallsyms]  [k] release_pages
     0.66%     0.00%  C2 CompilerThre  [kernel.kallsyms]  [k] do_exit
     0.66%     0.00%  C2 CompilerThre  [kernel.kallsyms]  [k] do_group_exit
     0.65%     0.15%  C2 CompilerThre  [kernel.kallsyms]  [k] unmap_page_range
     0.65%     0.00%  C2 CompilerThre  [kernel.kallsyms]  [k] exit_mmap
     0.65%     0.00%  C2 CompilerThre  [kernel.kallsyms]  [k] mmput
     0.65%     0.00%  C2 CompilerThre  [kernel.kallsyms]  [k] unmap_single_vma
     0.65%     0.00%  C2 CompilerThre  [kernel.kallsyms]  [k] unmap_vmas
     0.63%     0.63%  kcompactd1       [kernel.kallsyms]  [k] clear_page_erms
     0.62%     0.01%  kcompactd1       [kernel.kallsyms]  [k] migrate_page
     0.61%     0.09%  kcompactd1       [kernel.kallsyms]  [k] __buffer_migrate_page.part.0
     0.61%     0.08%  pool-4-thread-1  [kernel.kallsyms]  [k] ext4_da_get_block_prep
     0.61%     0.00%  kworker/u96:1-e  [kernel.kallsyms]  [k] kthread
     0.61%     0.00%  kworker/u96:1-e  [kernel.kallsyms]  [k] ret_from_fork
     0.61%     0.00%  kworker/u96:1-e  [kernel.kallsyms]  [k] worker_thread
     0.60%     0.00%  kworker/u96:1-e  [kernel.kallsyms]  [k] ext4_end_io_rsv_work
     0.60%     0.00%  kworker/u96:1-e  [kernel.kallsyms]  [k] process_one_work
     0.59%     0.00%  kworker/u96:1-e  [kernel.kallsyms]  [k] ext4_release_io_end
     0.59%     0.07%  kworker/u96:1-e  [kernel.kallsyms]  [k] ext4_finish_bio
     0.56%     0.18%  pool-4-thread-1  [kernel.kallsyms]  [k] __handle_mm_fault
     0.55%     0.51%  pool-4-thread-1  [kernel.kallsyms]  [k] xas_load
     0.54%     0.00%  kcompactd0       [kernel.kallsyms]  [k] migrate_page_copy
     0.53%     0.16%  kcompactd0       [kernel.kallsyms]  [k] migrate_page_states
     0.53%     0.00%  kcompactd0       [kernel.kallsyms]  [k] buffer_migrate_page
     0.51%     0.02%  pool-4-thread-1  [kernel.kallsyms]  [k] lru_cache_add
     0.50%     0.49%  kcompactd0       [kernel.kallsyms]  [k] copy_page
     0.49%     0.20%  pool-4-thread-1  [kernel.kallsyms]  [k] ext4_mark_iloc_dirty
     0.49%     0.02%  pool-4-thread-1  [kernel.kallsyms]  [k] __ext4_journal_start_sb
     0.49%     0.03%  pool-4-thread-1  [kernel.kallsyms]  [k] truncate_exceptional_pvec_entries.part.0
     0.48%     0.13%  pool-4-thread-1  [kernel.kallsyms]  [k] __pagevec_lru_add
     0.48%     0.02%  kcompactd0       [kernel.kallsyms]  [k] rmap_walk_anon
     0.48%     0.00%  kcompactd0       [kernel.kallsyms]  [k] rmap_walk
     0.48%     0.12%  pool-4-thread-1  [kernel.kallsyms]  [k] __block_commit_write.constprop.0.isra.0
     0.46%     0.07%  kworker/u98:2-w  [kernel.kallsyms]  [k] ext4_bio_write_page
     0.45%     0.06%  kworker/u96:1-e  [kernel.kallsyms]  [k] end_page_writeback
     0.45%     0.45%  pool-4-thread-1  [kernel.kallsyms]  [k] sync_regs
     0.45%     0.00%  kcompactd0       [kernel.kallsyms]  [k] try_to_migrate
     0.43%     0.02%  pool-4-thread-1  [kernel.kallsyms]  [k] jbd2__journal_start
     0.43%     0.05%  kcompactd0       [kernel.kallsyms]  [k] __buffer_migrate_page.part.0
     0.41%     0.04%  kcompactd0       [kernel.kallsyms]  [k] try_to_migrate_one
     0.41%     0.41%  pool-4-thread-1  [kernel.kallsyms]  [k] __get_user_nocheck_1
     0.41%     0.33%  pool-4-thread-1  [kernel.kallsyms]  [k] rmqueue_bulk
     0.40%     0.02%  Readahead Threa  [kernel.kallsyms]  [k] free_unref_page_list
     0.39%     0.05%  java             [kernel.kallsyms]  [k] __mod_lruvec_state
     0.39%     0.02%  kcompactd0       [kernel.kallsyms]  [k] __put_page
     0.37%     0.06%  Readahead Threa  [kernel.kallsyms]  [k] free_unref_page_commit.constprop.0
     0.37%     0.00%  C2 CompilerThre  [kernel.kallsyms]  [k] tlb_flush_mmu
     0.37%     0.07%  kworker/u96:1-e  [kernel.kallsyms]  [k] test_clear_page_writeback
     0.35%     0.06%  pool-4-thread-1  [kernel.kallsyms]  [k] create_empty_buffers
     0.34%     0.06%  pool-4-thread-1  [kernel.kallsyms]  [k] mark_buffer_dirty
     0.34%     0.01%  kcompactd1       [kernel.kallsyms]  [k] __put_page
     0.34%     0.00%  C2 CompilerThre  [kernel.kallsyms]  [k] free_pages_and_swap_cache
     0.33%     0.08%  C2 CompilerThre  [kernel.kallsyms]  [k] release_pages
     0.32%     0.02%  pool-4-thread-1  [kernel.kallsyms]  [k] free_unref_page_list
     0.31%     0.08%  Readahead Threa  [kernel.kallsyms]  [k] free_pcppages_bulk
     0.31%     0.14%  kcompactd1       [kernel.kallsyms]  [k] migrate_page_states
     0.31%     0.00%  kcompactd1       [kernel.kallsyms]  [k] migrate_page_copy
     0.30%     0.02%  pool-4-thread-1  [kernel.kallsyms]  [k] delete_from_page_cache_batch
     0.30%     0.06%  pool-4-thread-1  [kernel.kallsyms]  [k] __mod_lruvec_page_state
     0.29%     0.00%  kcompactd1       [kernel.kallsyms]  [k] rmap_walk
     0.29%     0.01%  pool-4-thread-1  [kernel.kallsyms]  [k] free_unref_page_commit.constprop.0
     0.29%     0.02%  pool-4-thread-1  [kernel.kallsyms]  [k] alloc_page_buffers
     0.29%     0.22%  pool-4-thread-1  [kernel.kallsyms]  [k] find_lock_entries
     0.29%     0.05%  pool-4-thread-1  [kernel.kallsyms]  [k] __ext4_journal_stop
     0.29%     0.02%  kcompactd1       [kernel.kallsyms]  [k] rmap_walk_anon
     0.28%     0.28%  pool-4-thread-1  [kernel.kallsyms]  [k] mark_page_accessed
     0.28%     0.19%  pool-4-thread-1  [kernel.kallsyms]  [k] _raw_spin_lock
     0.28%     0.03%  pool-4-thread-1  [kernel.kallsyms]  [k] free_pcppages_bulk
     0.28%     0.16%  pool-4-thread-1  [kernel.kallsyms]  [k] xas_store
     0.28%     0.05%  pool-4-thread-1  [kernel.kallsyms]  [k] __mod_lruvec_state
     0.27%     0.09%  pool-4-thread-1  [kernel.kallsyms]  [k] kmem_cache_alloc
     0.27%     0.01%  pool-4-thread-1  [kernel.kallsyms]  [k] alloc_buffer_head
     0.26%     0.03%  java             [kernel.kallsyms]  [k] __mod_lruvec_page_state
     0.25%     0.19%  pool-4-thread-1  [kernel.kallsyms]  [k] start_this_handle
     0.25%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] ext4_reserve_inode_write
     0.25%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] asm_sysvec_apic_timer_interrupt
     0.25%     0.25%  pool-4-thread-1  [kernel.kallsyms]  [k] __free_one_page
     0.24%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] sysvec_apic_timer_interrupt
     0.24%     0.23%  java             [kernel.kallsyms]  [k] free_swap_cache
     0.24%     0.00%  kcompactd0       [kernel.kallsyms]  [k] mem_cgroup_migrate
     0.24%     0.00%  kcompactd1       [kernel.kallsyms]  [k] try_to_migrate
