# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 12499422237346
#
# Children      Self  Command          Shared Object         Symbol                                             
# ........  ........  ...............  ....................  ...................................................
#
    33.26%     0.00%  swapper          [kernel.kallsyms]     [k] secondary_startup_64_no_verify
    33.26%     0.00%  swapper          [kernel.kallsyms]     [k] cpu_startup_entry
    33.25%     0.01%  swapper          [kernel.kallsyms]     [k] do_idle
    33.10%     0.00%  swapper          [kernel.kallsyms]     [k] cpuidle_enter
    33.10%     0.01%  swapper          [kernel.kallsyms]     [k] cpuidle_enter_state
    32.90%    31.11%  swapper          [kernel.kallsyms]     [k] mwait_idle_with_hints.constprop.0
    30.88%     0.00%  swapper          [kernel.kallsyms]     [k] start_secondary
    20.18%     0.16%  java             [kernel.kallsyms]     [k] asm_exc_page_fault
    19.05%     0.32%  java             [kernel.kallsyms]     [k] exc_page_fault
    16.69%     0.19%  java             [kernel.kallsyms]     [k] do_user_addr_fault
    11.39%     0.57%  java             [kernel.kallsyms]     [k] handle_mm_fault
     9.98%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] entry_SYSCALL_64_after_hwframe
     9.98%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] do_syscall_64
     9.71%     2.96%  java             [kernel.kallsyms]     [k] __handle_mm_fault
     8.16%     0.13%  LocalJobRunner   [kernel.kallsyms]     [k] asm_exc_page_fault
     7.10%     0.08%  LocalJobRunner   [kernel.kallsyms]     [k] exc_page_fault
     6.67%     0.18%  LocalJobRunner   [kernel.kallsyms]     [k] do_user_addr_fault
     6.18%     0.25%  LocalJobRunner   [kernel.kallsyms]     [k] handle_mm_fault
     5.54%     0.89%  LocalJobRunner   [kernel.kallsyms]     [k] __handle_mm_fault
     4.86%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] entry_SYSCALL_64_after_hwframe
     4.86%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] do_syscall_64
     4.85%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] __x64_sys_read
     4.85%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] ksys_read
     4.84%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] vfs_read
     4.84%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] new_sync_read
     4.84%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] ext4_file_read_iter
     4.84%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] generic_file_read_iter
     4.84%     0.12%  LocalJobRunner   [kernel.kallsyms]     [k] filemap_read
     4.84%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] __x64_sys_write
     4.84%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] ksys_write
     4.84%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] vfs_write
     4.83%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] new_sync_write
     4.83%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] ext4_file_write_iter
     4.83%     4.80%  LocalJobRunner   [kernel.kallsyms]     [k] copy_user_enhanced_fast_string
     4.83%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] ext4_buffered_write_iter
     4.82%     0.01%  LocalJobRunner   [kernel.kallsyms]     [k] generic_perform_write
     4.55%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] __x64_sys_read
     4.55%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] ksys_read
     4.55%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] vfs_read
     4.55%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] new_sync_read
     4.55%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] ext4_file_read_iter
     4.55%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] generic_file_read_iter
     4.55%     0.03%  localfetcher#1   [kernel.kallsyms]     [k] filemap_read
