# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 11829649677068
#
# Children      Self  Command          Shared Object      Symbol                                               
# ........  ........  ...............  .................  .....................................................
#
    27.57%     0.00%  swapper          [kernel.kallsyms]  [k] secondary_startup_64_no_verify
    27.57%     0.00%  swapper          [kernel.kallsyms]  [k] cpu_startup_entry
    27.56%     0.01%  swapper          [kernel.kallsyms]  [k] do_idle
    27.42%     0.00%  swapper          [kernel.kallsyms]  [k] cpuidle_enter
    27.42%     0.01%  swapper          [kernel.kallsyms]  [k] cpuidle_enter_state
    27.26%    26.72%  swapper          [kernel.kallsyms]  [k] mwait_idle_with_hints.constprop.0
    26.02%     0.00%  swapper          [kernel.kallsyms]  [k] start_secondary
    23.66%     0.16%  java             [kernel.kallsyms]  [k] asm_exc_page_fault
    22.49%     0.32%  java             [kernel.kallsyms]  [k] exc_page_fault
    20.00%     0.21%  java             [kernel.kallsyms]  [k] do_user_addr_fault
    14.55%     0.73%  java             [kernel.kallsyms]  [k] handle_mm_fault
    12.62%     3.22%  java             [kernel.kallsyms]  [k] __handle_mm_fault
    10.51%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
    10.51%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] do_syscall_64
     9.62%     0.14%  LocalJobRunner   [kernel.kallsyms]  [k] asm_exc_page_fault
     8.51%     0.09%  LocalJobRunner   [kernel.kallsyms]  [k] exc_page_fault
     8.03%     0.18%  LocalJobRunner   [kernel.kallsyms]  [k] do_user_addr_fault
     7.52%     0.26%  LocalJobRunner   [kernel.kallsyms]  [k] handle_mm_fault
     6.86%     0.96%  LocalJobRunner   [kernel.kallsyms]  [k] __handle_mm_fault
     5.63%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     5.63%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] do_syscall_64
     5.25%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] __x64_sys_read
     5.25%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] ksys_read
     5.25%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] vfs_read
     5.25%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] new_sync_read
     5.25%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] ext4_file_read_iter
