# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 8072375585332
#
# Children      Self  Command          Shared Object      Symbol                                             
# ........  ........  ...............  .................  ...................................................
#
    29.16%     0.27%  java             [kernel.kallsyms]  [k] asm_exc_page_fault
    27.37%     0.33%  java             [kernel.kallsyms]  [k] exc_page_fault
    24.74%     0.35%  java             [kernel.kallsyms]  [k] do_user_addr_fault
    19.40%     0.01%  LocalJobRunner   [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
    19.40%     0.85%  java             [kernel.kallsyms]  [k] handle_mm_fault
    19.39%     0.01%  LocalJobRunner   [kernel.kallsyms]  [k] do_syscall_64
    17.86%     0.18%  LocalJobRunner   [kernel.kallsyms]  [k] asm_exc_page_fault
    16.77%     3.95%  java             [kernel.kallsyms]  [k] __handle_mm_fault
    16.33%     0.13%  LocalJobRunner   [kernel.kallsyms]  [k] exc_page_fault
    15.46%     0.27%  LocalJobRunner   [kernel.kallsyms]  [k] do_user_addr_fault
    14.53%     0.41%  LocalJobRunner   [kernel.kallsyms]  [k] handle_mm_fault
    13.33%     1.65%  LocalJobRunner   [kernel.kallsyms]  [k] __handle_mm_fault
     9.69%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] __x64_sys_write
     9.69%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] ksys_write
     9.69%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] vfs_write
     9.68%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] new_sync_write
     9.68%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] ext4_file_write_iter
     9.68%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] ext4_buffered_write_iter
     9.67%     0.02%  LocalJobRunner   [kernel.kallsyms]  [k] generic_perform_write
     9.63%     0.12%  java             [kernel.kallsyms]  [k] migrate_misplaced_page
