# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 301K of event 'cycles'
# Event count (approx.): 8955303910291
#
# Children      Self  Command          Shared Object      Symbol                                             
# ........  ........  ...............  .................  ...................................................
#
    55.26%     0.00%  swapper          [kernel.kallsyms]  [k] secondary_startup_64_no_verify
    55.26%     0.00%  swapper          [kernel.kallsyms]  [k] cpu_startup_entry
    55.26%     0.01%  swapper          [kernel.kallsyms]  [k] do_idle
    55.05%     0.00%  swapper          [kernel.kallsyms]  [k] cpuidle_enter
    55.04%     0.01%  swapper          [kernel.kallsyms]  [k] cpuidle_enter_state
    54.78%    49.99%  swapper          [kernel.kallsyms]  [k] mwait_idle_with_hints.constprop.0
    51.37%     0.00%  swapper          [kernel.kallsyms]  [k] start_secondary
     9.62%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     9.62%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] do_syscall_64
     8.95%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] __x64_sys_read
     8.95%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] ksys_read
     8.95%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] vfs_read
     8.95%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] new_sync_read
     8.95%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] generic_file_read_iter
     8.95%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] ext4_file_read_iter
     8.95%     0.04%  localfetcher#1   [kernel.kallsyms]  [k] filemap_read
     7.82%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     7.82%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] do_syscall_64
     6.73%     0.04%  java             [kernel.kallsyms]  [k] asm_exc_page_fault
     6.51%     0.16%  java             [kernel.kallsyms]  [k] exc_page_fault
     6.01%     0.00%  InMemoryMerger   [kernel.kallsyms]  [k] do_syscall_64
     6.01%     0.00%  InMemoryMerger   [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     5.94%     0.00%  InMemoryMerger   [kernel.kallsyms]  [k] __x64_sys_write
     5.94%     0.00%  InMemoryMerger   [kernel.kallsyms]  [k] ksys_write
     5.94%     0.00%  InMemoryMerger   [kernel.kallsyms]  [k] vfs_write
     5.94%     0.00%  InMemoryMerger   [kernel.kallsyms]  [k] new_sync_write
     5.94%     0.00%  InMemoryMerger   [kernel.kallsyms]  [k] ext4_buffered_write_iter
     5.94%     0.00%  InMemoryMerger   [kernel.kallsyms]  [k] ext4_file_write_iter
     5.94%     0.02%  InMemoryMerger   [kernel.kallsyms]  [k] generic_perform_write
     5.45%     2.00%  localfetcher#1   [kernel.kallsyms]  [k] copy_user_enhanced_fast_string
     5.41%     0.04%  java             [kernel.kallsyms]  [k] do_user_addr_fault
     5.17%     0.02%  localfetcher#1   [kernel.kallsyms]  [k] asm_exc_page_fault
     5.17%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] __x64_sys_write
     5.17%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] ksys_write
     5.17%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] vfs_write
     5.16%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] ext4_buffered_write_iter
     5.16%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] ext4_file_write_iter
     5.16%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] new_sync_write
     5.16%     0.02%  pool-4-thread-1  [kernel.kallsyms]  [k] generic_perform_write
     4.80%     4.80%  swapper          [unknown]          [.] 0000000000000000
     3.89%     0.00%  swapper          [kernel.kallsyms]  [k] arch_call_rest_init
     3.89%     0.00%  swapper          [kernel.kallsyms]  [k] rest_init
     3.89%     0.00%  swapper          [kernel.kallsyms]  [k] start_kernel
     3.89%     0.00%  swapper          [kernel.kallsyms]  [k] x86_64_start_kernel
     3.89%     0.00%  swapper          [kernel.kallsyms]  [k] x86_64_start_reservations
     3.42%     0.03%  InMemoryMerger   [kernel.kallsyms]  [k] ext4_da_write_begin
     3.37%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] filemap_get_pages
     3.30%     0.02%  localfetcher#1   [kernel.kallsyms]  [k] exc_page_fault
     3.25%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] ondemand_readahead
     3.24%     0.03%  localfetcher#1   [kernel.kallsyms]  [k] do_user_addr_fault
     3.23%     0.05%  localfetcher#1   [kernel.kallsyms]  [k] page_cache_ra_unbounded
     3.17%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] page_cache_async_ra
     3.15%     0.03%  localfetcher#1   [kernel.kallsyms]  [k] handle_mm_fault
     3.04%     0.15%  localfetcher#1   [kernel.kallsyms]  [k] __handle_mm_fault
     3.03%     0.00%  kswapd1          [kernel.kallsyms]  [k] kswapd
     3.03%     0.00%  kswapd1          [kernel.kallsyms]  [k] kthread
     3.03%     0.00%  kswapd1          [kernel.kallsyms]  [k] ret_from_fork
