# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 246K of event 'cycles'
# Event count (approx.): 6610041225293
#
# Children      Self  Command          Shared Object       Symbol                                             
# ........  ........  ...............  ..................  ...................................................
#
    54.11%     0.00%  swapper          [kernel.kallsyms]   [k] secondary_startup_64_no_verify
    54.11%     0.00%  swapper          [kernel.kallsyms]   [k] cpu_startup_entry
    54.10%     0.01%  swapper          [kernel.kallsyms]   [k] do_idle
    53.83%     0.00%  swapper          [kernel.kallsyms]   [k] cpuidle_enter
    53.82%     0.01%  swapper          [kernel.kallsyms]   [k] cpuidle_enter_state
    53.63%    49.49%  swapper          [kernel.kallsyms]   [k] mwait_idle_with_hints.constprop.0
    50.85%     0.00%  swapper          [kernel.kallsyms]   [k] start_secondary
    11.70%     0.05%  java             [kernel.kallsyms]   [k] asm_exc_page_fault
    11.22%     0.22%  java             [kernel.kallsyms]   [k] exc_page_fault
    10.68%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] do_syscall_64
    10.68%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] entry_SYSCALL_64_after_hwframe
     9.74%     0.05%  java             [kernel.kallsyms]   [k] do_user_addr_fault
     7.54%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] __x64_sys_write
     7.54%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] ksys_write
     7.53%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] vfs_write
     7.53%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] ext4_buffered_write_iter
     7.53%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] ext4_file_write_iter
     7.53%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] new_sync_write
     7.53%     0.02%  pool-4-thread-1  [kernel.kallsyms]   [k] generic_perform_write
     6.45%     0.00%  InMemoryMerger   [kernel.kallsyms]   [k] entry_SYSCALL_64_after_hwframe
     6.45%     0.00%  InMemoryMerger   [kernel.kallsyms]   [k] do_syscall_64
     6.40%     0.00%  InMemoryMerger   [kernel.kallsyms]   [k] __x64_sys_write
     6.40%     0.00%  InMemoryMerger   [kernel.kallsyms]   [k] ksys_write
     6.40%     0.00%  InMemoryMerger   [kernel.kallsyms]   [k] vfs_write
     6.40%     0.00%  InMemoryMerger   [kernel.kallsyms]   [k] ext4_buffered_write_iter
     6.40%     0.00%  InMemoryMerger   [kernel.kallsyms]   [k] ext4_file_write_iter
     6.40%     0.00%  InMemoryMerger   [kernel.kallsyms]   [k] new_sync_write
     6.40%     0.22%  java             [kernel.kallsyms]   [k] handle_mm_fault
     6.39%     0.02%  InMemoryMerger   [kernel.kallsyms]   [k] generic_perform_write
     5.59%     1.73%  java             [kernel.kallsyms]   [k] __handle_mm_fault
     4.15%     4.15%  swapper          [unknown]           [.] 0000000000000000
     3.84%     0.02%  pool-4-thread-1  [kernel.kallsyms]   [k] ext4_da_write_begin
     3.42%     0.00%  localfetcher#1   [kernel.kallsyms]   [k] entry_SYSCALL_64_after_hwframe
     3.42%     0.00%  localfetcher#1   [kernel.kallsyms]   [k] do_syscall_64
     3.27%     0.00%  swapper          [kernel.kallsyms]   [k] arch_call_rest_init
     3.27%     0.00%  swapper          [kernel.kallsyms]   [k] rest_init
     3.27%     0.00%  swapper          [kernel.kallsyms]   [k] start_kernel
     3.27%     0.00%  swapper          [kernel.kallsyms]   [k] x86_64_start_kernel
     3.27%     0.00%  swapper          [kernel.kallsyms]   [k] x86_64_start_reservations
     3.21%     0.00%  localfetcher#1   [kernel.kallsyms]   [k] __x64_sys_read
     3.21%     0.00%  localfetcher#1   [kernel.kallsyms]   [k] ksys_read
     3.21%     0.00%  localfetcher#1   [kernel.kallsyms]   [k] vfs_read
     3.21%     0.00%  localfetcher#1   [kernel.kallsyms]   [k] new_sync_read
     3.21%     0.02%  localfetcher#1   [kernel.kallsyms]   [k] filemap_read
     3.21%     0.00%  localfetcher#1   [kernel.kallsyms]   [k] ext4_file_read_iter
     3.21%     0.00%  localfetcher#1   [kernel.kallsyms]   [k] generic_file_read_iter
     3.19%     0.21%  pool-4-thread-1  [kernel.kallsyms]   [k] add_to_page_cache_lru
     3.06%     0.01%  pool-4-thread-1  [kernel.kallsyms]   [k] grab_cache_page_write_begin
     3.05%     0.06%  pool-4-thread-1  [kernel.kallsyms]   [k] pagecache_get_page
     3.02%     0.03%  InMemoryMerger   [kernel.kallsyms]   [k] ext4_da_write_begin
     2.94%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] vfs_read
     2.94%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] __x64_sys_read
     2.94%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] ksys_read
     2.94%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] generic_file_read_iter
     2.94%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] ext4_file_read_iter
     2.94%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] new_sync_read
     2.94%     0.04%  pool-4-thread-1  [kernel.kallsyms]   [k] filemap_read
     2.63%     2.61%  java             [kernel.kallsyms]   [k] down_read_trylock
     2.51%     1.99%  pool-4-thread-1  [kernel.kallsyms]   [k] __add_to_page_cache_locked
     2.43%     0.01%  InMemoryMerger   [kernel.kallsyms]   [k] grab_cache_page_write_begin
     2.42%     0.03%  InMemoryMerger   [kernel.kallsyms]   [k] pagecache_get_page
     2.22%     2.19%  pool-4-thread-1  [kernel.kallsyms]   [k] copy_user_enhanced_fast_string
     1.96%     0.87%  localfetcher#1   [kernel.kallsyms]   [k] copy_user_enhanced_fast_string
     1.81%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] filemap_get_pages
     1.77%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] page_cache_async_ra
     1.77%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] ondemand_readahead
     1.76%     0.02%  pool-4-thread-1  [kernel.kallsyms]   [k] page_cache_ra_unbounded
     1.75%     0.01%  localfetcher#1   [kernel.kallsyms]   [k] asm_exc_page_fault
     1.74%     0.02%  pool-4-thread-1  [kernel.kallsyms]   [k] ext4_da_write_end
     1.70%     0.02%  pool-4-thread-1  [kernel.kallsyms]   [k] generic_write_end
     1.66%     0.00%  kswapd0          [kernel.kallsyms]   [k] kswapd
     1.66%     0.00%  kswapd0          [kernel.kallsyms]   [k] kthread
     1.66%     0.00%  kswapd0          [kernel.kallsyms]   [k] ret_from_fork
     1.66%     0.00%  kswapd0          [kernel.kallsyms]   [k] balance_pgdat
     1.66%     0.00%  kswapd0          [kernel.kallsyms]   [k] shrink_node
     1.58%     0.03%  InMemoryMerger   [kernel.kallsyms]   [k] ext4_da_write_end
     1.54%     0.14%  InMemoryMerger   [kernel.kallsyms]   [k] add_to_page_cache_lru
     1.53%     0.05%  InMemoryMerger   [kernel.kallsyms]   [k] generic_write_end
     1.49%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] entry_SYSCALL_64_after_hwframe
     1.48%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] do_syscall_64
     1.43%     0.00%  kswapd0          [kernel.kallsyms]   [k] shrink_lruvec
     1.42%     0.00%  kswapd0          [kernel.kallsyms]   [k] evict_pages
     1.35%     0.00%  kswapd1          [kernel.kallsyms]   [k] kthread
     1.35%     0.00%  kswapd1          [kernel.kallsyms]   [k] ret_from_fork
     1.35%     0.00%  kswapd1          [kernel.kallsyms]   [k] kswapd
     1.35%     0.00%  kswapd1          [kernel.kallsyms]   [k] balance_pgdat
     1.35%     0.00%  kswapd1          [kernel.kallsyms]   [k] shrink_node
     1.35%     0.04%  java             [kernel.kallsyms]   [k] migrate_misplaced_page
     1.33%     0.04%  pool-4-thread-1  [kernel.kallsyms]   [k] __mark_inode_dirty
