# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 8025463247800
#
# Children      Self  Command          Shared Object             Symbol                                             
# ........  ........  ...............  ........................  ...................................................
#
    35.73%     0.37%  java             [kernel.kallsyms]         [k] asm_exc_page_fault
    33.46%     0.49%  java             [kernel.kallsyms]         [k] exc_page_fault
    30.06%     0.45%  java             [kernel.kallsyms]         [k] do_user_addr_fault
    23.38%     1.32%  java             [kernel.kallsyms]         [k] handle_mm_fault
    19.70%     5.44%  java             [kernel.kallsyms]         [k] __handle_mm_fault
    18.26%     0.01%  LocalJobRunner   [kernel.kallsyms]         [k] entry_SYSCALL_64_after_hwframe
    18.25%     0.01%  LocalJobRunner   [kernel.kallsyms]         [k] do_syscall_64
    11.16%     0.12%  LocalJobRunner   [kernel.kallsyms]         [k] asm_exc_page_fault
    10.05%     0.08%  LocalJobRunner   [kernel.kallsyms]         [k] exc_page_fault
    10.03%     0.15%  java             [kernel.kallsyms]         [k] migrate_misplaced_page
     9.42%     0.16%  LocalJobRunner   [kernel.kallsyms]         [k] do_user_addr_fault
     8.95%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] __x64_sys_write
     8.95%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] ksys_write
     8.95%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] vfs_write
     8.94%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] new_sync_write
     8.94%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] ext4_file_write_iter
     8.94%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] ext4_buffered_write_iter
     8.92%     0.03%  LocalJobRunner   [kernel.kallsyms]         [k] generic_perform_write
     8.88%     0.74%  java             [kernel.kallsyms]         [k] migrate_pages
     8.73%     0.28%  LocalJobRunner   [kernel.kallsyms]         [k] handle_mm_fault
     8.14%     7.97%  LocalJobRunner   [kernel.kallsyms]         [k] copy_user_enhanced_fast_string
     7.91%     1.17%  LocalJobRunner   [kernel.kallsyms]         [k] __handle_mm_fault
     7.80%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] __x64_sys_read
     7.80%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] ksys_read
     7.80%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] vfs_read
     7.79%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] new_sync_read
     7.79%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] ext4_file_read_iter
     7.79%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] generic_file_read_iter
     7.79%     0.14%  LocalJobRunner   [kernel.kallsyms]         [k] filemap_read
     4.83%     0.00%  swapper          [kernel.kallsyms]         [k] secondary_startup_64_no_verify
     4.83%     0.00%  swapper          [kernel.kallsyms]         [k] cpu_startup_entry
     4.82%     0.01%  swapper          [kernel.kallsyms]         [k] do_idle
     4.82%     4.78%  java             [kernel.kallsyms]         [k] down_read_trylock
     4.73%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] asm_sysvec_apic_timer_interrupt
     4.72%     0.00%  swapper          [kernel.kallsyms]         [k] start_secondary
     4.69%     0.01%  LocalJobRunner   [kernel.kallsyms]         [k] sysvec_apic_timer_interrupt
     4.61%     0.00%  swapper          [kernel.kallsyms]         [k] cpuidle_enter
     4.61%     0.01%  swapper          [kernel.kallsyms]         [k] cpuidle_enter_state
     4.58%     0.00%  localfetcher#1   [kernel.kallsyms]         [k] entry_SYSCALL_64_after_hwframe
     4.58%     0.00%  localfetcher#1   [kernel.kallsyms]         [k] do_syscall_64
     4.53%     4.52%  swapper          [kernel.kallsyms]         [k] mwait_idle_with_hints.constprop.0
     4.27%     0.00%  localfetcher#1   [kernel.kallsyms]         [k] __x64_sys_read
     4.27%     0.00%  localfetcher#1   [kernel.kallsyms]         [k] ksys_read
     4.27%     0.00%  localfetcher#1   [kernel.kallsyms]         [k] vfs_read
     4.27%     0.00%  localfetcher#1   [kernel.kallsyms]         [k] new_sync_read
     4.27%     0.00%  localfetcher#1   [kernel.kallsyms]         [k] ext4_file_read_iter
     4.27%     0.00%  localfetcher#1   [kernel.kallsyms]         [k] generic_file_read_iter
     4.27%     0.03%  localfetcher#1   [kernel.kallsyms]         [k] filemap_read
     4.22%     0.10%  LocalJobRunner   [kernel.kallsyms]         [k] exit_to_user_mode_prepare
