# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 8K of event 'cycles'
# Event count (approx.): 282814666201
#
# Children      Self  Command          Shared Object      Symbol                                             
# ........  ........  ...............  .................  ...................................................
#
    61.43%     0.00%  swapper          [kernel.kallsyms]  [k] cpu_startup_entry
    61.43%     0.00%  swapper          [kernel.kallsyms]  [k] secondary_startup_64_no_verify
    61.43%     0.01%  swapper          [kernel.kallsyms]  [k] do_idle
    61.25%     0.00%  swapper          [kernel.kallsyms]  [k] cpuidle_enter
    61.24%     0.02%  swapper          [kernel.kallsyms]  [k] cpuidle_enter_state
    60.95%    59.31%  swapper          [kernel.kallsyms]  [k] mwait_idle_with_hints.constprop.0
    59.82%     0.00%  swapper          [kernel.kallsyms]  [k] start_secondary
    18.94%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
    18.94%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] do_syscall_64
    10.58%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] __x64_sys_write
    10.58%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] ext4_buffered_write_iter
    10.58%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] ext4_file_write_iter
    10.58%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] ksys_write
    10.58%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] new_sync_write
    10.58%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] vfs_write
    10.57%     0.08%  pool-4-thread-1  [kernel.kallsyms]  [k] generic_perform_write
     5.40%     0.02%  pool-4-thread-1  [kernel.kallsyms]  [k] ext4_da_write_begin
     4.88%     0.00%  java             [kernel.kallsyms]  [k] do_syscall_64
     4.88%     0.00%  java             [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     4.87%     0.00%  java             [kernel.kallsyms]  [k] arch_do_signal_or_restart
     4.87%     0.00%  java             [kernel.kallsyms]  [k] exit_to_user_mode_prepare
     4.87%     0.00%  java             [kernel.kallsyms]  [k] get_signal
     4.87%     0.00%  java             [kernel.kallsyms]  [k] syscall_exit_to_user_mode
     4.87%     0.00%  java             [kernel.kallsyms]  [k] do_exit
     4.87%     0.00%  java             [kernel.kallsyms]  [k] do_group_exit
     4.85%     0.00%  java             [kernel.kallsyms]  [k] exit_mmap
     4.85%     0.00%  java             [kernel.kallsyms]  [k] mmput
     4.83%     0.83%  java             [kernel.kallsyms]  [k] unmap_page_range
     4.83%     0.00%  java             [kernel.kallsyms]  [k] unmap_single_vma
     4.83%     0.00%  java             [kernel.kallsyms]  [k] unmap_vmas
     4.67%     0.07%  pool-4-thread-1  [kernel.kallsyms]  [k] filemap_read
     4.67%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] __x64_sys_read
     4.67%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] ext4_file_read_iter
     4.67%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] generic_file_read_iter
     4.67%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] ksys_read
     4.67%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] new_sync_read
     4.67%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] vfs_read
     4.30%     0.08%  pool-4-thread-1  [kernel.kallsyms]  [k] pagecache_get_page
     4.29%     0.01%  pool-4-thread-1  [kernel.kallsyms]  [k] grab_cache_page_write_begin
     4.27%     0.24%  pool-4-thread-1  [kernel.kallsyms]  [k] add_to_page_cache_lru
     3.65%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] __x64_sys_unlink
     3.65%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] do_unlinkat
     3.65%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] evict
     3.65%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] ext4_evict_inode
     3.65%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] iput
     3.65%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] iput.part.0
     3.62%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] truncate_inode_pages_final
     3.57%     2.76%  pool-4-thread-1  [kernel.kallsyms]  [k] __add_to_page_cache_locked
     3.55%     0.02%  pool-4-thread-1  [kernel.kallsyms]  [k] truncate_inode_pages_range
     3.19%     0.00%  java             [kernel.kallsyms]  [k] tlb_flush_mmu
     3.06%     3.02%  pool-4-thread-1  [kernel.kallsyms]  [k] copy_user_enhanced_fast_string
     2.96%     0.05%  java             [kernel.kallsyms]  [k] free_pages_and_swap_cache
     2.91%     0.56%  java             [kernel.kallsyms]  [k] release_pages
     2.72%     0.06%  pool-4-thread-1  [kernel.kallsyms]  [k] ext4_da_write_end
     2.67%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] filemap_get_pages
     2.67%     0.00%  C1 CompilerThre  [kernel.kallsyms]  [k] do_syscall_64
     2.67%     0.00%  C1 CompilerThre  [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     2.66%     0.00%  C1 CompilerThre  [kernel.kallsyms]  [k] arch_do_signal_or_restart
     2.66%     0.00%  C1 CompilerThre  [kernel.kallsyms]  [k] do_exit
     2.66%     0.00%  C1 CompilerThre  [kernel.kallsyms]  [k] do_group_exit
     2.66%     0.00%  C1 CompilerThre  [kernel.kallsyms]  [k] exit_to_user_mode_prepare
     2.66%     0.00%  C1 CompilerThre  [kernel.kallsyms]  [k] get_signal
     2.66%     0.00%  C1 CompilerThre  [kernel.kallsyms]  [k] syscall_exit_to_user_mode
     2.65%     0.00%  C1 CompilerThre  [kernel.kallsyms]  [k] exit_mmap
     2.65%     0.00%  C1 CompilerThre  [kernel.kallsyms]  [k] mmput
     2.65%     0.00%  C1 CompilerThre  [kernel.kallsyms]  [k] unmap_single_vma
     2.65%     0.00%  C1 CompilerThre  [kernel.kallsyms]  [k] unmap_vmas
     2.65%     0.43%  C1 CompilerThre  [kernel.kallsyms]  [k] unmap_page_range
     2.64%     0.05%  pool-4-thread-1  [kernel.kallsyms]  [k] generic_write_end
     2.56%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] ondemand_readahead
     2.56%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] page_cache_async_ra
     2.56%     0.02%  pool-4-thread-1  [kernel.kallsyms]  [k] page_cache_ra_unbounded
     2.12%     0.07%  pool-4-thread-1  [kernel.kallsyms]  [k] __mark_inode_dirty
     2.10%     0.02%  pool-4-thread-1  [kernel.kallsyms]  [k] alloc_pages
     2.09%     0.10%  pool-4-thread-1  [kernel.kallsyms]  [k] __alloc_pages
     2.04%     0.01%  pool-4-thread-1  [kernel.kallsyms]  [k] ext4_dirty_inode
     2.00%     0.00%  kcompactd1       [kernel.kallsyms]  [k] compact_zone
     2.00%     0.00%  kcompactd1       [kernel.kallsyms]  [k] kcompactd
     2.00%     0.00%  kcompactd1       [kernel.kallsyms]  [k] kthread
     2.00%     0.00%  kcompactd1       [kernel.kallsyms]  [k] proactive_compact_node
     2.00%     0.00%  kcompactd1       [kernel.kallsyms]  [k] ret_from_fork
     1.97%     0.36%  pool-4-thread-1  [kernel.kallsyms]  [k] get_page_from_freelist
     1.85%     0.00%  C1 CompilerThre  [kernel.kallsyms]  [k] tlb_flush_mmu
     1.84%     0.04%  kcompactd1       [kernel.kallsyms]  [k] migrate_pages
     1.75%     0.00%  kworker/u97:6-e  [kernel.kallsyms]  [k] kthread
     1.75%     0.00%  kworker/u97:6-e  [kernel.kallsyms]  [k] ret_from_fork
     1.75%     0.00%  kworker/u97:6-e  [kernel.kallsyms]  [k] worker_thread
     1.75%     0.00%  kworker/u97:6-e  [kernel.kallsyms]  [k] process_one_work
     1.75%     0.00%  kworker/u97:6-e  [kernel.kallsyms]  [k] __writeback_inodes_wb
     1.75%     0.00%  kworker/u97:6-e  [kernel.kallsyms]  [k] __writeback_single_inode
     1.75%     0.00%  kworker/u97:6-e  [kernel.kallsyms]  [k] do_writepages
     1.75%     0.00%  kworker/u97:6-e  [kernel.kallsyms]  [k] wb_workfn
     1.75%     0.00%  kworker/u97:6-e  [kernel.kallsyms]  [k] wb_writeback
