# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 9935501061521
#
# Children      Self  Command          Shared Object         Symbol                                             
# ........  ........  ...............  ....................  ...................................................
#
    25.77%     0.19%  java             [kernel.kallsyms]     [k] asm_exc_page_fault
    24.27%     0.34%  java             [kernel.kallsyms]     [k] exc_page_fault
    21.73%     0.00%  swapper          [kernel.kallsyms]     [k] secondary_startup_64_no_verify
    21.73%     0.00%  swapper          [kernel.kallsyms]     [k] cpu_startup_entry
    21.72%     0.01%  swapper          [kernel.kallsyms]     [k] do_idle
    21.67%     0.24%  java             [kernel.kallsyms]     [k] do_user_addr_fault
    21.59%     0.00%  swapper          [kernel.kallsyms]     [k] cpuidle_enter
    21.59%     0.01%  swapper          [kernel.kallsyms]     [k] cpuidle_enter_state
    21.44%    21.24%  swapper          [kernel.kallsyms]     [k] mwait_idle_with_hints.constprop.0
    20.54%     0.00%  swapper          [kernel.kallsyms]     [k] start_secondary
    16.26%     0.77%  java             [kernel.kallsyms]     [k] handle_mm_fault
    14.21%     3.36%  java             [kernel.kallsyms]     [k] __handle_mm_fault
    12.31%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] entry_SYSCALL_64_after_hwframe
    12.31%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] do_syscall_64
    10.68%     0.15%  LocalJobRunner   [kernel.kallsyms]     [k] asm_exc_page_fault
     9.21%     0.10%  LocalJobRunner   [kernel.kallsyms]     [k] exc_page_fault
     8.67%     0.21%  LocalJobRunner   [kernel.kallsyms]     [k] do_user_addr_fault
     8.07%     0.31%  LocalJobRunner   [kernel.kallsyms]     [k] handle_mm_fault
     7.28%     1.13%  LocalJobRunner   [kernel.kallsyms]     [k] __handle_mm_fault
     6.23%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] entry_SYSCALL_64_after_hwframe
     6.23%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] do_syscall_64
     5.99%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] __x64_sys_write
     5.99%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] ksys_write
     5.99%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] vfs_write
     5.99%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] new_sync_write
     5.99%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] ext4_file_write_iter
     5.99%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] ext4_buffered_write_iter
     5.97%     0.02%  LocalJobRunner   [kernel.kallsyms]     [k] generic_perform_write
     5.97%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] __x64_sys_read
     5.97%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] ksys_read
     5.97%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] vfs_read
     5.96%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] new_sync_read
     5.96%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] ext4_file_read_iter
     5.96%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] generic_file_read_iter
     5.96%     0.13%  LocalJobRunner   [kernel.kallsyms]     [k] filemap_read
     5.88%     5.66%  LocalJobRunner   [kernel.kallsyms]     [k] copy_user_enhanced_fast_string
     5.79%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] ksys_read
     5.79%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] __x64_sys_read
     5.79%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] new_sync_read
     5.79%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] vfs_read
     5.79%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] ext4_file_read_iter
