# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 11344016313642
#
# Children      Self  Command          Shared Object       Symbol                                             
# ........  ........  ...............  ..................  ...................................................
#
    27.47%     0.00%  swapper          [kernel.kallsyms]   [k] secondary_startup_64_no_verify
    27.47%     0.00%  swapper          [kernel.kallsyms]   [k] cpu_startup_entry
    27.46%     0.01%  swapper          [kernel.kallsyms]   [k] do_idle
    27.32%     0.00%  swapper          [kernel.kallsyms]   [k] cpuidle_enter
    27.32%     0.01%  swapper          [kernel.kallsyms]   [k] cpuidle_enter_state
    27.12%    26.80%  swapper          [kernel.kallsyms]   [k] mwait_idle_with_hints.constprop.0
    25.80%     0.00%  swapper          [kernel.kallsyms]   [k] start_secondary
    24.49%     0.18%  java             [kernel.kallsyms]   [k] asm_exc_page_fault
    23.11%     0.39%  java             [kernel.kallsyms]   [k] exc_page_fault
    20.27%     0.23%  java             [kernel.kallsyms]   [k] do_user_addr_fault
    13.93%     0.61%  java             [kernel.kallsyms]   [k] handle_mm_fault
    12.00%     3.59%  java             [kernel.kallsyms]   [k] __handle_mm_fault
    10.01%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] entry_SYSCALL_64_after_hwframe
    10.01%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] do_syscall_64
     9.46%     0.15%  LocalJobRunner   [kernel.kallsyms]   [k] asm_exc_page_fault
     8.18%     0.09%  LocalJobRunner   [kernel.kallsyms]   [k] exc_page_fault
     7.65%     0.21%  LocalJobRunner   [kernel.kallsyms]   [k] do_user_addr_fault
     7.07%     0.29%  LocalJobRunner   [kernel.kallsyms]   [k] handle_mm_fault
     6.31%     1.06%  LocalJobRunner   [kernel.kallsyms]   [k] __handle_mm_fault
     5.06%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] __x64_sys_write
     5.06%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] ksys_write
     5.06%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] vfs_write
     5.06%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] new_sync_write
     5.06%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] ext4_file_write_iter
     5.06%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] ext4_buffered_write_iter
     5.05%     0.01%  LocalJobRunner   [kernel.kallsyms]   [k] generic_perform_write
     4.88%     4.85%  java             [kernel.kallsyms]   [k] down_read_trylock
     4.75%     0.00%  localfetcher#1   [kernel.kallsyms]   [k] entry_SYSCALL_64_after_hwframe
     4.75%     0.00%  localfetcher#1   [kernel.kallsyms]   [k] do_syscall_64
     4.67%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] __x64_sys_read
     4.67%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] ksys_read
     4.67%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] vfs_read
     4.67%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] new_sync_read
     4.67%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] generic_file_read_iter
     4.67%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] ext4_file_read_iter
     4.67%     0.10%  LocalJobRunner   [kernel.kallsyms]   [k] filemap_read
     4.64%     4.60%  LocalJobRunner   [kernel.kallsyms]   [k] copy_user_enhanced_fast_string
     4.44%     0.00%  localfetcher#1   [kernel.kallsyms]   [k] __x64_sys_read
     4.44%     0.00%  localfetcher#1   [kernel.kallsyms]   [k] ksys_read
     4.44%     0.00%  localfetcher#1   [kernel.kallsyms]   [k] vfs_read
     4.44%     0.00%  localfetcher#1   [kernel.kallsyms]   [k] new_sync_read
     4.44%     0.00%  localfetcher#1   [kernel.kallsyms]   [k] ext4_file_read_iter
     4.44%     0.00%  localfetcher#1   [kernel.kallsyms]   [k] generic_file_read_iter
     4.44%     0.03%  localfetcher#1   [kernel.kallsyms]   [k] filemap_read
     4.42%     0.13%  java             [kernel.kallsyms]   [k] migrate_misplaced_page
     4.28%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] asm_sysvec_apic_timer_interrupt
