# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 11027347320488
#
# Children      Self  Command          Shared Object             Symbol                                             
# ........  ........  ...............  ........................  ...................................................
#
    27.06%     0.00%  swapper          [kernel.kallsyms]         [k] secondary_startup_64_no_verify
    27.06%     0.00%  swapper          [kernel.kallsyms]         [k] cpu_startup_entry
    27.05%     0.00%  swapper          [kernel.kallsyms]         [k] do_idle
    26.91%     0.00%  swapper          [kernel.kallsyms]         [k] cpuidle_enter
    26.91%     0.01%  swapper          [kernel.kallsyms]         [k] cpuidle_enter_state
    26.72%    26.22%  swapper          [kernel.kallsyms]         [k] mwait_idle_with_hints.constprop.0
    24.97%     0.00%  swapper          [kernel.kallsyms]         [k] start_secondary
    24.11%     0.17%  java             [kernel.kallsyms]         [k] asm_exc_page_fault
    22.80%     0.36%  java             [kernel.kallsyms]         [k] exc_page_fault
    20.02%     0.23%  java             [kernel.kallsyms]         [k] do_user_addr_fault
    14.13%     0.59%  java             [kernel.kallsyms]         [k] handle_mm_fault
    12.31%     3.36%  java             [kernel.kallsyms]         [k] __handle_mm_fault
    10.59%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] entry_SYSCALL_64_after_hwframe
    10.58%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] do_syscall_64
     8.97%     0.13%  LocalJobRunner   [kernel.kallsyms]         [k] asm_exc_page_fault
     7.78%     0.09%  LocalJobRunner   [kernel.kallsyms]         [k] exc_page_fault
     7.32%     0.21%  LocalJobRunner   [kernel.kallsyms]         [k] do_user_addr_fault
     6.77%     0.27%  LocalJobRunner   [kernel.kallsyms]         [k] handle_mm_fault
     6.07%     0.99%  LocalJobRunner   [kernel.kallsyms]         [k] __handle_mm_fault
     5.29%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] ksys_write
     5.29%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] __x64_sys_write
     5.29%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] vfs_write
     5.29%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] new_sync_write
     5.29%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] ext4_file_write_iter
     5.29%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] ext4_buffered_write_iter
     5.28%     0.02%  LocalJobRunner   [kernel.kallsyms]         [k] generic_perform_write
     5.21%     0.00%  localfetcher#1   [kernel.kallsyms]         [k] entry_SYSCALL_64_after_hwframe
     5.21%     0.00%  localfetcher#1   [kernel.kallsyms]         [k] do_syscall_64
     5.05%     5.01%  LocalJobRunner   [kernel.kallsyms]         [k] copy_user_enhanced_fast_string
     5.00%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] __x64_sys_read
     5.00%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] ksys_read
     5.00%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] vfs_read
     5.00%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] new_sync_read
     5.00%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] ext4_file_read_iter
     5.00%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] generic_file_read_iter
     4.99%     0.11%  LocalJobRunner   [kernel.kallsyms]         [k] filemap_read
     4.87%     0.00%  localfetcher#1   [kernel.kallsyms]         [k] __x64_sys_read
     4.87%     0.00%  localfetcher#1   [kernel.kallsyms]         [k] ksys_read
     4.87%     0.00%  localfetcher#1   [kernel.kallsyms]         [k] vfs_read
     4.87%     0.00%  localfetcher#1   [kernel.kallsyms]         [k] new_sync_read
     4.87%     0.00%  localfetcher#1   [kernel.kallsyms]         [k] ext4_file_read_iter
     4.87%     0.00%  localfetcher#1   [kernel.kallsyms]         [k] generic_file_read_iter
     4.87%     0.03%  localfetcher#1   [kernel.kallsyms]         [k] filemap_read
     4.57%     0.13%  java             [kernel.kallsyms]         [k] migrate_misplaced_page
     4.55%     4.52%  java             [kernel.kallsyms]         [k] down_read_trylock
     4.20%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] asm_sysvec_apic_timer_interrupt
     4.19%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] sysvec_apic_timer_interrupt
     4.11%     0.10%  LocalJobRunner   [kernel.kallsyms]         [k] exit_to_user_mode_prepare
     4.09%     0.01%  LocalJobRunner   [kernel.kallsyms]         [k] irqentry_exit
     4.08%     0.01%  LocalJobRunner   [kernel.kallsyms]         [k] irqentry_exit_to_user_mode
     3.98%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] task_work_run
     3.97%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] task_numa_work
     3.97%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] change_prot_numa
     3.92%     0.35%  java             [kernel.kallsyms]         [k] migrate_pages
     3.40%     3.11%  LocalJobRunner   [kernel.kallsyms]         [k] change_protection
     3.12%     0.00%  pool-4-thread-1  [kernel.kallsyms]         [k] entry_SYSCALL_64_after_hwframe
     3.11%     0.00%  pool-4-thread-1  [kernel.kallsyms]         [k] do_syscall_64
     2.92%     1.27%  localfetcher#1   [kernel.kallsyms]         [k] copy_user_enhanced_fast_string
     2.73%     0.02%  localfetcher#1   [kernel.kallsyms]         [k] asm_exc_page_fault
     2.52%     0.10%  LocalJobRunner   [kernel.kallsyms]         [k] __alloc_pages
     2.52%     0.01%  LocalJobRunner   [kernel.kallsyms]         [k] ext4_da_write_begin
     2.40%     0.27%  LocalJobRunner   [kernel.kallsyms]         [k] get_page_from_freelist
     2.40%     0.00%  InMemoryMerger   [kernel.kallsyms]         [k] do_syscall_64
     2.40%     0.00%  InMemoryMerger   [kernel.kallsyms]         [k] entry_SYSCALL_64_after_hwframe
     2.39%     0.00%  pool-4-thread-1  [kernel.kallsyms]         [k] __x64_sys_write
     2.39%     0.00%  pool-4-thread-1  [kernel.kallsyms]         [k] ksys_write
     2.39%     0.00%  pool-4-thread-1  [kernel.kallsyms]         [k] vfs_write
     2.39%     0.00%  pool-4-thread-1  [kernel.kallsyms]         [k] new_sync_write
     2.39%     0.00%  pool-4-thread-1  [kernel.kallsyms]         [k] ext4_buffered_write_iter
     2.39%     0.00%  pool-4-thread-1  [kernel.kallsyms]         [k] ext4_file_write_iter
     2.39%     0.01%  pool-4-thread-1  [kernel.kallsyms]         [k] generic_perform_write
     2.39%     0.00%  InMemoryMerger   [kernel.kallsyms]         [k] __x64_sys_write
     2.39%     0.00%  InMemoryMerger   [kernel.kallsyms]         [k] ksys_write
     2.39%     0.00%  InMemoryMerger   [kernel.kallsyms]         [k] vfs_write
     2.39%     0.00%  InMemoryMerger   [kernel.kallsyms]         [k] new_sync_write
     2.39%     0.00%  InMemoryMerger   [kernel.kallsyms]         [k] ext4_file_write_iter
     2.39%     0.00%  InMemoryMerger   [kernel.kallsyms]         [k] ext4_buffered_write_iter
     2.39%     0.01%  InMemoryMerger   [kernel.kallsyms]         [k] generic_perform_write
     2.27%     0.06%  java             [kernel.kallsyms]         [k] __alloc_pages
     2.24%     2.23%  java             [kernel.kallsyms]         [k] up_read
     2.09%     0.00%  swapper          [kernel.kallsyms]         [k] arch_call_rest_init
     2.09%     0.00%  swapper          [kernel.kallsyms]         [k] rest_init
     2.09%     0.00%  swapper          [kernel.kallsyms]         [k] start_kernel
     2.09%     0.00%  swapper          [kernel.kallsyms]         [k] x86_64_start_kernel
     2.09%     0.00%  swapper          [kernel.kallsyms]         [k] x86_64_start_reservations
     1.99%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] grab_cache_page_write_begin
     1.98%     0.03%  LocalJobRunner   [kernel.kallsyms]         [k] pagecache_get_page
     1.81%     0.00%  localfetcher#1   [kernel.kallsyms]         [k] filemap_get_pages
     1.80%     0.02%  java             [kernel.kallsyms]         [k] alloc_pages_vma
     1.78%     1.78%  LocalJobRunner   [kernel.kallsyms]         [k] clear_page_erms
     1.75%     0.00%  localfetcher#1   [kernel.kallsyms]         [k] ondemand_readahead
     1.74%     0.02%  localfetcher#1   [kernel.kallsyms]         [k] page_cache_ra_unbounded
