# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 35K of event 'cycles'
# Event count (approx.): 1306201207621
#
# Children      Self  Command          Shared Object      Symbol                                          
# ........  ........  ...............  .................  ................................................
#
    68.64%     0.00%  swapper          [kernel.kallsyms]  [k] secondary_startup_64_no_verify
    68.64%     0.00%  swapper          [kernel.kallsyms]  [k] cpu_startup_entry
    68.63%     0.01%  swapper          [kernel.kallsyms]  [k] do_idle
    68.46%     0.00%  swapper          [kernel.kallsyms]  [k] cpuidle_enter
    68.46%     0.01%  swapper          [kernel.kallsyms]  [k] cpuidle_enter_state
    68.25%    64.58%  swapper          [kernel.kallsyms]  [k] mwait_idle_with_hints.constprop.0
    66.32%     0.00%  swapper          [kernel.kallsyms]  [k] start_secondary
    18.96%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
    18.96%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] do_syscall_64
    12.17%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] __x64_sys_write
    12.17%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] ksys_write
    12.17%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] vfs_write
    12.17%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] ext4_buffered_write_iter
    12.17%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] ext4_file_write_iter
    12.17%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] new_sync_write
    12.17%     0.03%  pool-4-thread-1  [kernel.kallsyms]  [k] generic_perform_write
     6.64%     0.02%  pool-4-thread-1  [kernel.kallsyms]  [k] ext4_da_write_begin
     5.92%     0.39%  pool-4-thread-1  [kernel.kallsyms]  [k] add_to_page_cache_lru
     5.86%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] __x64_sys_read
     5.86%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] ksys_read
     5.86%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] vfs_read
     5.86%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] generic_file_read_iter
     5.86%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] ext4_file_read_iter
     5.86%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] new_sync_read
     5.86%     0.10%  pool-4-thread-1  [kernel.kallsyms]  [k] filemap_read
     5.27%     0.01%  pool-4-thread-1  [kernel.kallsyms]  [k] grab_cache_page_write_begin
     5.25%     0.09%  pool-4-thread-1  [kernel.kallsyms]  [k] pagecache_get_page
     4.71%     3.74%  pool-4-thread-1  [kernel.kallsyms]  [k] __add_to_page_cache_locked
     3.71%     3.71%  swapper          [unknown]          [.] 0000000000000000
     3.62%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] filemap_get_pages
     3.59%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] page_cache_async_ra
     3.58%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] ondemand_readahead
     3.58%     0.02%  pool-4-thread-1  [kernel.kallsyms]  [k] page_cache_ra_unbounded
     3.45%     3.43%  pool-4-thread-1  [kernel.kallsyms]  [k] copy_user_enhanced_fast_string
     2.73%     0.04%  pool-4-thread-1  [kernel.kallsyms]  [k] ext4_da_write_end
     2.66%     0.04%  pool-4-thread-1  [kernel.kallsyms]  [k] generic_write_end
     2.48%     0.11%  pool-4-thread-1  [kernel.kallsyms]  [k] __alloc_pages
     2.45%     0.04%  pool-4-thread-1  [kernel.kallsyms]  [k] asm_exc_page_fault
     2.41%     0.03%  pool-4-thread-1  [kernel.kallsyms]  [k] alloc_pages
     2.35%     0.52%  pool-4-thread-1  [kernel.kallsyms]  [k] get_page_from_freelist
     2.32%     0.00%  swapper          [kernel.kallsyms]  [k] arch_call_rest_init
     2.32%     0.00%  swapper          [kernel.kallsyms]  [k] rest_init
     2.32%     0.00%  swapper          [kernel.kallsyms]  [k] start_kernel
     2.32%     0.00%  swapper          [kernel.kallsyms]  [k] x86_64_start_kernel
     2.32%     0.00%  swapper          [kernel.kallsyms]  [k] x86_64_start_reservations
     2.09%     0.02%  pool-4-thread-1  [kernel.kallsyms]  [k] exc_page_fault
     2.01%     0.08%  pool-4-thread-1  [kernel.kallsyms]  [k] __mark_inode_dirty
     2.00%     0.03%  pool-4-thread-1  [kernel.kallsyms]  [k] do_user_addr_fault
     1.97%     0.00%  java             [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     1.97%     0.00%  java             [kernel.kallsyms]  [k] do_syscall_64
     1.97%     0.00%  java             [kernel.kallsyms]  [k] exit_to_user_mode_prepare
     1.96%     0.00%  java             [kernel.kallsyms]  [k] arch_do_signal_or_restart
     1.96%     0.00%  java             [kernel.kallsyms]  [k] get_signal
     1.96%     0.00%  java             [kernel.kallsyms]  [k] syscall_exit_to_user_mode
     1.96%     0.00%  java             [kernel.kallsyms]  [k] do_exit
     1.96%     0.00%  java             [kernel.kallsyms]  [k] do_group_exit
     1.95%     0.00%  java             [kernel.kallsyms]  [k] exit_mmap
     1.95%     0.00%  java             [kernel.kallsyms]  [k] mmput
     1.94%     0.00%  java             [kernel.kallsyms]  [k] unmap_single_vma
     1.94%     0.00%  java             [kernel.kallsyms]  [k] unmap_vmas
     1.94%     0.27%  java             [kernel.kallsyms]  [k] unmap_page_range
     1.93%     0.01%  pool-4-thread-1  [kernel.kallsyms]  [k] ext4_dirty_inode
     1.90%     0.05%  pool-4-thread-1  [kernel.kallsyms]  [k] handle_mm_fault
     1.71%     0.18%  pool-4-thread-1  [kernel.kallsyms]  [k] __handle_mm_fault
     1.38%     0.00%  java             [kernel.kallsyms]  [k] tlb_flush_mmu
     1.36%     0.04%  pool-4-thread-1  [kernel.kallsyms]  [k] migrate_misplaced_page
     1.32%     0.06%  pool-4-thread-1  [kernel.kallsyms]  [k] ext4_block_write_begin
     1.30%     0.01%  java             [kernel.kallsyms]  [k] free_pages_and_swap_cache
     1.27%     0.01%  java             [kernel.kallsyms]  [k] asm_exc_page_fault
     1.27%     0.35%  java             [kernel.kallsyms]  [k] release_pages
     1.25%     1.24%  pool-4-thread-1  [kernel.kallsyms]  [k] clear_page_erms
     1.24%     0.01%  java             [kernel.kallsyms]  [k] exc_page_fault
     1.23%     0.32%  pool-4-thread-1  [kernel.kallsyms]  [k] migrate_pages
     1.16%     0.00%  java             [kernel.kallsyms]  [k] do_user_addr_fault
     1.06%     0.00%  kworker/u97:7-e  [kernel.kallsyms]  [k] kthread
     1.06%     0.00%  kworker/u97:7-e  [kernel.kallsyms]  [k] ret_from_fork
     1.06%     0.00%  kworker/u97:7-e  [kernel.kallsyms]  [k] worker_thread
     1.06%     0.00%  kworker/u97:7-e  [kernel.kallsyms]  [k] process_one_work
     1.06%     0.00%  kworker/u97:7-e  [kernel.kallsyms]  [k] __writeback_inodes_wb
     1.06%     0.00%  kworker/u97:7-e  [kernel.kallsyms]  [k] __writeback_single_inode
     1.06%     0.00%  kworker/u97:7-e  [kernel.kallsyms]  [k] do_writepages
     1.06%     0.00%  kworker/u97:7-e  [kernel.kallsyms]  [k] wb_workfn
     1.06%     0.00%  kworker/u97:7-e  [kernel.kallsyms]  [k] wb_writeback
     1.06%     0.00%  kworker/u97:7-e  [kernel.kallsyms]  [k] writeback_sb_inodes
     1.06%     0.06%  kworker/u97:7-e  [kernel.kallsyms]  [k] ext4_writepages
     0.99%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] __page_cache_alloc
     0.97%     0.03%  pool-4-thread-1  [kernel.kallsyms]  [k] __ext4_mark_inode_dirty
     0.94%     0.01%  java             [kernel.kallsyms]  [k] handle_mm_fault
     0.89%     0.10%  java             [kernel.kallsyms]  [k] __handle_mm_fault
     0.88%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] __x64_sys_unlink
     0.88%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] do_unlinkat
     0.88%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] evict
     0.88%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] ext4_evict_inode
     0.88%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] iput
     0.88%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] iput.part.0
     0.88%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] truncate_inode_pages_final
     0.87%     0.01%  pool-4-thread-1  [kernel.kallsyms]  [k] truncate_inode_pages_range
     0.81%     0.00%  kworker/u96:0+e  [kernel.kallsyms]  [k] kthread
     0.81%     0.00%  kworker/u96:0+e  [kernel.kallsyms]  [k] ret_from_fork
     0.81%     0.00%  kworker/u96:0+e  [kernel.kallsyms]  [k] worker_thread
     0.81%     0.80%  java             [kernel.kallsyms]  [k] native_queued_spin_lock_slowpath
     0.81%     0.00%  kworker/u96:0+e  [kernel.kallsyms]  [k] ext4_end_io_rsv_work
     0.81%     0.00%  kworker/u96:0+e  [kernel.kallsyms]  [k] process_one_work
     0.81%     0.08%  pool-4-thread-1  [kernel.kallsyms]  [k] lru_cache_add
     0.81%     0.00%  kworker/u96:0+e  [kernel.kallsyms]  [k] ext4_release_io_end
     0.80%     0.03%  java             [kernel.kallsyms]  [k] _raw_spin_lock
     0.80%     0.08%  kworker/u96:0+e  [kernel.kallsyms]  [k] ext4_finish_bio
     0.76%     0.01%  kworker/u97:7-e  [kernel.kallsyms]  [k] mpage_submit_page
     0.73%     0.00%  kcompactd1       [kernel.kallsyms]  [k] kcompactd
     0.73%     0.00%  kcompactd1       [kernel.kallsyms]  [k] kthread
     0.73%     0.00%  kcompactd1       [kernel.kallsyms]  [k] ret_from_fork
     0.73%     0.00%  kcompactd1       [kernel.kallsyms]  [k] compact_zone
     0.73%     0.00%  kcompactd1       [kernel.kallsyms]  [k] proactive_compact_node
     0.71%     0.19%  pool-4-thread-1  [kernel.kallsyms]  [k] __pagevec_lru_add
     0.71%     0.13%  pool-4-thread-1  [kernel.kallsyms]  [k] ext4_da_get_block_prep
     0.68%     0.03%  kcompactd1       [kernel.kallsyms]  [k] migrate_pages
     0.68%     0.02%  pool-4-thread-1  [kernel.kallsyms]  [k] __ext4_journal_start_sb
     0.65%     0.10%  pool-4-thread-1  [kernel.kallsyms]  [k] __block_commit_write.constprop.0.isra.0
     0.63%     0.03%  pool-4-thread-1  [kernel.kallsyms]  [k] jbd2__journal_start
     0.61%     0.07%  kworker/u96:0+e  [kernel.kallsyms]  [k] end_page_writeback
     0.61%     0.00%  kcompactd0       [kernel.kallsyms]  [k] kcompactd
     0.61%     0.00%  kcompactd0       [kernel.kallsyms]  [k] kthread
     0.61%     0.00%  kcompactd0       [kernel.kallsyms]  [k] ret_from_fork
     0.61%     0.00%  kcompactd0       [kernel.kallsyms]  [k] compact_zone
     0.61%     0.00%  kcompactd0       [kernel.kallsyms]  [k] proactive_compact_node
     0.60%     0.59%  pool-4-thread-1  [kernel.kallsyms]  [k] __get_user_nocheck_1
     0.57%     0.12%  kworker/u97:7-e  [kernel.kallsyms]  [k] ext4_bio_write_page
     0.55%     0.21%  pool-4-thread-1  [kernel.kallsyms]  [k] ext4_mark_iloc_dirty
     0.54%     0.08%  pool-4-thread-1  [kernel.kallsyms]  [k] mark_buffer_dirty
     0.53%     0.03%  kcompactd0       [kernel.kallsyms]  [k] migrate_pages
     0.52%     0.05%  java             [kernel.kallsyms]  [k] free_unref_page_list
     0.51%     0.00%  C1 CompilerThre  [kernel.kallsyms]  [k] do_syscall_64
