# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 336K of event 'cycles'
# Event count (approx.): 6496021750873
#
# Children      Self  Command          Shared Object       Symbol                                             
# ........  ........  ...............  ..................  ...................................................
#
    42.33%     0.00%  swapper          [kernel.kallsyms]   [k] secondary_startup_64_no_verify
    42.32%     0.00%  swapper          [kernel.kallsyms]   [k] cpu_startup_entry
    42.32%     0.02%  swapper          [kernel.kallsyms]   [k] do_idle
    42.11%     0.00%  swapper          [kernel.kallsyms]   [k] cpuidle_enter
    42.10%     0.01%  swapper          [kernel.kallsyms]   [k] cpuidle_enter_state
    41.70%    40.19%  swapper          [kernel.kallsyms]   [k] mwait_idle_with_hints.constprop.0
    40.01%     0.00%  swapper          [kernel.kallsyms]   [k] start_secondary
    18.80%     0.08%  java             [kernel.kallsyms]   [k] asm_exc_page_fault
    18.30%     0.31%  java             [kernel.kallsyms]   [k] exc_page_fault
    16.03%     0.09%  java             [kernel.kallsyms]   [k] do_user_addr_fault
    11.00%     0.41%  java             [kernel.kallsyms]   [k] handle_mm_fault
    10.53%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] entry_SYSCALL_64_after_hwframe
    10.53%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] do_syscall_64
     9.93%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] __x64_sys_write
     9.93%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] ksys_write
     9.93%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] vfs_write
     9.92%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] new_sync_write
     9.92%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] ext4_file_write_iter
     9.92%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] ext4_buffered_write_iter
     9.92%     0.04%  pool-4-thread-1  [kernel.kallsyms]   [k] generic_perform_write
     9.74%     2.62%  java             [kernel.kallsyms]   [k] __handle_mm_fault
     9.65%     0.00%  localfetcher#1   [kernel.kallsyms]   [k] entry_SYSCALL_64_after_hwframe
     9.65%     0.00%  localfetcher#1   [kernel.kallsyms]   [k] do_syscall_64
     8.97%     0.00%  localfetcher#1   [kernel.kallsyms]   [k] ksys_read
     8.97%     0.00%  localfetcher#1   [kernel.kallsyms]   [k] __x64_sys_read
     8.97%     0.00%  localfetcher#1   [kernel.kallsyms]   [k] vfs_read
     8.97%     0.00%  localfetcher#1   [kernel.kallsyms]   [k] new_sync_read
     8.97%     0.00%  localfetcher#1   [kernel.kallsyms]   [k] ext4_file_read_iter
     8.97%     0.00%  localfetcher#1   [kernel.kallsyms]   [k] generic_file_read_iter
