# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 7669860942578
#
# Children      Self  Command          Shared Object         Symbol                                                        
# ........  ........  ...............  ....................  ..............................................................
#
    31.56%     0.32%  java             [kernel.kallsyms]     [k] asm_exc_page_fault
    29.11%     0.34%  java             [kernel.kallsyms]     [k] exc_page_fault
    26.43%     0.44%  java             [kernel.kallsyms]     [k] do_user_addr_fault
    21.36%     0.98%  java             [kernel.kallsyms]     [k] handle_mm_fault
    18.61%     4.29%  java             [kernel.kallsyms]     [k] __handle_mm_fault
    17.40%     0.01%  LocalJobRunner   [kernel.kallsyms]     [k] entry_SYSCALL_64_after_hwframe
    17.39%     0.01%  LocalJobRunner   [kernel.kallsyms]     [k] do_syscall_64
    13.45%     0.16%  LocalJobRunner   [kernel.kallsyms]     [k] asm_exc_page_fault
    12.13%     0.10%  LocalJobRunner   [kernel.kallsyms]     [k] exc_page_fault
    11.45%     0.23%  LocalJobRunner   [kernel.kallsyms]     [k] do_user_addr_fault
    10.72%     0.35%  LocalJobRunner   [kernel.kallsyms]     [k] handle_mm_fault
     9.76%     1.31%  LocalJobRunner   [kernel.kallsyms]     [k] __handle_mm_fault
     8.79%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] __x64_sys_write
     8.79%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] ksys_write
     8.79%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] vfs_write
     8.79%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] new_sync_write
     8.79%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] ext4_file_write_iter
     8.79%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] ext4_buffered_write_iter
     8.77%     0.03%  LocalJobRunner   [kernel.kallsyms]     [k] generic_perform_write
     8.53%     0.20%  java             [kernel.kallsyms]     [k] migrate_misplaced_page
     7.63%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] __x64_sys_read
     7.63%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] ksys_read
     7.62%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] vfs_read
     7.62%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] new_sync_read
     7.62%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] generic_file_read_iter
     7.62%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] ext4_file_read_iter
     7.62%     0.13%  LocalJobRunner   [kernel.kallsyms]     [k] filemap_read
     7.04%     0.52%  java             [kernel.kallsyms]     [k] migrate_pages
     6.69%     6.58%  LocalJobRunner   [kernel.kallsyms]     [k] copy_user_enhanced_fast_string
     5.72%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] asm_sysvec_apic_timer_interrupt
     5.70%     0.01%  LocalJobRunner   [kernel.kallsyms]     [k] sysvec_apic_timer_interrupt
     5.48%     0.18%  LocalJobRunner   [kernel.kallsyms]     [k] __alloc_pages
     5.47%     0.12%  LocalJobRunner   [kernel.kallsyms]     [k] exit_to_user_mode_prepare
     5.39%     0.01%  LocalJobRunner   [kernel.kallsyms]     [k] irqentry_exit
     5.37%     0.01%  LocalJobRunner   [kernel.kallsyms]     [k] irqentry_exit_to_user_mode
     5.21%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] task_work_run
