# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 350K of event 'cycles'
# Event count (approx.): 5662229416096
#
# Children      Self  Command          Shared Object      Symbol                                             
# ........  ........  ...............  .................  ...................................................
#
    40.51%     0.00%  swapper          [kernel.kallsyms]  [k] secondary_startup_64_no_verify
    40.51%     0.00%  swapper          [kernel.kallsyms]  [k] cpu_startup_entry
    40.50%     0.02%  swapper          [kernel.kallsyms]  [k] do_idle
    40.20%     0.00%  swapper          [kernel.kallsyms]  [k] cpuidle_enter
    40.19%     0.02%  swapper          [kernel.kallsyms]  [k] cpuidle_enter_state
    39.75%    38.53%  swapper          [kernel.kallsyms]  [k] mwait_idle_with_hints.constprop.0
    37.50%     0.00%  swapper          [kernel.kallsyms]  [k] start_secondary
    17.03%     0.09%  java             [kernel.kallsyms]  [k] asm_exc_page_fault
    16.35%     0.32%  java             [kernel.kallsyms]  [k] exc_page_fault
    14.11%     0.14%  java             [kernel.kallsyms]  [k] do_user_addr_fault
    11.08%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
    11.08%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] do_syscall_64
    10.34%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] __x64_sys_write
    10.34%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] ksys_write
    10.34%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] vfs_write
    10.34%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] ext4_buffered_write_iter
    10.34%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] ext4_file_write_iter
    10.34%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] new_sync_write
    10.32%     0.03%  pool-4-thread-1  [kernel.kallsyms]  [k] generic_perform_write
     8.95%     0.40%  java             [kernel.kallsyms]  [k] handle_mm_fault
     8.32%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     8.32%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] do_syscall_64
     7.76%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] ksys_read
     7.76%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] __x64_sys_read
     7.76%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] vfs_read
     7.76%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] new_sync_read
     7.76%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] ext4_file_read_iter
     7.76%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] generic_file_read_iter
     7.76%     0.04%  localfetcher#1   [kernel.kallsyms]  [k] filemap_read
     7.59%     2.88%  java             [kernel.kallsyms]  [k] __handle_mm_fault
     5.49%     0.04%  pool-4-thread-1  [kernel.kallsyms]  [k] ext4_da_write_begin
     4.72%     1.95%  localfetcher#1   [kernel.kallsyms]  [k] copy_user_enhanced_fast_string
     4.62%     0.02%  localfetcher#1   [kernel.kallsyms]  [k] asm_exc_page_fault
     4.27%     0.01%  pool-4-thread-1  [kernel.kallsyms]  [k] grab_cache_page_write_begin
     4.27%     0.07%  pool-4-thread-1  [kernel.kallsyms]  [k] pagecache_get_page
     3.91%     3.88%  java             [kernel.kallsyms]  [k] down_read_trylock
     3.07%     0.00%  kswapd0          [kernel.kallsyms]  [k] kswapd
     3.07%     0.00%  kswapd0          [kernel.kallsyms]  [k] kthread
     3.07%     0.00%  kswapd0          [kernel.kallsyms]  [k] ret_from_fork
     3.07%     0.00%  kswapd0          [kernel.kallsyms]  [k] balance_pgdat
     3.06%     0.27%  pool-4-thread-1  [kernel.kallsyms]  [k] add_to_page_cache_lru
     3.02%     0.00%  swapper          [kernel.kallsyms]  [k] arch_call_rest_init
     3.02%     0.00%  swapper          [kernel.kallsyms]  [k] rest_init
     3.02%     0.00%  swapper          [kernel.kallsyms]  [k] start_kernel
     3.02%     0.00%  swapper          [kernel.kallsyms]  [k] x86_64_start_kernel
     3.02%     0.00%  swapper          [kernel.kallsyms]  [k] x86_64_start_reservations
     2.94%     0.00%  kswapd0          [kernel.kallsyms]  [k] shrink_node
     2.92%     0.02%  localfetcher#1   [kernel.kallsyms]  [k] exc_page_fault
     2.87%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] filemap_get_pages
     2.84%     0.04%  localfetcher#1   [kernel.kallsyms]  [k] do_user_addr_fault
     2.79%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] ondemand_readahead
     2.78%     0.04%  localfetcher#1   [kernel.kallsyms]  [k] page_cache_ra_unbounded
     2.75%     0.00%  kswapd0          [kernel.kallsyms]  [k] shrink_lruvec
     2.74%     0.02%  kswapd0          [kernel.kallsyms]  [k] evict_pages
     2.74%     0.04%  localfetcher#1   [kernel.kallsyms]  [k] handle_mm_fault
     2.62%     0.15%  localfetcher#1   [kernel.kallsyms]  [k] __handle_mm_fault
     2.48%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     2.48%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] do_syscall_64
     2.45%     0.00%  kswapd1          [kernel.kallsyms]  [k] kswapd
     2.45%     0.00%  kswapd1          [kernel.kallsyms]  [k] kthread
     2.45%     0.00%  kswapd1          [kernel.kallsyms]  [k] ret_from_fork
     2.45%     0.00%  kswapd1          [kernel.kallsyms]  [k] balance_pgdat
     2.40%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] page_cache_async_ra
     2.32%     1.80%  pool-4-thread-1  [kernel.kallsyms]  [k] __add_to_page_cache_locked
     2.25%     0.02%  pool-4-thread-1  [kernel.kallsyms]  [k] ext4_da_write_end
     2.21%     0.04%  pool-4-thread-1  [kernel.kallsyms]  [k] generic_write_end
     2.04%     0.08%  localfetcher#1   [kernel.kallsyms]  [k] __alloc_pages
     1.99%     0.13%  kswapd0          [kernel.kallsyms]  [k] shrink_page_list
     1.93%     0.00%  kswapd1          [kernel.kallsyms]  [k] shrink_node
     1.88%     0.24%  localfetcher#1   [kernel.kallsyms]  [k] get_page_from_freelist
     1.85%     0.02%  pool-4-thread-1  [kernel.kallsyms]  [k] asm_exc_page_fault
     1.81%     0.00%  kswapd1          [kernel.kallsyms]  [k] shrink_lruvec
