# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 381K of event 'cycles'
# Event count (approx.): 6199165226026
#
# Children      Self  Command          Shared Object             Symbol                                             
# ........  ........  ...............  ........................  ...................................................
#
    43.08%     0.00%  swapper          [kernel.kallsyms]         [k] secondary_startup_64_no_verify
    43.08%     0.00%  swapper          [kernel.kallsyms]         [k] cpu_startup_entry
    43.06%     0.02%  swapper          [kernel.kallsyms]         [k] do_idle
    42.75%     0.00%  swapper          [kernel.kallsyms]         [k] cpuidle_enter
    42.74%     0.02%  swapper          [kernel.kallsyms]         [k] cpuidle_enter_state
    42.10%    41.42%  swapper          [kernel.kallsyms]         [k] mwait_idle_with_hints.constprop.0
    40.68%     0.00%  swapper          [kernel.kallsyms]         [k] start_secondary
    14.78%     0.09%  java             [kernel.kallsyms]         [k] asm_exc_page_fault
    14.12%     0.27%  java             [kernel.kallsyms]         [k] exc_page_fault
    12.25%     0.12%  java             [kernel.kallsyms]         [k] do_user_addr_fault
    11.13%     0.00%  localfetcher#1   [kernel.kallsyms]         [k] entry_SYSCALL_64_after_hwframe
    11.13%     0.00%  localfetcher#1   [kernel.kallsyms]         [k] do_syscall_64
    10.57%     0.00%  pool-4-thread-1  [kernel.kallsyms]         [k] entry_SYSCALL_64_after_hwframe
    10.57%     0.00%  pool-4-thread-1  [kernel.kallsyms]         [k] do_syscall_64
    10.52%     0.00%  pool-4-thread-1  [kernel.kallsyms]         [k] __x64_sys_write
    10.52%     0.00%  pool-4-thread-1  [kernel.kallsyms]         [k] ksys_write
    10.52%     0.00%  pool-4-thread-1  [kernel.kallsyms]         [k] vfs_write
    10.52%     0.00%  pool-4-thread-1  [kernel.kallsyms]         [k] new_sync_write
    10.52%     0.00%  pool-4-thread-1  [kernel.kallsyms]         [k] ext4_buffered_write_iter
    10.52%     0.00%  pool-4-thread-1  [kernel.kallsyms]         [k] ext4_file_write_iter
    10.51%     0.04%  pool-4-thread-1  [kernel.kallsyms]         [k] generic_perform_write
    10.27%     0.00%  localfetcher#1   [kernel.kallsyms]         [k] ksys_read
    10.27%     0.00%  localfetcher#1   [kernel.kallsyms]         [k] __x64_sys_read
    10.27%     0.00%  localfetcher#1   [kernel.kallsyms]         [k] vfs_read
    10.27%     0.00%  localfetcher#1   [kernel.kallsyms]         [k] new_sync_read
    10.27%     0.00%  localfetcher#1   [kernel.kallsyms]         [k] ext4_file_read_iter
    10.27%     0.00%  localfetcher#1   [kernel.kallsyms]         [k] generic_file_read_iter
    10.27%     0.06%  localfetcher#1   [kernel.kallsyms]         [k] filemap_read
     8.38%     0.50%  java             [kernel.kallsyms]         [k] handle_mm_fault
     7.20%     2.30%  java             [kernel.kallsyms]         [k] __handle_mm_fault
     6.29%     0.03%  localfetcher#1   [kernel.kallsyms]         [k] asm_exc_page_fault
     6.26%     2.49%  localfetcher#1   [kernel.kallsyms]         [k] copy_user_enhanced_fast_string
     5.34%     0.04%  pool-4-thread-1  [kernel.kallsyms]         [k] ext4_da_write_begin
     4.04%     0.02%  localfetcher#1   [kernel.kallsyms]         [k] exc_page_fault
     3.98%     0.05%  pool-4-thread-1  [kernel.kallsyms]         [k] pagecache_get_page
     3.97%     0.01%  pool-4-thread-1  [kernel.kallsyms]         [k] grab_cache_page_write_begin
     3.95%     0.04%  localfetcher#1   [kernel.kallsyms]         [k] do_user_addr_fault
     3.83%     0.05%  localfetcher#1   [kernel.kallsyms]         [k] handle_mm_fault
     3.78%     0.00%  localfetcher#1   [kernel.kallsyms]         [k] filemap_get_pages
     3.68%     0.20%  localfetcher#1   [kernel.kallsyms]         [k] __handle_mm_fault
     3.64%     0.00%  localfetcher#1   [kernel.kallsyms]         [k] ondemand_readahead
     3.63%     0.04%  localfetcher#1   [kernel.kallsyms]         [k] page_cache_ra_unbounded
     3.07%     0.00%  kswapd1          [kernel.kallsyms]         [k] kthread
     3.07%     0.00%  kswapd1          [kernel.kallsyms]         [k] ret_from_fork
     3.07%     0.00%  kswapd1          [kernel.kallsyms]         [k] kswapd
     3.07%     0.00%  kswapd1          [kernel.kallsyms]         [k] balance_pgdat
     3.03%     0.10%  localfetcher#1   [kernel.kallsyms]         [k] __alloc_pages
     2.94%     2.91%  java             [kernel.kallsyms]         [k] down_read_trylock
     2.87%     0.00%  localfetcher#1   [kernel.kallsyms]         [k] page_cache_async_ra
     2.84%     0.00%  kswapd1          [kernel.kallsyms]         [k] shrink_node
     2.82%     0.00%  kswapd0          [kernel.kallsyms]         [k] kthread
     2.82%     0.00%  kswapd0          [kernel.kallsyms]         [k] ret_from_fork
     2.82%     0.00%  kswapd0          [kernel.kallsyms]         [k] kswapd
     2.82%     0.00%  kswapd0          [kernel.kallsyms]         [k] balance_pgdat
     2.63%     0.00%  kswapd0          [kernel.kallsyms]         [k] shrink_node
     2.62%     0.00%  kswapd1          [kernel.kallsyms]         [k] shrink_lruvec
     2.59%     0.03%  kswapd1          [kernel.kallsyms]         [k] evict_pages
     2.55%     0.24%  pool-4-thread-1  [kernel.kallsyms]         [k] add_to_page_cache_lru
     2.53%     0.26%  localfetcher#1   [kernel.kallsyms]         [k] get_page_from_freelist
     2.44%     0.00%  kswapd0          [kernel.kallsyms]         [k] shrink_lruvec
     2.43%     0.04%  kswapd0          [kernel.kallsyms]         [k] evict_pages
     2.41%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] entry_SYSCALL_64_after_hwframe
     2.41%     0.03%  pool-4-thread-1  [kernel.kallsyms]         [k] ext4_da_write_end
     2.41%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] do_syscall_64
     2.40%     0.00%  swapper          [kernel.kallsyms]         [k] arch_call_rest_init
     2.40%     0.00%  swapper          [kernel.kallsyms]         [k] rest_init
     2.40%     0.00%  swapper          [kernel.kallsyms]         [k] start_kernel
     2.40%     0.00%  swapper          [kernel.kallsyms]         [k] x86_64_start_kernel
     2.40%     0.00%  swapper          [kernel.kallsyms]         [k] x86_64_start_reservations
     2.36%     0.06%  pool-4-thread-1  [kernel.kallsyms]         [k] generic_write_end
     2.27%     0.04%  java             [kernel.kallsyms]         [k] do_swap_page
     1.90%     1.45%  pool-4-thread-1  [kernel.kallsyms]         [k] __add_to_page_cache_locked
     1.85%     1.82%  localfetcher#1   [kernel.kallsyms]         [k] clear_page_erms
     1.82%     0.05%  pool-4-thread-1  [kernel.kallsyms]         [k] __mark_inode_dirty
     1.81%     0.13%  kswapd1          [kernel.kallsyms]         [k] shrink_page_list
     1.76%     0.01%  pool-4-thread-1  [kernel.kallsyms]         [k] ext4_dirty_inode
     1.74%     0.14%  localfetcher#1   [kernel.kallsyms]         [k] add_to_page_cache_lru
     1.64%     0.01%  java             [kernel.kallsyms]         [k] swapin_readahead
     1.63%     0.13%  kswapd0          [kernel.kallsyms]         [k] shrink_page_list
     1.62%     1.62%  pool-4-thread-1  [kernel.kallsyms]         [k] copy_user_enhanced_fast_string
     1.57%     0.03%  localfetcher#1   [kernel.kallsyms]         [k] alloc_pages_vma
     1.52%     0.02%  localfetcher#1   [kernel.kallsyms]         [k] alloc_pages
     1.51%     0.00%  localfetcher#1   [kernel.kallsyms]         [k] __page_cache_alloc
     1.47%     0.02%  pool-4-thread-1  [kernel.kallsyms]         [k] asm_exc_page_fault
     1.46%     1.45%  java             [kernel.kallsyms]         [k] up_read
     1.38%     0.03%  java             [kernel.kallsyms]         [k] asm_sysvec_call_function
     1.35%     0.08%  pool-4-thread-1  [kernel.kallsyms]         [k] __alloc_pages
     1.30%     0.05%  pool-4-thread-1  [kernel.kallsyms]         [k] ext4_block_write_begin
     1.29%     0.02%  pool-4-thread-1  [kernel.kallsyms]         [k] alloc_pages
     1.29%     0.01%  pool-4-thread-1  [kernel.kallsyms]         [k] exc_page_fault
     1.26%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] __x64_sys_write
     1.26%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] ksys_write
     1.26%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] vfs_write
     1.26%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] ext4_file_write_iter
     1.26%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] new_sync_write
     1.26%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] ext4_buffered_write_iter
     1.26%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] generic_perform_write
     1.23%     0.16%  pool-4-thread-1  [kernel.kallsyms]         [k] get_page_from_freelist
     1.22%     0.02%  pool-4-thread-1  [kernel.kallsyms]         [k] do_user_addr_fault
     1.19%     0.86%  localfetcher#1   [kernel.kallsyms]         [k] __add_to_page_cache_locked
     1.14%     0.01%  java             [kernel.kallsyms]         [k] sysvec_call_function
     1.13%     0.04%  pool-4-thread-1  [kernel.kallsyms]         [k] handle_mm_fault
     1.11%     0.02%  java             [kernel.kallsyms]         [k] __alloc_pages
     1.10%     0.11%  localfetcher#1   [kernel.kallsyms]         [k] __mem_cgroup_charge
     1.05%     0.01%  java             [kernel.kallsyms]         [k] alloc_pages_vma
     1.00%     0.01%  java             [kernel.kallsyms]         [k] __read_swap_cache_async
     0.97%     0.01%  java             [kernel.kallsyms]         [k] __sysvec_call_function
     0.94%     0.00%  java             [kernel.kallsyms]         [k] generic_smp_call_function_single_interrupt
     0.94%     0.23%  pool-4-thread-1  [kernel.kallsyms]         [k] __handle_mm_fault
     0.93%     0.91%  java             [kernel.kallsyms]         [k] sync_regs
     0.88%     0.01%  pool-4-thread-1  [kernel.kallsyms]         [k] __ext4_mark_inode_dirty
     0.87%     0.01%  java             [kernel.kallsyms]         [k] entry_SYSCALL_64_after_hwframe
     0.87%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] __x64_sys_read
     0.87%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] ksys_read
