# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 7237253268086
#
# Children      Self  Command          Shared Object      Symbol                                             
# ........  ........  ...............  .................  ...................................................
#
    27.89%     0.29%  java             [kernel.kallsyms]  [k] asm_exc_page_fault
    25.85%     0.32%  java             [kernel.kallsyms]  [k] exc_page_fault
    23.52%     0.36%  java             [kernel.kallsyms]  [k] do_user_addr_fault
    20.44%     0.01%  LocalJobRunner   [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
    20.43%     0.01%  LocalJobRunner   [kernel.kallsyms]  [k] do_syscall_64
    18.91%     0.76%  java             [kernel.kallsyms]  [k] handle_mm_fault
    16.63%     3.69%  java             [kernel.kallsyms]  [k] __handle_mm_fault
    15.59%     0.18%  LocalJobRunner   [kernel.kallsyms]  [k] asm_exc_page_fault
    14.16%     0.12%  LocalJobRunner   [kernel.kallsyms]  [k] exc_page_fault
    13.43%     0.24%  LocalJobRunner   [kernel.kallsyms]  [k] do_user_addr_fault
    12.60%     0.38%  LocalJobRunner   [kernel.kallsyms]  [k] handle_mm_fault
    11.61%     1.47%  LocalJobRunner   [kernel.kallsyms]  [k] __handle_mm_fault
    10.13%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] __x64_sys_write
    10.13%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] ksys_write
    10.13%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] vfs_write
    10.13%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] new_sync_write
    10.13%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] ext4_file_write_iter
    10.12%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] ext4_buffered_write_iter
    10.10%     0.02%  LocalJobRunner   [kernel.kallsyms]  [k] generic_perform_write
     9.19%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] __x64_sys_read
     9.19%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] ksys_read
     9.19%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] vfs_read
     9.18%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] new_sync_read
     9.18%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] ext4_file_read_iter
     9.18%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] generic_file_read_iter
     9.18%     0.16%  LocalJobRunner   [kernel.kallsyms]  [k] filemap_read
     8.33%     0.22%  java             [kernel.kallsyms]  [k] migrate_misplaced_page
     8.15%     8.02%  LocalJobRunner   [kernel.kallsyms]  [k] copy_user_enhanced_fast_string
     7.13%     0.61%  java             [kernel.kallsyms]  [k] migrate_pages
     6.86%     0.22%  LocalJobRunner   [kernel.kallsyms]  [k] __alloc_pages
     5.85%     0.46%  LocalJobRunner   [kernel.kallsyms]  [k] get_page_from_freelist
     5.43%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] asm_sysvec_apic_timer_interrupt
     5.39%     0.01%  LocalJobRunner   [kernel.kallsyms]  [k] sysvec_apic_timer_interrupt
     5.27%     0.00%  swapper          [kernel.kallsyms]  [k] secondary_startup_64_no_verify
     5.27%     0.00%  swapper          [kernel.kallsyms]  [k] cpu_startup_entry
