# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 509K of event 'cycles'
# Event count (approx.): 7640386455938
#
# Children      Self  Command          Shared Object         Symbol                                             
# ........  ........  ...............  ....................  ...................................................
#
    41.08%     0.00%  swapper          [kernel.kallsyms]     [k] secondary_startup_64_no_verify
    41.08%     0.00%  swapper          [kernel.kallsyms]     [k] cpu_startup_entry
    41.07%     0.02%  swapper          [kernel.kallsyms]     [k] do_idle
    40.77%     0.00%  swapper          [kernel.kallsyms]     [k] cpuidle_enter
    40.77%     0.01%  swapper          [kernel.kallsyms]     [k] cpuidle_enter_state
    40.38%    39.35%  swapper          [kernel.kallsyms]     [k] mwait_idle_with_hints.constprop.0
    37.40%     0.00%  swapper          [kernel.kallsyms]     [k] start_secondary
    13.61%     0.09%  java             [kernel.kallsyms]     [k] asm_exc_page_fault
    12.98%     0.24%  java             [kernel.kallsyms]     [k] exc_page_fault
    11.23%     0.13%  java             [kernel.kallsyms]     [k] do_user_addr_fault
     9.33%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] entry_SYSCALL_64_after_hwframe
     9.33%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] do_syscall_64
     8.93%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] entry_SYSCALL_64_after_hwframe
     8.93%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] do_syscall_64
     8.27%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] __x64_sys_read
     8.27%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] ksys_read
     8.27%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] vfs_read
     8.27%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] new_sync_read
     8.27%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] ext4_file_read_iter
     8.27%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] generic_file_read_iter
     8.27%     0.06%  localfetcher#1   [kernel.kallsyms]     [k] filemap_read
     8.19%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] __x64_sys_write
     8.19%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] ksys_write
     8.19%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] vfs_write
     8.19%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] new_sync_write
     8.19%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] ext4_buffered_write_iter
     8.19%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] ext4_file_write_iter
     8.18%     0.02%  pool-4-thread-1  [kernel.kallsyms]     [k] generic_perform_write
     7.26%     0.56%  java             [kernel.kallsyms]     [k] handle_mm_fault
     5.84%     2.38%  java             [kernel.kallsyms]     [k] __handle_mm_fault
     5.81%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] entry_SYSCALL_64_after_hwframe
     5.80%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] do_syscall_64
     5.07%     2.08%  localfetcher#1   [kernel.kallsyms]     [k] copy_user_enhanced_fast_string
     4.69%     0.02%  localfetcher#1   [kernel.kallsyms]     [k] asm_exc_page_fault
     4.32%     0.03%  pool-4-thread-1  [kernel.kallsyms]     [k] ext4_da_write_begin
     3.68%     0.00%  swapper          [kernel.kallsyms]     [k] arch_call_rest_init
     3.68%     0.00%  swapper          [kernel.kallsyms]     [k] rest_init
     3.68%     0.00%  swapper          [kernel.kallsyms]     [k] start_kernel
     3.68%     0.00%  swapper          [kernel.kallsyms]     [k] x86_64_start_kernel
     3.68%     0.00%  swapper          [kernel.kallsyms]     [k] x86_64_start_reservations
     3.33%     0.01%  pool-4-thread-1  [kernel.kallsyms]     [k] grab_cache_page_write_begin
     3.33%     0.04%  pool-4-thread-1  [kernel.kallsyms]     [k] pagecache_get_page
     3.31%     0.00%  kswapd1          [kernel.kallsyms]     [k] kthread
     3.31%     0.00%  kswapd1          [kernel.kallsyms]     [k] ret_from_fork
     3.31%     0.00%  kswapd1          [kernel.kallsyms]     [k] kswapd
     3.31%     0.00%  kswapd1          [kernel.kallsyms]     [k] balance_pgdat
     3.02%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] filemap_get_pages
     3.00%     0.00%  kswapd1          [kernel.kallsyms]     [k] shrink_node
     2.99%     2.98%  java             [kernel.kallsyms]     [k] down_read_trylock
     2.93%     0.02%  localfetcher#1   [kernel.kallsyms]     [k] exc_page_fault
     2.90%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] ondemand_readahead
     2.88%     0.05%  localfetcher#1   [kernel.kallsyms]     [k] page_cache_ra_unbounded
     2.87%     0.03%  localfetcher#1   [kernel.kallsyms]     [k] do_user_addr_fault
     2.79%     0.04%  localfetcher#1   [kernel.kallsyms]     [k] handle_mm_fault
     2.78%     0.01%  kswapd1          [kernel.kallsyms]     [k] shrink_lruvec
     2.78%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] __x64_sys_write
     2.77%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] ksys_write
     2.77%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] vfs_write
     2.77%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] new_sync_write
     2.77%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] ext4_file_write_iter
     2.77%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] ext4_buffered_write_iter
     2.77%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] generic_perform_write
     2.75%     0.02%  kswapd1          [kernel.kallsyms]     [k] evict_pages
     2.68%     0.00%  InMemoryMerger   [kernel.kallsyms]     [k] do_syscall_64
     2.68%     0.00%  InMemoryMerger   [kernel.kallsyms]     [k] entry_SYSCALL_64_after_hwframe
     2.68%     0.15%  localfetcher#1   [kernel.kallsyms]     [k] __handle_mm_fault
     2.66%     0.00%  InMemoryMerger   [kernel.kallsyms]     [k] __x64_sys_write
     2.66%     0.00%  InMemoryMerger   [kernel.kallsyms]     [k] ksys_write
     2.66%     0.00%  InMemoryMerger   [kernel.kallsyms]     [k] vfs_write
     2.66%     0.00%  InMemoryMerger   [kernel.kallsyms]     [k] new_sync_write
     2.66%     0.00%  InMemoryMerger   [kernel.kallsyms]     [k] ext4_file_write_iter
     2.66%     0.00%  InMemoryMerger   [kernel.kallsyms]     [k] ext4_buffered_write_iter
     2.66%     0.01%  InMemoryMerger   [kernel.kallsyms]     [k] generic_perform_write
     2.59%     0.19%  pool-4-thread-1  [kernel.kallsyms]     [k] add_to_page_cache_lru
     2.53%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] page_cache_async_ra
     2.51%     0.00%  kswapd0          [kernel.kallsyms]     [k] kthread
     2.51%     0.00%  kswapd0          [kernel.kallsyms]     [k] ret_from_fork
     2.51%     0.00%  kswapd0          [kernel.kallsyms]     [k] kswapd
     2.51%     0.00%  kswapd0          [kernel.kallsyms]     [k] balance_pgdat
     2.47%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] __x64_sys_read
     2.47%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] ksys_read
     2.47%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] vfs_read
     2.47%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] new_sync_read
     2.47%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] ext4_file_read_iter
     2.47%     0.03%  LocalJobRunner   [kernel.kallsyms]     [k] filemap_read
     2.47%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] generic_file_read_iter
     2.31%     0.00%  kswapd0          [kernel.kallsyms]     [k] shrink_node
     2.27%     0.07%  localfetcher#1   [kernel.kallsyms]     [k] __alloc_pages
     2.14%     0.23%  localfetcher#1   [kernel.kallsyms]     [k] get_page_from_freelist
     2.08%     0.01%  kswapd0          [kernel.kallsyms]     [k] shrink_lruvec
     2.06%     0.02%  kswapd0          [kernel.kallsyms]     [k] evict_pages
     2.00%     0.15%  kswapd1          [kernel.kallsyms]     [k] shrink_page_list
     1.97%     1.53%  pool-4-thread-1  [kernel.kallsyms]     [k] __add_to_page_cache_locked
     1.85%     1.79%  LocalJobRunner   [kernel.kallsyms]     [k] copy_user_enhanced_fast_string
     1.81%     0.02%  pool-4-thread-1  [kernel.kallsyms]     [k] ext4_da_write_end
     1.76%     0.03%  pool-4-thread-1  [kernel.kallsyms]     [k] generic_write_end
     1.61%     1.60%  pool-4-thread-1  [kernel.kallsyms]     [k] copy_user_enhanced_fast_string
     1.58%     1.56%  localfetcher#1   [kernel.kallsyms]     [k] clear_page_erms
     1.40%     0.02%  java             [kernel.kallsyms]     [k] entry_SYSCALL_64_after_hwframe
     1.38%     0.02%  java             [kernel.kallsyms]     [k] do_syscall_64
     1.38%     0.13%  localfetcher#1   [kernel.kallsyms]     [k] add_to_page_cache_lru
     1.37%     0.09%  kswapd0          [kernel.kallsyms]     [k] shrink_page_list
     1.37%     1.36%  java             [kernel.kallsyms]     [k] up_read
     1.36%     0.05%  pool-4-thread-1  [kernel.kallsyms]     [k] __mark_inode_dirty
     1.33%     0.01%  LocalJobRunner   [kernel.kallsyms]     [k] ext4_da_write_begin
     1.31%     0.01%  pool-4-thread-1  [kernel.kallsyms]     [k] ext4_dirty_inode
     1.21%     0.01%  InMemoryMerger   [kernel.kallsyms]     [k] ext4_da_write_begin
     1.21%     0.06%  pool-4-thread-1  [kernel.kallsyms]     [k] __alloc_pages
     1.19%     0.01%  localfetcher#1   [kernel.kallsyms]     [k] alloc_pages
     1.19%     0.01%  pool-4-thread-1  [kernel.kallsyms]     [k] asm_exc_page_fault
     1.19%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] __page_cache_alloc
     1.17%     0.02%  pool-4-thread-1  [kernel.kallsyms]     [k] alloc_pages
     1.13%     0.20%  pool-4-thread-1  [kernel.kallsyms]     [k] get_page_from_freelist
