# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 8625147750795
#
# Children      Self  Command          Shared Object               Symbol                                                                                                                                                                     
# ........  ........  ...............  ..........................  ...........................................................................................................................................................................
#
    47.44%     0.07%  swapper          [kernel.kallsyms]           [k] cpu_startup_entry
    47.44%     0.00%  swapper          [kernel.kallsyms]           [k] secondary_startup_64_no_verify
    47.37%     0.33%  swapper          [kernel.kallsyms]           [k] do_idle
    39.86%     0.55%  swapper          [kernel.kallsyms]           [k] cpuidle_idle_call
    34.37%     0.03%  swapper          [kernel.kallsyms]           [k] cpuidle_enter
    34.32%     0.68%  swapper          [kernel.kallsyms]           [k] cpuidle_enter_state
    31.40%     0.21%  mariadbd         [kernel.kallsyms]           [k] entry_SYSCALL_64_after_hwframe
    31.19%     0.23%  mariadbd         [kernel.kallsyms]           [k] do_syscall_64
    14.19%     0.22%  mariadbd         [kernel.kallsyms]           [k] __x64_sys_futex
    13.95%     0.22%  mariadbd         [kernel.kallsyms]           [k] do_futex
    12.94%    12.60%  swapper          [kernel.kallsyms]           [k] poll_idle
    11.43%     0.27%  swapper          [kernel.kallsyms]           [k] acpi_idle_enter
     7.56%     0.23%  mariadbd         [kernel.kallsyms]           [k] schedule
     7.39%     0.42%  mariadbd         [kernel.kallsyms]           [k] futex_wait
     7.38%     0.99%  mariadbd         [kernel.kallsyms]           [k] __schedule
     7.26%     7.26%  swapper          [kernel.kallsyms]           [k] acpi_idle_do_entry
     6.34%     0.59%  mariadbd         [kernel.kallsyms]           [k] futex_wake
     6.24%     0.01%  mariadbd         [kernel.kallsyms]           [k] iomap_dio_rw
     6.23%     0.30%  mariadbd         [kernel.kallsyms]           [k] __iomap_dio_rw
     6.01%     0.31%  mariadbd         [kernel.kallsyms]           [k] try_to_wake_up
     5.77%     0.15%  mariadbd         [kernel.kallsyms]           [k] futex_wait_queue_me
     5.44%     0.01%  mariadbd         [kernel.kallsyms]           [k] __x64_sys_pread64
     5.40%     0.04%  mariadbd         [kernel.kallsyms]           [k] vfs_read
     5.32%     0.06%  mariadbd         [kernel.kallsyms]           [k] new_sync_read
     5.32%     0.02%  mariadbd         [kernel.kallsyms]           [k] ext4_dio_read_iter
     4.74%     0.49%  swapper          [kernel.kallsyms]           [k] asm_sysvec_call_function_single
     4.65%     0.06%  mariadbd         [kernel.kallsyms]           [k] wake_up_q
     4.21%     0.03%  swapper          [kernel.kallsyms]           [k] sysvec_call_function_single
     4.19%     0.04%  tclsh8.6         [kernel.kallsyms]           [k] entry_SYSCALL_64_after_hwframe
