# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 6647396362522
#
# Children      Self  Command          Shared Object         Symbol                                                                                                                                                                     
# ........  ........  ...............  ....................  ...........................................................................................................................................................................
#
    47.04%     0.17%  mariadbd         [kernel.kallsyms]     [k] entry_SYSCALL_64_after_hwframe
    46.87%     0.17%  mariadbd         [kernel.kallsyms]     [k] do_syscall_64
    32.45%     0.04%  swapper          [kernel.kallsyms]     [k] cpu_startup_entry
    32.45%     0.00%  swapper          [kernel.kallsyms]     [k] secondary_startup_64_no_verify
    32.41%     0.23%  swapper          [kernel.kallsyms]     [k] do_idle
    27.28%     0.34%  swapper          [kernel.kallsyms]     [k] cpuidle_idle_call
    27.18%     0.01%  mariadbd         [kernel.kallsyms]     [k] iomap_dio_rw
    27.17%     0.29%  mariadbd         [kernel.kallsyms]     [k] __iomap_dio_rw
    26.75%     0.01%  mariadbd         [kernel.kallsyms]     [k] __x64_sys_pread64
    26.73%     0.02%  mariadbd         [kernel.kallsyms]     [k] ext4_dio_read_iter
    26.71%     0.03%  mariadbd         [kernel.kallsyms]     [k] vfs_read
    26.60%     0.07%  mariadbd         [kernel.kallsyms]     [k] new_sync_read
    24.46%     0.07%  mariadbd         [kernel.kallsyms]     [k] iomap_apply
    23.58%     0.02%  swapper          [kernel.kallsyms]     [k] cpuidle_enter
    23.58%     0.10%  mariadbd         [kernel.kallsyms]     [k] iomap_dio_bio_actor
    23.56%     0.42%  swapper          [kernel.kallsyms]     [k] cpuidle_enter_state
    23.55%     0.00%  mariadbd         [kernel.kallsyms]     [k] handle_mm_fault
    23.54%     0.01%  mariadbd         [kernel.kallsyms]     [k] __handle_mm_fault
    23.29%     0.01%  mariadbd         [kernel.kallsyms]     [k] __do_huge_pmd_anonymous_page
    22.92%     0.01%  mariadbd         [kernel.kallsyms]     [k] clear_huge_page
    22.57%     0.27%  mariadbd         [kernel.kallsyms]     [k] clear_subpage
    22.33%    21.73%  mariadbd         [kernel.kallsyms]     [k] clear_page_rep
    21.97%     0.01%  mariadbd         [kernel.kallsyms]     [k] bio_iov_iter_get_pages
    21.97%     0.03%  mariadbd         [kernel.kallsyms]     [k] __bio_iov_iter_get_pages
    21.77%     0.02%  mariadbd         [kernel.kallsyms]     [k] iov_iter_get_pages
    21.74%     0.01%  mariadbd         [kernel.kallsyms]     [k] internal_get_user_pages_fast
    21.26%     0.00%  mariadbd         [kernel.kallsyms]     [k] get_user_pages_unlocked
    21.25%     0.01%  mariadbd         [kernel.kallsyms]     [k] __get_user_pages
    10.74%     0.16%  mariadbd         [kernel.kallsyms]     [k] __x64_sys_futex
    10.56%     0.15%  mariadbd         [kernel.kallsyms]     [k] do_futex
     9.84%     9.54%  swapper          [kernel.kallsyms]     [k] poll_idle
     7.12%     0.20%  swapper          [kernel.kallsyms]     [k] acpi_idle_enter
     6.03%     0.19%  mariadbd         [kernel.kallsyms]     [k] schedule
     5.89%     0.76%  mariadbd         [kernel.kallsyms]     [k] __schedule
     5.42%     0.29%  mariadbd         [kernel.kallsyms]     [k] futex_wait
     5.14%     0.30%  mariadbd         [kernel.kallsyms]     [k] try_to_wake_up
     4.99%     0.42%  mariadbd         [kernel.kallsyms]     [k] futex_wake
     4.32%     0.11%  mariadbd         [kernel.kallsyms]     [k] futex_wait_queue_me
     4.30%     4.30%  swapper          [kernel.kallsyms]     [k] acpi_idle_do_entry
     4.12%     0.03%  tclsh8.6         [kernel.kallsyms]     [k] entry_SYSCALL_64_after_hwframe
     4.09%     0.03%  tclsh8.6         [kernel.kallsyms]     [k] do_syscall_64
     3.80%     0.05%  mariadbd         [kernel.kallsyms]     [k] wake_up_q
     3.23%     0.06%  mariadbd         [kernel.kallsyms]     [k] asm_sysvec_apic_timer_interrupt
     3.16%     0.01%  mariadbd         [kernel.kallsyms]     [k] sysvec_apic_timer_interrupt
     2.94%     0.33%  swapper          [kernel.kallsyms]     [k] asm_sysvec_call_function_single
     2.78%     0.01%  mariadbd         [kernel.kallsyms]     [k] __sysvec_apic_timer_interrupt
     2.77%     0.03%  mariadbd         [kernel.kallsyms]     [k] hrtimer_interrupt
     2.59%     0.02%  swapper          [kernel.kallsyms]     [k] sysvec_call_function_single
     2.57%     2.57%  swapper          [kernel.kallsyms]     [k] mwait_idle_with_hints
     2.51%     0.04%  mariadbd         [kernel.kallsyms]     [k] __hrtimer_run_queues
     2.47%     0.02%  mariadbd         [kernel.kallsyms]     [k] __run_hrtimer
     2.39%     0.02%  mariadbd         [kernel.kallsyms]     [k] tick_sched_timer
