# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 5815652043713
#
# Children      Self  Command          Shared Object            Symbol                                                                                                                                                                           
# ........  ........  ...............  .......................  .................................................................................................................................................................................
#
    41.67%     0.28%  mariadbd         [kernel.kallsyms]        [k] entry_SYSCALL_64_after_hwframe
    41.38%     0.26%  mariadbd         [kernel.kallsyms]        [k] do_syscall_64
    32.34%     0.05%  swapper          [kernel.kallsyms]        [k] cpu_startup_entry
    32.34%     0.00%  swapper          [kernel.kallsyms]        [k] secondary_startup_64_no_verify
    32.29%     0.24%  swapper          [kernel.kallsyms]        [k] do_idle
    26.77%     0.32%  swapper          [kernel.kallsyms]        [k] cpuidle_idle_call
    23.10%     0.03%  swapper          [kernel.kallsyms]        [k] cpuidle_enter
    23.07%     0.40%  swapper          [kernel.kallsyms]        [k] cpuidle_enter_state
    17.95%     0.27%  mariadbd         [kernel.kallsyms]        [k] __x64_sys_futex
    17.66%     0.25%  mariadbd         [kernel.kallsyms]        [k] do_futex
    12.25%     0.01%  mariadbd         [kernel.kallsyms]        [k] iomap_dio_rw
    12.24%     0.25%  mariadbd         [kernel.kallsyms]        [k] __iomap_dio_rw
    12.00%     0.01%  mariadbd         [kernel.kallsyms]        [k] __x64_sys_pread64
    11.97%     0.04%  mariadbd         [kernel.kallsyms]        [k] vfs_read
    11.85%     0.09%  mariadbd         [kernel.kallsyms]        [k] new_sync_read
    11.83%     0.02%  mariadbd         [kernel.kallsyms]        [k] ext4_dio_read_iter
    10.21%     9.89%  swapper          [kernel.kallsyms]        [k] poll_idle
     9.80%     0.07%  mariadbd         [kernel.kallsyms]        [k] iomap_apply
     9.03%     0.57%  mariadbd         [kernel.kallsyms]        [k] futex_wake
     8.94%     0.09%  mariadbd         [kernel.kallsyms]        [k] iomap_dio_bio_actor
     8.73%     0.00%  mariadbd         [kernel.kallsyms]        [k] handle_mm_fault
     8.73%     0.00%  mariadbd         [kernel.kallsyms]        [k] __handle_mm_fault
     8.71%     0.57%  mariadbd         [kernel.kallsyms]        [k] try_to_wake_up
     8.56%     0.00%  mariadbd         [kernel.kallsyms]        [k] __do_huge_pmd_anonymous_page
     8.43%     0.00%  mariadbd         [kernel.kallsyms]        [k] clear_huge_page
     8.37%     0.49%  mariadbd         [kernel.kallsyms]        [k] futex_wait
     8.20%     0.15%  mariadbd         [kernel.kallsyms]        [k] clear_subpage
     8.14%     0.22%  mariadbd         [kernel.kallsyms]        [k] schedule
     8.08%     7.93%  mariadbd         [kernel.kallsyms]        [k] clear_page_rep
     7.94%     1.12%  mariadbd         [kernel.kallsyms]        [k] __schedule
     7.42%     0.01%  mariadbd         [kernel.kallsyms]        [k] bio_iov_iter_get_pages
     7.41%     0.03%  mariadbd         [kernel.kallsyms]        [k] __bio_iov_iter_get_pages
     7.22%     0.02%  mariadbd         [kernel.kallsyms]        [k] iov_iter_get_pages
     7.18%     0.01%  mariadbd         [kernel.kallsyms]        [k] internal_get_user_pages_fast
     7.07%     0.17%  swapper          [kernel.kallsyms]        [k] acpi_idle_enter
     7.06%     0.06%  mariadbd         [kernel.kallsyms]        [k] wake_up_q
     6.73%     0.00%  mariadbd         [kernel.kallsyms]        [k] get_user_pages_unlocked
     6.73%     0.00%  mariadbd         [kernel.kallsyms]        [k] __get_user_pages
     6.63%     0.23%  mariadbd         [kernel.kallsyms]        [k] futex_wait_queue_me
     5.08%     0.04%  tclsh8.6         [kernel.kallsyms]        [k] entry_SYSCALL_64_after_hwframe
     5.04%     0.05%  tclsh8.6         [kernel.kallsyms]        [k] do_syscall_64
     3.97%     3.97%  swapper          [kernel.kallsyms]        [k] acpi_idle_do_entry
     3.91%     0.03%  mariadbd         [kernel.kallsyms]        [k] asm_sysvec_apic_timer_interrupt
     3.86%     0.01%  mariadbd         [kernel.kallsyms]        [k] sysvec_apic_timer_interrupt
     3.67%     0.39%  mariadbd         [kernel.kallsyms]        [k] select_task_rq_fair
     3.39%     0.01%  mariadbd         [kernel.kallsyms]        [k] __sysvec_apic_timer_interrupt
     3.38%     0.02%  mariadbd         [kernel.kallsyms]        [k] hrtimer_interrupt
     3.09%     0.04%  mariadbd         [kernel.kallsyms]        [k] __hrtimer_run_queues
     3.04%     0.03%  mariadbd         [kernel.kallsyms]        [k] __run_hrtimer
     2.98%     0.36%  mariadbd         [kernel.kallsyms]        [k] dequeue_task_fair
     2.98%     0.08%  mariadbd         [kernel.kallsyms]        [k] syscall_exit_to_user_mode
     2.95%     0.02%  mariadbd         [kernel.kallsyms]        [k] tick_sched_timer
     2.87%     2.87%  swapper          [kernel.kallsyms]        [k] mwait_idle_with_hints
     2.75%     0.00%  mariadbd         [kernel.kallsyms]        [k] __x64_sys_sendto
     2.74%     0.04%  mariadbd         [kernel.kallsyms]        [k] __sys_sendto
     2.67%     0.01%  mariadbd         [kernel.kallsyms]        [k] sock_sendmsg
     2.66%     0.30%  swapper          [kernel.kallsyms]        [k] asm_sysvec_call_function_single
     2.57%     0.04%  mariadbd         [kernel.kallsyms]        [k] unix_stream_sendmsg
     2.55%     0.01%  mariadbd         [kernel.kallsyms]        [k] tick_sched_handle
     2.54%     0.09%  mariadbd         [kernel.kallsyms]        [k] update_process_times
     2.44%     0.07%  swapper          [kernel.kallsyms]        [k] schedule_idle
     2.37%     0.46%  swapper          [kernel.kallsyms]        [k] __schedule
     2.34%     0.02%  swapper          [kernel.kallsyms]        [k] sysvec_call_function_single
     2.27%     0.22%  mariadbd         [kernel.kallsyms]        [k] dequeue_entity
     2.23%     0.18%  swapper          [kernel.kallsyms]        [k] sched_ttwu_pending
     2.21%     0.11%  mariadbd         [kernel.kallsyms]        [k] ttwu_do_activate
     2.13%     0.03%  mariadbd         [kernel.kallsyms]        [k] scheduler_tick
     2.12%     0.45%  mariadbd         [kernel.kallsyms]        [k] enqueue_task_fair
     2.07%     0.31%  mariadbd         [kernel.kallsyms]        [k] select_idle_sibling
     2.07%     0.29%  swapper          [kernel.kallsyms]        [k] menu_select
     2.07%     1.07%  mariadbd         [kernel.kallsyms]        [k] update_load_avg
     2.04%     0.00%  mariadbd         [kernel.kallsyms]        [k] asm_exc_page_fault
     2.04%     0.00%  mariadbd         [kernel.kallsyms]        [k] exc_page_fault
     2.04%     0.00%  mariadbd         [kernel.kallsyms]        [k] do_user_addr_fault
     2.00%     0.01%  mariadbd         [kernel.kallsyms]        [k] asm_common_interrupt
     1.88%     0.62%  mariadbd         [kernel.kallsyms]        [k] _raw_spin_lock
     1.88%     0.00%  tclsh8.6         [kernel.kallsyms]        [k] __x64_sys_sendto
     1.88%     0.01%  tclsh8.6         [kernel.kallsyms]        [k] __sys_sendto
     1.86%     0.01%  tclsh8.6         [kernel.kallsyms]        [k] sock_sendmsg
     1.84%     0.03%  tclsh8.6         [kernel.kallsyms]        [k] unix_stream_sendmsg
     1.82%     0.00%  mariadbd         [kernel.kallsyms]        [k] common_interrupt
     1.74%     0.20%  mariadbd         [kernel.kallsyms]        [k] pick_next_task_fair
     1.72%     0.11%  mariadbd         [kernel.kallsyms]        [k] exit_to_user_mode_prepare
     1.69%     0.01%  mariadbd         [kernel.kallsyms]        [k] __common_interrupt
     1.68%     0.01%  mariadbd         [kernel.kallsyms]        [k] handle_edge_irq
     1.67%     0.02%  swapper          [kernel.kallsyms]        [k] asm_sysvec_apic_timer_interrupt
     1.65%     0.01%  swapper          [kernel.kallsyms]        [k] sysvec_apic_timer_interrupt
     1.64%     0.02%  mariadbd         [kernel.kallsyms]        [k] handle_irq_event
     1.63%     0.05%  swapper          [kernel.kallsyms]        [k] ttwu_do_activate
     1.59%     0.45%  swapper          [kernel.kallsyms]        [k] enqueue_task_fair
     1.58%     0.02%  mariadbd         [kernel.kallsyms]        [k] __handle_irq_event_percpu
     1.56%     0.01%  mariadbd         [kernel.kallsyms]        [k] nvme_irq
     1.56%     0.00%  mariadbd         [kernel.kallsyms]        [k] __x64_sys_io_submit
     1.55%     0.09%  mariadbd         [kernel.kallsyms]        [k] nvme_process_cq
     1.54%     0.01%  mariadbd         [kernel.kallsyms]        [k] io_submit_one
     1.53%     0.01%  swapper          [kernel.kallsyms]        [k] __sysvec_call_function_single
     1.52%     0.58%  mariadbd         [kernel.kallsyms]        [k] update_curr
     1.48%     0.38%  mariadbd         [kernel.kallsyms]        [k] syscall_exit_work
     1.43%     0.01%  tclsh8.6         [kernel.kallsyms]        [k] __x64_sys_poll
     1.42%     0.16%  tclsh8.6         [kernel.kallsyms]        [k] do_sys_poll
     1.41%     0.33%  mariadbd         [kernel.kallsyms]        [k] select_idle_cpu
     1.39%     0.01%  mariadbd         [kernel.kallsyms]        [k] aio_write
     1.38%     0.09%  swapper          [kernel.kallsyms]        [k] flush_smp_call_function_from_idle
     1.37%     0.35%  mariadbd         [kernel.kallsyms]        [k] enqueue_entity
     1.35%     0.02%  mariadbd         [kernel.kallsyms]        [k] __x64_sys_poll
     1.35%     0.01%  mariadbd         [kernel.kallsyms]        [k] ext4_dio_write_iter
     1.33%     0.07%  mariadbd         [kernel.kallsyms]        [k] asm_sysvec_call_function_single
     1.31%     0.02%  mariadbd         [kernel.kallsyms]        [k] perf_event_task_tick
     1.29%     0.00%  swapper          [kernel.kallsyms]        [k] start_kernel
     1.29%     0.37%  mariadbd         [kernel.kallsyms]        [k] ttwu_queue_wakelist
     1.28%     0.16%  mariadbd         [kernel.kallsyms]        [k] perf_adjust_freq_unthr_context
     1.28%     0.01%  mariadbd         [kernel.kallsyms]        [k] __wake_up_common_lock
     1.28%     0.07%  mariadbd         [kernel.kallsyms]        [k] do_sys_poll
     1.28%     0.02%  tclsh8.6         [kernel.kallsyms]        [k] __x64_sys_recvfrom
     1.28%     0.06%  mariadbd         [kernel.kallsyms]        [k] sock_def_readable
     1.27%     1.24%  mariadbd         [kernel.kallsyms]        [k] native_queued_spin_lock_slowpath.part.0
     1.27%     0.02%  tclsh8.6         [kernel.kallsyms]        [k] __sys_recvfrom
     1.26%     1.26%  mariadbd         [kernel.kallsyms]        [k] available_idle_cpu
     1.24%     0.10%  mariadbd         [kernel.kallsyms]        [k] __wake_up_common
     1.21%     0.37%  mariadbd         [kernel.kallsyms]        [k] futex_wait_setup
     1.20%     0.03%  mariadbd         [kernel.kallsyms]        [k] wake_affine
     1.17%     0.10%  tclsh8.6         [kernel.kallsyms]        [k] do_poll.constprop.0
     1.14%     0.07%  mariadbd         [kernel.kallsyms]        [k] do_poll.constprop.0
     1.13%     0.01%  mariadbd         [kernel.kallsyms]        [k] blk_mq_end_request
     1.13%     0.18%  mariadbd         [kernel.kallsyms]        [k] switch_fpu_return
     1.13%     0.01%  mariadbd         [kernel.kallsyms]        [k] sysvec_call_function_single
     1.13%     0.05%  mariadbd         [kernel.kallsyms]        [k] pollwake
     1.12%     0.33%  swapper          [kernel.kallsyms]        [k] enqueue_entity
     1.11%     0.01%  mariadbd         [kernel.kallsyms]        [k] blk_finish_plug
     1.09%     0.01%  mariadbd         [kernel.kallsyms]        [k] iomap_dio_submit_bio
     1.09%     0.79%  mariadbd         [kernel.kallsyms]        [k] __audit_syscall_exit
     1.09%     0.01%  tclsh8.6         [kernel.kallsyms]        [k] unix_stream_recvmsg
     1.08%     0.01%  swapper          [kernel.kallsyms]        [k] asm_common_interrupt
     1.08%     0.02%  mariadbd         [kernel.kallsyms]        [k] blk_mq_flush_plug_list
     1.08%     0.18%  mariadbd         [kernel.kallsyms]        [k] newidle_balance
     1.08%     0.12%  tclsh8.6         [kernel.kallsyms]        [k] unix_stream_read_generic
     1.07%     0.02%  mariadbd         [kernel.kallsyms]        [k] amd_pmu_disable_all
     1.07%     0.01%  swapper          [kernel.kallsyms]        [k] common_interrupt
     1.06%     0.00%  mariadbd         [kernel.kallsyms]        [k] __sysvec_call_function_single
     1.06%     0.02%  mariadbd         [kernel.kallsyms]        [k] blk_mq_sched_insert_requests
     1.04%     0.01%  swapper          [kernel.kallsyms]        [k] __sysvec_apic_timer_interrupt
     1.04%     0.06%  mariadbd         [kernel.kallsyms]        [k] blk_mq_try_issue_list_directly
     1.04%     0.01%  swapper          [kernel.kallsyms]        [k] hrtimer_interrupt
     1.03%     0.05%  mariadbd         [kernel.kallsyms]        [k] blk_update_request
     0.99%     0.04%  swapper          [kernel.kallsyms]        [k] __irq_exit_rcu
     0.97%     0.01%  mariadbd         [kernel.kallsyms]        [k] __x64_sys_recvfrom
     0.97%     0.05%  mariadbd         [kernel.kallsyms]        [k] sched_ttwu_pending
     0.96%     0.01%  mariadbd         [kernel.kallsyms]        [k] io_schedule_timeout
     0.96%     0.04%  mariadbd         [kernel.kallsyms]        [k] __blk_mq_try_issue_directly
     0.96%     0.02%  mariadbd         [kernel.kallsyms]        [k] __sys_recvfrom
     0.95%     0.01%  swapper          [kernel.kallsyms]        [k] __common_interrupt
     0.95%     0.95%  mariadbd         [kernel.kallsyms]        [k] __restore_fpregs_from_fpstate
     0.95%     0.02%  mariadbd         [kernel.kallsyms]        [k] schedule_timeout
     0.94%     0.02%  swapper          [kernel.kallsyms]        [k] handle_edge_irq
     0.93%     0.48%  swapper          [kernel.kallsyms]        [k] update_load_avg
     0.91%     0.02%  mariadbd         [kernel.kallsyms]        [k] schedule_hrtimeout_range_clock
     0.90%     0.03%  swapper          [kernel.kallsyms]        [k] tick_nohz_idle_stop_tick
     0.90%     0.11%  mariadbd         [kernel.kallsyms]        [k] nvme_queue_rq
     0.90%     0.06%  swapper          [kernel.kallsyms]        [k] tick_nohz_get_sleep_length
     0.90%     0.02%  mariadbd         [kernel.kallsyms]        [k] __submit_bio_noacct_mq
     0.88%     0.01%  swapper          [kernel.kallsyms]        [k] handle_irq_event
     0.87%     0.01%  swapper          [kernel.kallsyms]        [k] __softirqentry_text_start
     0.87%     0.01%  mariadbd         [kernel.kallsyms]        [k] sock_alloc_send_pskb
     0.86%     0.00%  swapper          [kernel.kallsyms]        [k] __hrtimer_run_queues
     0.86%     0.06%  mariadbd         [kernel.kallsyms]        [k] blk_mq_submit_bio
     0.86%     0.01%  swapper          [kernel.kallsyms]        [k] __run_hrtimer
     0.85%     0.46%  swapper          [kernel.kallsyms]        [k] ktime_get
     0.85%     0.01%  swapper          [kernel.kallsyms]        [k] __handle_irq_event_percpu
     0.85%     0.05%  mariadbd         [kernel.kallsyms]        [k] alloc_skb_with_frags
     0.84%     0.01%  tclsh8.6         [kernel.kallsyms]        [k] __wake_up_common_lock
     0.84%     0.01%  mariadbd         [kernel.kallsyms]        [k] unix_stream_recvmsg
     0.84%     0.06%  swapper          [kernel.kallsyms]        [k] tick_nohz_idle_exit
     0.84%     0.01%  swapper          [kernel.kallsyms]        [k] tick_sched_timer
     0.83%     0.01%  swapper          [kernel.kallsyms]        [k] nvme_irq
     0.83%     0.09%  mariadbd         [kernel.kallsyms]        [k] unix_stream_read_generic
     0.83%     0.57%  mariadbd         [kernel.kallsyms]        [k] finish_task_switch.isra.0
     0.83%     0.06%  swapper          [kernel.kallsyms]        [k] nvme_process_cq
     0.81%     0.05%  tclsh8.6         [kernel.kallsyms]        [k] __wake_up_common
     0.80%     0.02%  tclsh8.6         [kernel.kallsyms]        [k] sock_def_readable
     0.80%     0.05%  mariadbd         [kernel.kallsyms]        [k] ext4_map_blocks
     0.80%     0.16%  swapper          [kernel.kallsyms]        [k] pick_next_task_fair
     0.79%     0.00%  mariadbd         [kernel.kallsyms]        [k] __x64_sys_pwrite64
     0.79%     0.00%  mariadbd         [kernel.kallsyms]        [k] vfs_write
     0.79%     0.06%  mariadbd         [kernel.kallsyms]        [k] __alloc_skb
     0.79%     0.00%  mariadbd         [kernel.kallsyms]        [k] new_sync_write
     0.79%     0.00%  mariadbd         [kernel.kallsyms]        [k] ext4_buffered_write_iter
     0.77%     0.04%  tclsh8.6         [kernel.kallsyms]        [k] schedule_hrtimeout_range_clock
     0.76%     0.20%  mariadbd         [kernel.kallsyms]        [k] wake_affine_weight
     0.76%     0.03%  tclsh8.6         [kernel.kallsyms]        [k] try_to_wake_up
     0.76%     0.04%  tclsh8.6         [kernel.kallsyms]        [k] pollwake
     0.76%     0.00%  mariadbd         [kernel.kallsyms]        [k] generic_perform_write
     0.76%     0.04%  mariadbd         [kernel.kallsyms]        [k] load_balance
     0.75%     0.03%  mariadbd         [kernel.kallsyms]        [k] ext4_iomap_begin
     0.74%     0.01%  tclsh8.6         [kernel.kallsyms]        [k] sock_alloc_send_pskb
     0.73%     0.03%  mariadbd         [kernel.kallsyms]        [k] iomap_dio_bio_end_io
     0.73%     0.38%  mariadbd         [kernel.kallsyms]        [k] x86_pmu_disable_all
     0.73%     0.03%  tclsh8.6         [kernel.kallsyms]        [k] schedule
     0.73%     0.05%  tclsh8.6         [kernel.kallsyms]        [k] alloc_skb_with_frags
     0.73%     0.04%  swapper          [kernel.kallsyms]        [k] hrtimer_start_range_ns
     0.70%     0.00%  swapper          [kernel.kallsyms]        [k] tick_sched_handle
     0.70%     0.03%  swapper          [kernel.kallsyms]        [k] update_process_times
     0.70%     0.11%  tclsh8.6         [kernel.kallsyms]        [k] __schedule
     0.68%     0.05%  tclsh8.6         [kernel.kallsyms]        [k] __alloc_skb
     0.65%     0.24%  mariadbd         [kernel.kallsyms]        [k] set_task_cpu
     0.62%     0.62%  mariadbd         [kernel.kallsyms]        [k] update_cfs_group
     0.62%     0.01%  swapper          [kernel.kallsyms]        [k] scheduler_tick
     0.60%     0.10%  mariadbd         [kernel.kallsyms]        [k] task_tick_fair
     0.60%     0.11%  mariadbd         [kernel.kallsyms]        [k] __irq_exit_rcu
     0.56%     0.04%  mariadbd         [kernel.kallsyms]        [k] nvme_map_data
     0.56%     0.56%  mariadbd         [kernel.kallsyms]        [k] update_cfs_rq_h_load
     0.55%     0.55%  mariadbd         [kernel.kallsyms]        [k] cpuacct_charge
     0.54%     0.03%  swapper          [kernel.kallsyms]        [k] tick_nohz_restart_sched_tick
     0.54%     0.01%  swapper          [kernel.kallsyms]        [k] perf_event_task_tick
     0.53%     0.45%  mariadbd         [kernel.kallsyms]        [k] ext4_es_lookup_extent
     0.53%     0.53%  mariadbd         [kernel.kallsyms]        [k] __update_load_avg_cfs_rq
     0.53%     0.01%  swapper          [kernel.kallsyms]        [k] blk_mq_end_request
     0.53%     0.53%  swapper          [kernel.kallsyms]        [k] get_typical_interval
     0.53%     0.07%  swapper          [kernel.kallsyms]        [k] perf_adjust_freq_unthr_context
     0.53%     0.51%  mariadbd         [kernel.kallsyms]        [k] _raw_spin_lock_irqsave
     0.52%     0.26%  mariadbd         [kernel.kallsyms]        [k] mark_wake_futex
     0.51%     0.39%  mariadbd         [kernel.kallsyms]        [k] ktime_get
     0.51%     0.12%  swapper          [kernel.kallsyms]        [k] tick_nohz_next_event
     0.51%     0.22%  swapper          [kernel.kallsyms]        [k] flush_smp_call_function_queue
     0.50%     0.02%  mariadbd         [kernel.kallsyms]        [k] find_busiest_group
     0.48%     0.04%  mariadbd         [kernel.kallsyms]        [k] exit_to_user_mode_loop
     0.48%     0.01%  tclsh8.6         [kernel.kallsyms]        [k] consume_skb
     0.48%     0.04%  mariadbd         [kernel.kallsyms]        [k] update_sd_lb_stats.constprop.0
     0.47%     0.05%  mariadbd         [kernel.kallsyms]        [k] ttwu_do_wakeup
     0.47%     0.08%  mariadbd         [kernel.kallsyms]        [k] kmem_cache_alloc_node
     0.47%     0.45%  mariadbd         [kernel.kallsyms]        [k] __update_load_avg_se
     0.47%     0.03%  swapper          [kernel.kallsyms]        [k] blk_update_request
     0.47%     0.15%  swapper          [kernel.kallsyms]        [k] set_next_entity
     0.45%     0.39%  swapper          [kernel.kallsyms]        [k] _raw_spin_lock
     0.44%     0.04%  mariadbd         [kernel.kallsyms]        [k] lockless_pages_from_mm
     0.44%     0.43%  mariadbd         [kernel.kallsyms]        [k] copy_user_generic_string
     0.44%     0.44%  mariadbd         libpthread-2.28.so       [.] __lll_lock_wait
     0.44%     0.01%  swapper          [kernel.kallsyms]        [k] _nohz_idle_balance.constprop.0.isra.0
     0.44%     0.01%  swapper          [kernel.kallsyms]        [k] amd_pmu_disable_all
     0.43%     0.34%  mariadbd         [kernel.kallsyms]        [k] update_sg_lb_stats
     0.43%     0.07%  mariadbd         [kernel.kallsyms]        [k] check_preempt_curr
     0.42%     0.06%  tclsh8.6         [kernel.kallsyms]        [k] kmem_cache_alloc_node
     0.41%     0.23%  mariadbd         [kernel.kallsyms]        [k] migrate_task_rq_fair
     0.41%     0.04%  swapper          [kernel.kallsyms]        [k] tick_nohz_stop_tick
     0.41%     0.41%  mariadbd         [kernel.kallsyms]        [k] __switch_to
     0.40%     0.04%  swapper          [kernel.kallsyms]        [k] rebalance_domains
     0.40%     0.03%  mariadbd         [kernel.kallsyms]        [k] __softirqentry_text_start
     0.40%     0.12%  mariadbd         [kernel.kallsyms]        [k] default_send_IPI_single_phys
     0.40%     0.40%  swapper          [kernel.kallsyms]        [k] read_tsc
     0.39%     0.06%  mariadbd         [kernel.kallsyms]        [k] select_idle_core
     0.39%     0.06%  swapper          [kernel.kallsyms]        [k] tick_nohz_idle_enter
     0.38%     0.12%  mariadbd         [kernel.kallsyms]        [k] gup_pgd_range
     0.38%     0.38%  mariadbd         [kernel.kallsyms]        [k] amd_pmu_addr_offset
     0.38%     0.38%  mariadbd         [kernel.kallsyms]        [k] __switch_to_asm
     0.37%     0.37%  mariadbd         libpthread-2.28.so       [.] __pthread_mutex_lock
     0.36%     0.01%  mariadbd         [kernel.kallsyms]        [k] irqentry_exit_to_user_mode
     0.36%     0.22%  mariadbd         [kernel.kallsyms]        [k] plist_add
     0.36%     0.36%  swapper          [kernel.kallsyms]        [k] __switch_to_asm
     0.36%     0.03%  swapper          [kernel.kallsyms]        [k] update_blocked_averages
     0.36%     0.05%  swapper          [kernel.kallsyms]        [k] load_balance
     0.36%     0.05%  swapper          [kernel.kallsyms]        [k] clockevents_program_event
     0.35%     0.01%  mariadbd         [kernel.kallsyms]        [k] __x64_sys_io_getevents
