# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 118K of event 'cycles'
# Event count (approx.): 1652674654523
#
# Children      Self  Command          Shared Object        Symbol                                                                                                                                                                       
# ........  ........  ...............  ...................  .............................................................................................................................................................................
#
    36.63%     0.23%  mariadbd         [kernel.kallsyms]    [k] entry_SYSCALL_64_after_hwframe
    36.40%     0.23%  mariadbd         [kernel.kallsyms]    [k] do_syscall_64
    35.87%     0.06%  swapper          [kernel.kallsyms]    [k] cpu_startup_entry
    35.87%     0.00%  swapper          [kernel.kallsyms]    [k] secondary_startup_64_no_verify
    35.81%     0.27%  swapper          [kernel.kallsyms]    [k] do_idle
    29.33%     0.30%  swapper          [kernel.kallsyms]    [k] cpuidle_idle_call
    25.47%     0.03%  swapper          [kernel.kallsyms]    [k] cpuidle_enter
    25.44%     0.37%  swapper          [kernel.kallsyms]    [k] cpuidle_enter_state
    14.66%     0.22%  mariadbd         [kernel.kallsyms]    [k] __x64_sys_futex
    14.42%     0.19%  mariadbd         [kernel.kallsyms]    [k] do_futex
    11.68%    11.37%  swapper          [kernel.kallsyms]    [k] poll_idle
     8.36%     0.23%  mariadbd         [kernel.kallsyms]    [k] schedule
     8.19%     0.96%  mariadbd         [kernel.kallsyms]    [k] __schedule
     7.66%     0.19%  swapper          [kernel.kallsyms]    [k] acpi_idle_enter
     7.63%     0.35%  mariadbd         [kernel.kallsyms]    [k] futex_wait
     7.22%     0.01%  mariadbd         [kernel.kallsyms]    [k] iomap_dio_rw
     7.21%     0.24%  mariadbd         [kernel.kallsyms]    [k] __iomap_dio_rw
     6.78%     0.06%  tclsh8.6         [kernel.kallsyms]    [k] entry_SYSCALL_64_after_hwframe
     6.71%     0.05%  tclsh8.6         [kernel.kallsyms]    [k] do_syscall_64
     6.68%     0.44%  mariadbd         [kernel.kallsyms]    [k] try_to_wake_up
     6.60%     0.53%  mariadbd         [kernel.kallsyms]    [k] futex_wake
