# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 117K of event 'cycles'
# Event count (approx.): 1655611584489
#
# Children      Self  Command          Shared Object        Symbol                                                                                                                           
# ........  ........  ...............  ...................  .................................................................................................................................
#
    36.69%     0.21%  mariadbd         [kernel.kallsyms]    [k] entry_SYSCALL_64_after_hwframe
    36.48%     0.23%  mariadbd         [kernel.kallsyms]    [k] do_syscall_64
    35.74%     0.05%  swapper          [kernel.kallsyms]    [k] cpu_startup_entry
    35.74%     0.00%  swapper          [kernel.kallsyms]    [k] secondary_startup_64_no_verify
    35.69%     0.27%  swapper          [kernel.kallsyms]    [k] do_idle
    29.11%     0.34%  swapper          [kernel.kallsyms]    [k] cpuidle_idle_call
    25.10%     0.02%  swapper          [kernel.kallsyms]    [k] cpuidle_enter
    25.07%     0.37%  swapper          [kernel.kallsyms]    [k] cpuidle_enter_state
    14.98%     0.20%  mariadbd         [kernel.kallsyms]    [k] __x64_sys_futex
    14.76%     0.21%  mariadbd         [kernel.kallsyms]    [k] do_futex
    11.62%    11.27%  swapper          [kernel.kallsyms]    [k] poll_idle
     8.59%     0.21%  mariadbd         [kernel.kallsyms]    [k] schedule
     8.45%     0.96%  mariadbd         [kernel.kallsyms]    [k] __schedule
     7.89%     0.37%  mariadbd         [kernel.kallsyms]    [k] futex_wait
     7.45%     0.20%  swapper          [kernel.kallsyms]    [k] acpi_idle_enter
     7.03%     0.05%  tclsh8.6         [kernel.kallsyms]    [k] entry_SYSCALL_64_after_hwframe
     6.98%     0.06%  tclsh8.6         [kernel.kallsyms]    [k] do_syscall_64
     6.83%     0.42%  mariadbd         [kernel.kallsyms]    [k] try_to_wake_up
     6.82%     0.01%  mariadbd         [kernel.kallsyms]    [k] iomap_dio_rw
     6.82%     0.24%  mariadbd         [kernel.kallsyms]    [k] __iomap_dio_rw
     6.66%     0.52%  mariadbd         [kernel.kallsyms]    [k] futex_wake
     6.08%     0.14%  mariadbd         [kernel.kallsyms]    [k] futex_wait_queue_me
     6.06%     0.01%  mariadbd         [kernel.kallsyms]    [k] __x64_sys_pread64
     6.03%     0.04%  mariadbd         [kernel.kallsyms]    [k] vfs_read
     5.93%     0.03%  mariadbd         [kernel.kallsyms]    [k] ext4_dio_read_iter
     5.90%     0.07%  mariadbd         [kernel.kallsyms]    [k] new_sync_read
     4.95%     0.08%  mariadbd         [kernel.kallsyms]    [k] wake_up_q
     4.35%     0.05%  mariadbd         [kernel.kallsyms]    [k] iomap_apply
     4.00%     0.02%  mariadbd         [kernel.kallsyms]    [k] asm_sysvec_apic_timer_interrupt
     3.96%     0.01%  mariadbd         [kernel.kallsyms]    [k] sysvec_apic_timer_interrupt
     3.78%     3.78%  swapper          [kernel.kallsyms]    [k] mwait_idle_with_hints
     3.45%     0.01%  mariadbd         [kernel.kallsyms]    [k] __sysvec_apic_timer_interrupt
     3.44%     0.02%  mariadbd         [kernel.kallsyms]    [k] hrtimer_interrupt
     3.39%     3.39%  swapper          [kernel.kallsyms]    [k] acpi_idle_do_entry
     3.39%     0.00%  mariadbd         [kernel.kallsyms]    [k] __x64_sys_sendto
     3.39%     0.03%  mariadbd         [kernel.kallsyms]    [k] __sys_sendto
     3.33%     0.02%  mariadbd         [kernel.kallsyms]    [k] sock_sendmsg
     3.23%     0.00%  mariadbd         [kernel.kallsyms]    [k] __x64_sys_io_submit
     3.22%     0.04%  mariadbd         [kernel.kallsyms]    [k] unix_stream_sendmsg
     3.21%     0.01%  mariadbd         [kernel.kallsyms]    [k] io_submit_one
     3.15%     0.04%  mariadbd         [kernel.kallsyms]    [k] __hrtimer_run_queues
     3.12%     0.03%  mariadbd         [kernel.kallsyms]    [k] __run_hrtimer
     3.10%     0.04%  mariadbd         [kernel.kallsyms]    [k] ext4_map_blocks
     3.03%     0.00%  mariadbd         [kernel.kallsyms]    [k] aio_write
     3.00%     0.02%  mariadbd         [kernel.kallsyms]    [k] tick_sched_timer
     3.00%     0.08%  swapper          [kernel.kallsyms]    [k] schedule_idle
     2.98%     0.01%  mariadbd         [kernel.kallsyms]    [k] ext4_dio_write_iter
     2.98%     0.31%  mariadbd         [kernel.kallsyms]    [k] dequeue_task_fair
     2.92%     0.48%  swapper          [kernel.kallsyms]    [k] __schedule
     2.79%     0.37%  mariadbd         [kernel.kallsyms]    [k] select_task_rq_fair
     2.74%     0.36%  swapper          [kernel.kallsyms]    [k] asm_sysvec_call_function_single
     2.64%     0.20%  swapper          [kernel.kallsyms]    [k] sched_ttwu_pending
     2.57%     0.01%  mariadbd         [kernel.kallsyms]    [k] tick_sched_handle
     2.57%     0.09%  mariadbd         [kernel.kallsyms]    [k] update_process_times
     2.53%     0.17%  mariadbd         [kernel.kallsyms]    [k] pick_next_task_fair
     2.46%     0.10%  mariadbd         [kernel.kallsyms]    [k] syscall_exit_to_user_mode
     2.44%     0.32%  swapper          [kernel.kallsyms]    [k] menu_select
     2.42%     0.01%  tclsh8.6         [kernel.kallsyms]    [k] __x64_sys_sendto
     2.42%     0.02%  tclsh8.6         [kernel.kallsyms]    [k] __sys_sendto
     2.41%     0.26%  mariadbd         [kernel.kallsyms]    [k] dequeue_entity
     2.39%     0.01%  tclsh8.6         [kernel.kallsyms]    [k] sock_sendmsg
     2.38%     0.05%  tclsh8.6         [kernel.kallsyms]    [k] unix_stream_sendmsg
     2.36%     0.03%  swapper          [kernel.kallsyms]    [k] sysvec_call_function_single
     2.22%     0.71%  mariadbd         [kernel.kallsyms]    [k] _raw_spin_lock
     2.19%     0.03%  mariadbd         [kernel.kallsyms]    [k] scheduler_tick
     2.18%     0.09%  mariadbd         [kernel.kallsyms]    [k] iomap_dio_bio_actor
     2.08%     0.03%  mariadbd         [kernel.kallsyms]    [k] ext4_iomap_begin
     2.08%     0.01%  mariadbd         [kernel.kallsyms]    [k] asm_common_interrupt
     2.08%     0.03%  mariadbd         [kernel.kallsyms]    [k] __x64_sys_poll
     2.03%     0.03%  swapper          [kernel.kallsyms]    [k] asm_sysvec_apic_timer_interrupt
     2.02%     0.02%  tclsh8.6         [kernel.kallsyms]    [k] __x64_sys_recvfrom
     2.00%     0.02%  tclsh8.6         [kernel.kallsyms]    [k] __sys_recvfrom
     2.00%     0.00%  swapper          [kernel.kallsyms]    [k] sysvec_apic_timer_interrupt
     1.99%     0.02%  tclsh8.6         [kernel.kallsyms]    [k] __x64_sys_poll
     1.99%     0.11%  mariadbd         [kernel.kallsyms]    [k] do_sys_poll
     1.97%     0.20%  tclsh8.6         [kernel.kallsyms]    [k] do_sys_poll
     1.94%     0.25%  mariadbd         [kernel.kallsyms]    [k] newidle_balance
     1.93%     0.05%  swapper          [kernel.kallsyms]    [k] ttwu_do_activate
     1.92%     0.92%  mariadbd         [kernel.kallsyms]    [k] update_load_avg
     1.89%     0.55%  swapper          [kernel.kallsyms]    [k] enqueue_task_fair
     1.83%     0.11%  swapper          [kernel.kallsyms]    [k] flush_smp_call_function_from_idle
     1.83%     0.00%  mariadbd         [kernel.kallsyms]    [k] common_interrupt
     1.76%     0.12%  mariadbd         [kernel.kallsyms]    [k] do_poll.constprop.0
     1.73%     0.02%  tclsh8.6         [kernel.kallsyms]    [k] unix_stream_recvmsg
     1.70%     0.01%  mariadbd         [kernel.kallsyms]    [k] __common_interrupt
     1.70%     0.18%  tclsh8.6         [kernel.kallsyms]    [k] unix_stream_read_generic
     1.70%     0.02%  mariadbd         [kernel.kallsyms]    [k] handle_edge_irq
     1.68%     0.01%  mariadbd         [kernel.kallsyms]    [k] __x64_sys_recvfrom
     1.66%     0.03%  mariadbd         [kernel.kallsyms]    [k] __sys_recvfrom
     1.65%     0.01%  mariadbd         [kernel.kallsyms]    [k] handle_irq_event
     1.65%     0.07%  mariadbd         [kernel.kallsyms]    [k] ttwu_do_activate
     1.62%     0.36%  mariadbd         [kernel.kallsyms]    [k] enqueue_task_fair
     1.61%     0.15%  tclsh8.6         [kernel.kallsyms]    [k] do_poll.constprop.0
     1.61%     0.01%  mariadbd         [kernel.kallsyms]    [k] __wake_up_common_lock
     1.61%     0.24%  mariadbd         [kernel.kallsyms]    [k] select_idle_sibling
     1.59%     0.03%  mariadbd         [kernel.kallsyms]    [k] __handle_irq_event_percpu
     1.59%     0.07%  mariadbd         [kernel.kallsyms]    [k] sock_def_readable
     1.57%     0.15%  mariadbd         [kernel.kallsyms]    [k] __wake_up_common
     1.56%     0.00%  mariadbd         [kernel.kallsyms]    [k] nvme_irq
     1.56%     0.13%  mariadbd         [kernel.kallsyms]    [k] exit_to_user_mode_prepare
     1.56%     0.09%  mariadbd         [kernel.kallsyms]    [k] nvme_process_cq
     1.53%     0.01%  swapper          [kernel.kallsyms]    [k] __sysvec_call_function_single
     1.53%     1.49%  mariadbd         [kernel.kallsyms]    [k] native_queued_spin_lock_slowpath.part.0
     1.48%     0.03%  mariadbd         [kernel.kallsyms]    [k] ext4_ext_map_blocks
     1.47%     0.02%  mariadbd         [kernel.kallsyms]    [k] unix_stream_recvmsg
     1.46%     0.07%  mariadbd         [kernel.kallsyms]    [k] load_balance
     1.45%     0.13%  mariadbd         [kernel.kallsyms]    [k] unix_stream_read_generic
     1.44%     0.00%  swapper          [kernel.kallsyms]    [k] start_kernel
     1.44%     0.58%  mariadbd         [kernel.kallsyms]    [k] update_curr
     1.42%     0.03%  mariadbd         [kernel.kallsyms]    [k] schedule_hrtimeout_range_clock
     1.41%     0.08%  mariadbd         [kernel.kallsyms]    [k] pollwake
     1.40%     0.35%  mariadbd         [kernel.kallsyms]    [k] futex_wait_setup
     1.37%     0.02%  mariadbd         [kernel.kallsyms]    [k] perf_event_task_tick
     1.35%     0.14%  mariadbd         [kernel.kallsyms]    [k] perf_adjust_freq_unthr_context
     1.33%     0.01%  mariadbd         [kernel.kallsyms]    [k] ext4_dio_write_checks
     1.33%     0.44%  swapper          [kernel.kallsyms]    [k] enqueue_entity
     1.31%     0.29%  mariadbd         [kernel.kallsyms]    [k] ext4_find_extent
     1.29%     0.01%  swapper          [kernel.kallsyms]    [k] __sysvec_apic_timer_interrupt
     1.28%     0.30%  mariadbd         [kernel.kallsyms]    [k] syscall_exit_work
     1.27%     0.01%  swapper          [kernel.kallsyms]    [k] hrtimer_interrupt
     1.24%     0.00%  mariadbd         [kernel.kallsyms]    [k] vfs_write
     1.24%     0.00%  mariadbd         [kernel.kallsyms]    [k] __x64_sys_pwrite64
     1.24%     0.00%  mariadbd         [kernel.kallsyms]    [k] new_sync_write
     1.24%     0.00%  mariadbd         [kernel.kallsyms]    [k] ext4_buffered_write_iter
     1.20%     0.00%  mariadbd         [kernel.kallsyms]    [k] generic_perform_write
     1.16%     0.32%  mariadbd         [kernel.kallsyms]    [k] ttwu_queue_wakelist
     1.16%     0.03%  mariadbd         [kernel.kallsyms]    [k] amd_pmu_disable_all
     1.15%     0.01%  mariadbd         [kernel.kallsyms]    [k] blk_mq_end_request
     1.13%     0.04%  mariadbd         [kernel.kallsyms]    [k] asm_sysvec_call_function_single
     1.12%     0.02%  mariadbd         [kernel.kallsyms]    [k] sock_alloc_send_pskb
     1.12%     0.01%  swapper          [kernel.kallsyms]    [k] asm_common_interrupt
     1.09%     0.05%  mariadbd         [kernel.kallsyms]    [k] alloc_skb_with_frags
     1.09%     0.08%  swapper          [kernel.kallsyms]    [k] tick_nohz_get_sleep_length
     1.09%     0.01%  swapper          [kernel.kallsyms]    [k] common_interrupt
     1.09%     0.03%  tclsh8.6         [kernel.kallsyms]    [k] schedule_hrtimeout_range_clock
     1.08%     0.94%  mariadbd         [kernel.kallsyms]    [k] ext4_es_lookup_extent
     1.06%     0.28%  mariadbd         [kernel.kallsyms]    [k] enqueue_entity
     1.05%     0.05%  tclsh8.6         [kernel.kallsyms]    [k] schedule
     1.05%     0.01%  mariadbd         [kernel.kallsyms]    [k] io_schedule_timeout
     1.04%     0.01%  mariadbd         [kernel.kallsyms]    [k] blk_finish_plug
     1.04%     0.01%  swapper          [kernel.kallsyms]    [k] __hrtimer_run_queues
     1.04%     0.06%  mariadbd         [kernel.kallsyms]    [k] __alloc_skb
     1.04%     0.01%  mariadbd         [kernel.kallsyms]    [k] schedule_timeout
     1.03%     0.02%  tclsh8.6         [kernel.kallsyms]    [k] __wake_up_common_lock
     1.03%     0.00%  swapper          [kernel.kallsyms]    [k] __run_hrtimer
     1.03%     0.52%  swapper          [kernel.kallsyms]    [k] update_load_avg
     1.03%     0.04%  mariadbd         [kernel.kallsyms]    [k] blk_update_request
     1.03%     0.22%  mariadbd         [kernel.kallsyms]    [k] select_idle_cpu
     1.02%     0.05%  swapper          [kernel.kallsyms]    [k] __irq_exit_rcu
     1.02%     0.02%  mariadbd         [kernel.kallsyms]    [k] blk_mq_flush_plug_list
     1.02%     0.01%  swapper          [kernel.kallsyms]    [k] tick_sched_timer
     1.02%     0.01%  tclsh8.6         [kernel.kallsyms]    [k] sock_alloc_send_pskb
     1.01%     0.01%  mariadbd         [kernel.kallsyms]    [k] iomap_dio_submit_bio
     1.00%     0.14%  tclsh8.6         [kernel.kallsyms]    [k] __schedule
     1.00%     0.02%  mariadbd         [kernel.kallsyms]    [k] blk_mq_sched_insert_requests
     1.00%     0.07%  tclsh8.6         [kernel.kallsyms]    [k] alloc_skb_with_frags
     0.99%     0.10%  tclsh8.6         [kernel.kallsyms]    [k] __wake_up_common
     0.99%     0.99%  mariadbd         [kernel.kallsyms]    [k] available_idle_cpu
     0.98%     0.01%  swapper          [kernel.kallsyms]    [k] __common_interrupt
     0.97%     0.04%  mariadbd         [kernel.kallsyms]    [k] blk_mq_try_issue_list_directly
     0.97%     0.62%  mariadbd         [kernel.kallsyms]    [k] __audit_syscall_exit
