# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 10769144996755
#
# Children      Self  Command          Shared Object                                     Symbol                                                                                                                                                                           
# ........  ........  ...............  ................................................  .................................................................................................................................................................................
#
    36.86%     0.23%  mariadbd         [kernel.kallsyms]                                 [k] entry_SYSCALL_64_after_hwframe
    36.63%     0.23%  mariadbd         [kernel.kallsyms]                                 [k] do_syscall_64
    35.64%     0.05%  swapper          [kernel.kallsyms]                                 [k] cpu_startup_entry
    35.64%     0.00%  swapper          [kernel.kallsyms]                                 [k] secondary_startup_64_no_verify
    35.58%     0.26%  swapper          [kernel.kallsyms]                                 [k] do_idle
    29.18%     0.32%  swapper          [kernel.kallsyms]                                 [k] cpuidle_idle_call
    25.15%     0.02%  swapper          [kernel.kallsyms]                                 [k] cpuidle_enter
    25.12%     0.36%  swapper          [kernel.kallsyms]                                 [k] cpuidle_enter_state
    14.81%     0.23%  mariadbd         [kernel.kallsyms]                                 [k] __x64_sys_futex
    14.57%     0.18%  mariadbd         [kernel.kallsyms]                                 [k] do_futex
    11.52%    11.18%  swapper          [kernel.kallsyms]                                 [k] poll_idle
     8.39%     0.24%  mariadbd         [kernel.kallsyms]                                 [k] schedule
     8.23%     0.98%  mariadbd         [kernel.kallsyms]                                 [k] __schedule
     7.66%     0.37%  mariadbd         [kernel.kallsyms]                                 [k] futex_wait
     7.56%     0.21%  swapper          [kernel.kallsyms]                                 [k] acpi_idle_enter
     7.06%     0.01%  mariadbd         [kernel.kallsyms]                                 [k] iomap_dio_rw
     7.05%     0.23%  mariadbd         [kernel.kallsyms]                                 [k] __iomap_dio_rw
     6.82%     0.42%  mariadbd         [kernel.kallsyms]                                 [k] try_to_wake_up
     6.77%     0.05%  tclsh8.6         [kernel.kallsyms]                                 [k] entry_SYSCALL_64_after_hwframe
     6.71%     0.06%  tclsh8.6         [kernel.kallsyms]                                 [k] do_syscall_64
     6.71%     0.54%  mariadbd         [kernel.kallsyms]                                 [k] futex_wake
     6.15%     0.01%  mariadbd         [kernel.kallsyms]                                 [k] __x64_sys_pread64
     6.13%     0.03%  mariadbd         [kernel.kallsyms]                                 [k] vfs_read
     6.04%     0.02%  mariadbd         [kernel.kallsyms]                                 [k] ext4_dio_read_iter
     6.02%     0.07%  mariadbd         [kernel.kallsyms]                                 [k] new_sync_read
     5.98%     0.15%  mariadbd         [kernel.kallsyms]                                 [k] futex_wait_queue_me
     5.00%     0.06%  mariadbd         [kernel.kallsyms]                                 [k] wake_up_q
     4.61%     0.07%  mariadbd         [kernel.kallsyms]                                 [k] iomap_apply
     3.98%     0.02%  mariadbd         [kernel.kallsyms]                                 [k] asm_sysvec_apic_timer_interrupt
