# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 6099289334419
#
# Children      Self  Command          Shared Object             Symbol                                                                                                                                                                           
# ........  ........  ...............  ........................  .................................................................................................................................................................................
#
    43.17%     0.29%  mariadbd         [kernel.kallsyms]         [k] entry_SYSCALL_64_after_hwframe
    42.88%     0.24%  mariadbd         [kernel.kallsyms]         [k] do_syscall_64
    23.77%     0.04%  swapper          [kernel.kallsyms]         [k] cpu_startup_entry
    23.77%     0.00%  swapper          [kernel.kallsyms]         [k] secondary_startup_64_no_verify
    23.74%     0.18%  swapper          [kernel.kallsyms]         [k] do_idle
    19.41%     0.21%  swapper          [kernel.kallsyms]         [k] cpuidle_idle_call
    17.04%     0.26%  mariadbd         [kernel.kallsyms]         [k] __x64_sys_futex
    16.76%     0.22%  mariadbd         [kernel.kallsyms]         [k] do_futex
    16.54%     0.02%  swapper          [kernel.kallsyms]         [k] cpuidle_enter
    16.51%     0.24%  swapper          [kernel.kallsyms]         [k] cpuidle_enter_state
    13.47%     0.01%  mariadbd         [kernel.kallsyms]         [k] iomap_dio_rw
    13.46%     0.22%  mariadbd         [kernel.kallsyms]         [k] __iomap_dio_rw
    13.26%     0.01%  mariadbd         [kernel.kallsyms]         [k] __x64_sys_pread64
    13.23%     0.03%  mariadbd         [kernel.kallsyms]         [k] vfs_read
    13.15%     0.02%  mariadbd         [kernel.kallsyms]         [k] ext4_dio_read_iter
    13.14%     0.02%  mariadbd         [kernel.kallsyms]         [k] handle_mm_fault
    13.13%     0.08%  mariadbd         [kernel.kallsyms]         [k] new_sync_read
    13.09%     0.04%  mariadbd         [kernel.kallsyms]         [k] __handle_mm_fault
    11.32%     0.06%  mariadbd         [kernel.kallsyms]         [k] iomap_apply
     9.60%     0.08%  mariadbd         [kernel.kallsyms]         [k] iomap_dio_bio_actor
     8.80%     0.63%  mariadbd         [kernel.kallsyms]         [k] try_to_wake_up
     8.77%     0.00%  mariadbd         [kernel.kallsyms]         [k] __do_huge_pmd_anonymous_page
     8.77%     0.46%  mariadbd         [kernel.kallsyms]         [k] futex_wake
     8.63%     0.00%  mariadbd         [kernel.kallsyms]         [k] clear_huge_page
     8.39%     0.16%  mariadbd         [kernel.kallsyms]         [k] clear_subpage
     8.32%     8.15%  mariadbd         [kernel.kallsyms]         [k] clear_page_rep
     8.29%     0.01%  mariadbd         [kernel.kallsyms]         [k] bio_iov_iter_get_pages
     8.29%     0.02%  mariadbd         [kernel.kallsyms]         [k] __bio_iov_iter_get_pages
     8.14%     0.01%  mariadbd         [kernel.kallsyms]         [k] iov_iter_get_pages
     8.12%     7.82%  swapper          [kernel.kallsyms]         [k] poll_idle
     8.12%     0.01%  mariadbd         [kernel.kallsyms]         [k] internal_get_user_pages_fast
     8.10%     0.22%  mariadbd         [kernel.kallsyms]         [k] schedule
     7.93%     1.08%  mariadbd         [kernel.kallsyms]         [k] __schedule
     7.76%     0.44%  mariadbd         [kernel.kallsyms]         [k] futex_wait
     7.75%     0.00%  mariadbd         [kernel.kallsyms]         [k] get_user_pages_unlocked
     7.74%     0.01%  mariadbd         [kernel.kallsyms]         [k] __get_user_pages
     6.96%     0.05%  mariadbd         [kernel.kallsyms]         [k] wake_up_q
     6.29%     0.24%  mariadbd         [kernel.kallsyms]         [k] futex_wait_queue_me
     5.59%     0.05%  tclsh8.6         [kernel.kallsyms]         [k] entry_SYSCALL_64_after_hwframe
     5.58%     0.01%  mariadbd         [kernel.kallsyms]         [k] asm_exc_page_fault
     5.55%     0.00%  mariadbd         [kernel.kallsyms]         [k] exc_page_fault
     5.55%     0.01%  mariadbd         [kernel.kallsyms]         [k] do_user_addr_fault
     5.54%     0.05%  tclsh8.6         [kernel.kallsyms]         [k] do_syscall_64
     4.63%     0.14%  swapper          [kernel.kallsyms]         [k] acpi_idle_enter
     4.36%     0.03%  mariadbd         [kernel.kallsyms]         [k] asm_sysvec_apic_timer_interrupt
     4.31%     0.01%  mariadbd         [kernel.kallsyms]         [k] sysvec_apic_timer_interrupt
     3.77%     0.01%  mariadbd         [kernel.kallsyms]         [k] __sysvec_apic_timer_interrupt
     3.75%     0.02%  mariadbd         [kernel.kallsyms]         [k] hrtimer_interrupt
     3.70%     0.35%  mariadbd         [kernel.kallsyms]         [k] select_task_rq_fair
     3.43%     0.04%  mariadbd         [kernel.kallsyms]         [k] __hrtimer_run_queues
     3.39%     0.03%  mariadbd         [kernel.kallsyms]         [k] __run_hrtimer
     3.28%     0.02%  mariadbd         [kernel.kallsyms]         [k] tick_sched_timer
     3.03%     0.08%  mariadbd         [kernel.kallsyms]         [k] syscall_exit_to_user_mode
     3.02%     0.00%  mariadbd         [kernel.kallsyms]         [k] __x64_sys_sendto
     3.02%     0.04%  mariadbd         [kernel.kallsyms]         [k] __sys_sendto
     2.94%     0.02%  mariadbd         [kernel.kallsyms]         [k] sock_sendmsg
     2.87%     0.35%  mariadbd         [kernel.kallsyms]         [k] dequeue_task_fair
     2.85%     0.01%  mariadbd         [kernel.kallsyms]         [k] tick_sched_handle
     2.83%     0.10%  mariadbd         [kernel.kallsyms]         [k] update_process_times
