# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 10K of event 'cycles'
# Event count (approx.): 166397942661
#
# Children      Self  Command          Shared Object        Symbol                                                                                                                  
# ........  ........  ...............  ...................  ........................................................................................................................
#
    39.01%     0.03%  swapper          [kernel.kallsyms]    [k] cpu_startup_entry
    39.01%     0.00%  swapper          [kernel.kallsyms]    [k] secondary_startup_64_no_verify
    38.98%     0.26%  swapper          [kernel.kallsyms]    [k] do_idle
    32.79%     0.50%  swapper          [kernel.kallsyms]    [k] cpuidle_idle_call
    28.40%     0.17%  mariadbd         [kernel.kallsyms]    [k] entry_SYSCALL_64_after_hwframe
    28.23%     0.15%  mariadbd         [kernel.kallsyms]    [k] do_syscall_64
    27.40%     0.02%  swapper          [kernel.kallsyms]    [k] cpuidle_enter
    27.37%     0.43%  swapper          [kernel.kallsyms]    [k] cpuidle_enter_state
    10.37%     0.19%  mariadbd         [kernel.kallsyms]    [k] __x64_sys_futex
    10.26%     9.93%  swapper          [kernel.kallsyms]    [k] poll_idle
    10.18%     0.13%  mariadbd         [kernel.kallsyms]    [k] do_futex
     9.33%     0.03%  mariadbd         [kernel.kallsyms]    [k] handle_mm_fault
     9.25%     0.07%  mariadbd         [kernel.kallsyms]    [k] __handle_mm_fault
     8.84%     0.19%  swapper          [kernel.kallsyms]    [k] acpi_idle_enter
     8.15%     0.03%  mariadbd         [kernel.kallsyms]    [k] asm_exc_page_fault
     8.08%     0.03%  mariadbd         [kernel.kallsyms]    [k] exc_page_fault
     8.05%     0.02%  mariadbd         [kernel.kallsyms]    [k] do_user_addr_fault
     7.19%     0.17%  mariadbd         [kernel.kallsyms]    [k] schedule
     7.08%     0.59%  mariadbd         [kernel.kallsyms]    [k] __schedule
     6.94%     0.02%  mariadbd         [kernel.kallsyms]    [k] iomap_dio_rw
     6.92%     0.21%  mariadbd         [kernel.kallsyms]    [k] __iomap_dio_rw
     6.14%     0.10%  mariadbd         [kernel.kallsyms]    [k] do_swap_page
     5.76%     0.00%  mariadbd         [kernel.kallsyms]    [k] __x64_sys_pread64
     5.75%     0.02%  mariadbd         [kernel.kallsyms]    [k] vfs_read
     5.73%     0.04%  mariadbd         [kernel.kallsyms]    [k] ext4_dio_read_iter
     5.70%     0.06%  mariadbd         [kernel.kallsyms]    [k] new_sync_read
     5.68%     0.21%  mariadbd         [kernel.kallsyms]    [k] futex_wait
     5.30%     0.02%  tclsh8.6         [kernel.kallsyms]    [k] entry_SYSCALL_64_after_hwframe
     5.28%     0.03%  tclsh8.6         [kernel.kallsyms]    [k] do_syscall_64
     5.15%     0.04%  mariadbd         [kernel.kallsyms]    [k] iomap_apply
     5.12%     5.12%  swapper          [kernel.kallsyms]    [k] acpi_idle_do_entry
     4.73%     0.12%  mariadbd         [kernel.kallsyms]    [k] futex_wait_queue_me
     4.55%     0.23%  mariadbd         [kernel.kallsyms]    [k] try_to_wake_up
     4.51%     0.05%  mariadbd         [kernel.kallsyms]    [k] swap_vma_readahead
     4.37%     0.33%  mariadbd         [kernel.kallsyms]    [k] futex_wake
     4.24%     0.01%  mariadbd         [kernel.kallsyms]    [k] io_submit_one
     4.24%     0.00%  mariadbd         [kernel.kallsyms]    [k] __x64_sys_io_submit
     4.08%     0.02%  mariadbd         [kernel.kallsyms]    [k] aio_write
     4.02%     0.01%  mariadbd         [kernel.kallsyms]    [k] ext4_dio_write_iter
     3.90%     0.04%  mariadbd         [kernel.kallsyms]    [k] ext4_map_blocks
     3.49%     3.49%  swapper          [kernel.kallsyms]    [k] mwait_idle_with_hints
     3.37%     0.05%  mariadbd         [kernel.kallsyms]    [k] wake_up_q
     3.33%     0.08%  swapper          [kernel.kallsyms]    [k] schedule_idle
     3.25%     0.53%  swapper          [kernel.kallsyms]    [k] __schedule
     3.06%     0.04%  mariadbd         [kernel.kallsyms]    [k] iomap_dio_bio_actor
     3.00%     0.00%  mariadbd         [kernel.kallsyms]    [k] wp_page_copy
     2.97%     0.31%  swapper          [kernel.kallsyms]    [k] asm_sysvec_call_function_single
     2.68%     0.13%  mariadbd         [kernel.kallsyms]    [k] swap_readpage
     2.67%     0.00%  mariadbd         [kernel.kallsyms]    [k] asm_sysvec_apic_timer_interrupt
     2.66%     0.00%  mariadbd         [kernel.kallsyms]    [k] sysvec_apic_timer_interrupt
     2.66%     0.03%  swapper          [kernel.kallsyms]    [k] asm_common_interrupt
     2.60%     0.01%  swapper          [kernel.kallsyms]    [k] sysvec_call_function_single
     2.59%     0.04%  swapper          [kernel.kallsyms]    [k] common_interrupt
     2.51%     0.30%  swapper          [kernel.kallsyms]    [k] menu_select
     2.36%     0.07%  mariadbd         [kernel.kallsyms]    [k] pick_next_task_fair
     2.34%     0.01%  swapper          [kernel.kallsyms]    [k] __common_interrupt
     2.34%     0.06%  swapper          [kernel.kallsyms]    [k] handle_edge_irq
     2.32%     0.00%  kcompactd0       [kernel.kallsyms]    [k] compact_zone
     2.32%     0.00%  kcompactd0       [kernel.kallsyms]    [k] kcompactd
     2.32%     0.00%  kcompactd0       [kernel.kallsyms]    [k] kthread
     2.32%     0.00%  kcompactd0       [kernel.kallsyms]    [k] migrate_pages
     2.32%     0.00%  kcompactd0       [kernel.kallsyms]    [k] proactive_compact_node
     2.32%     0.00%  kcompactd0       [kernel.kallsyms]    [k] ret_from_fork
     2.32%     0.00%  kcompactd0       [kernel.kallsyms]    [k] unmap_and_move
     2.31%     0.30%  mariadbd         [kernel.kallsyms]    [k] dequeue_task_fair
     2.27%     0.00%  mariadbd         [kernel.kallsyms]    [k] ext4_dio_write_checks
     2.27%     0.02%  mariadbd         [kernel.kallsyms]    [k] hrtimer_interrupt
